playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
41982,Cam McCormick,TE,0,,2025,220,66.2,54,56,63.1,54.8,56.1,84,1,13,0,19,89,0,160,268,108,160,MIAMI FL,MIAMI FL,,
51984,Bentley Hanshaw,TE,1,,2025,206,67.9,46,49.2,59.2,48,49.6,15,4,10,0,29,180,0,239,448,209,239,LIBERTY,LIBERTY,,
52369,Marshall Lang,TE,0,2025,2025,256,69.5,51.9,87,74.5,50.4,54,88,0,12,0,6,216,1,146,369,222,147,NWESTERN,NWESTERN,63.3,
52487,Luke Kandra,G,0,2025,2025,138,,76.7,78.9,84.1,,74.3,67,1,12,0,447,0,0,356,803,447,356,CINCINNATI,CINCINNATI,,
52540,Jakob James,C,0,,2025,316,,63.5,88.2,74.3,,56.7,78,0,10,0,373,0,0,244,617,373,244,TOLEDO,TOLEDO,,
52545,Joe Royer,TE,0,2026,2026,138,45.7,66.1,88.9,76.4,68.7,52.3,11,1,12,0,32,370,0,255,657,402,255,CINCINNATI,CINCINNATI,,
52925,Zaid Hamdan,DI,1,,2025,201,,60,60,,,60,D57,3,1,0,0,0,0,1,1,0,1,KENT STATE,KENT STATE,,
52962,Michael McCalmont,TE,0,,2025,138,,40.6,79,9.3,50.2,48.1,82,0,12,0,6,7,0,54,67,13,54,CINCINNATI,CINCINNATI,,
53372,Nick Presley,WR,0,,2026,117,61,55.1,75.4,,55,61,19,0,4,0,0,12,0,13,25,12,13,BALL ST,BALL ST,,
53398,Eric Meeks,G,0,,2026,214,,54,29.2,60.6,,55.2,57,2,9,0,102,0,0,136,238,102,136,MARSHALL,MARSHALL,,
53431,Zeke Correll,C,0,2025,2025,248,,72.7,59.8,79.6,,70,56,3,13,0,489,0,0,335,824,489,335,NC STATE,NC STATE,,
53851,Logan Osburn,C,0,,2025,214,,64,57.5,74.8,,61,65,4,13,0,363,0,0,393,756,363,393,MARSHALL,MARSHALL,,
54221,Sterling Berkhalter,WR,0,,2027,138,68.7,67.9,83.4,,68,59.6,84,0,12,0,0,107,0,91,198,107,91,CINCINNATI,CINCINNATI,,
60180,Shintaro Mann,G,0,,2025,328,,55.7,70.1,,,56.5,60,0,2,0,0,0,0,4,4,0,4,UTAH,UTAH,,
63709,Spencer Curtis,WR,0,,2025,180,70.6,62.2,86.5,,61.8,61.2,14,0,12,0,0,255,0,105,360,255,105,HAWAII,HAWAII,,
63838,Jack Coldiron,TE,0,,2025,221,68.7,57.1,86.4,45.2,58.9,57.5,89,0,12,0,68,123,0,126,317,191,126,MIAMI OH,MIAMI OH,,
63985,CJ Kiss,TE,0,,2025,346,,58,68.5,65.5,57.7,60,89,0,4,0,1,1,0,4,6,2,4,W KENTUCKY,W KENTUCKY,,
64958,Connor Cmiel,WR,0,,2025,141,,59.9,68.4,,,59.4,81,0,1,0,0,0,0,4,4,0,4,COAST CAR,COAST CAR,,
70536,Sebastian Macaluso,WR,0,,2025,285,70.4,62.5,79.7,,62,62.7,24,0,13,0,0,98,0,26,124,98,26,S JOSE ST,S JOSE ST,,
70624,Jacob Garcia,LS,0,,2025,329,,60,64.4,63.8,60,60,S49,0,3,0,1,1,0,1,3,2,1,UTAH ST,UTAH ST,,
70727,Miller Moss,QB,0,2026,2026,326,56.9,77.7,77.4,,54.3,60.1,07,3,9,389,0,1,11,204,605,390,215,USC,USC,65.5,75.7
70874,Jake Retzlaff,QB,0,,2026,128,37.5,74.7,81.7,,37.9,60.2,12,1,13,437,0,7,72,328,844,444,400,BYU,BYU,68.5,72
70933,DeCarlos Brooks,HB,0,,2025,110,80.4,66.6,80.6,75,40.9,67.6,25,0,12,0,3,24,37,33,97,27,70,ARIZONA ST,ARIZONA ST,68.8,
70961,Mikey Keene,QB,0,,2027,169,42.6,71.2,79.8,62.2,53.9,60.8,01,3,12,459,1,5,15,264,744,465,279,FRESNO ST,FRESNO ST,39.7,73.5
70963,Jacob Conover,QB,0,,2026,329,17.5,32.6,70.1,,,60,15,0,2,6,0,0,2,2,10,6,4,UTAH ST,UTAH ST,44.6,47.1
71008,General Booty,QB,0,,2026,209,71.9,46.9,53.5,,,60,14,1,6,63,0,0,5,101,169,63,106,LA MONROE,LA MONROE,64,42.9
71295,Ryan Hilinski,QB,0,,2025,256,25,44.6,74.2,,,60,03,1,4,17,0,0,3,11,31,17,14,NWESTERN,NWESTERN,46.5,52.9
71304,Kyle Ford,WR,0,,2025,326,29,64.2,53.8,,65.2,55.5,81,1,13,0,0,206,0,149,355,206,149,USC,USC,,
71312,Elijah Mojarro,TE,0,,2025,275,27.3,50,86.2,64.3,58.5,38.5,07,2,11,0,59,198,0,184,441,257,184,RICE,RICE,,
71325,Boden Groen,TE,0,,2026,275,68.5,54.8,34.3,54,56.1,58.1,14,1,4,0,14,87,0,54,155,101,54,RICE,RICE,,
71332,Sean Dollars,HB,0,,2026,239,38.7,56.5,11.6,49.2,70.4,58.6,04,1,9,0,25,63,46,37,171,88,83,NEVADA,NEVADA,53,
