playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesKickReturn
63709,Spencer Curtis,WR,0,0,,2025,180,53.9,67.1,14,0,0,1,0,0,0,3,4,0,0,HAWAII,HAWAII,7,,,,,,,,
71382,Luke Felix-Fualalo,T,0,0,2025,2025,180,61.5,67.8,72,0,0,1,5,0,0,0,0,0,0,HAWAII,HAWAII,5,60,,,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,53.1,68.9,D34,1,0,1,0,0,6,1,2,0,0,NEW MEXICO,NEW MEXICO,9,,,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,60.4,65,D00,0,0,1,0,3,0,0,0,1,0,NEVADA,NEVADA,4,,59.7,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,90,70.4,D06,0,0,1,0,0,6,3,8,11,2,HAWAII,HAWAII,28,,,,,,,,
81559,Spencer Lovell,G,0,0,,2025,239,61.4,62,76,0,0,1,4,0,0,0,0,0,0,NEVADA,NEVADA,4,60,,,,,,,
81883,Baraka Beckett,G,0,0,,2025,241,61.4,63.3,56,0,0,1,7,0,0,0,0,0,0,NEW MEXICO,NEW MEXICO,7,60,,,,,,,
86114,Sergio Muasau,C,0,0,,2025,180,61.7,66.8,66,0,0,1,5,0,0,0,0,0,0,HAWAII,HAWAII,5,60.3,,,,,,,
86345,Aaron Rodriguez,P,0,0,,2025,241,60,67.3,S10,0,1,1,0,0,0,0,4,0,0,NEW MEXICO,NEW MEXICO,4,,,70.6,,,,,
87618,Logan Taylor,LB,0,0,,2026,180,60,61.3,D16,0,0,1,0,2,0,0,0,1,0,HAWAII,HAWAII,3,,60,,,,,,
97225,Brandon Crossley,CB,0,0,2025,2025,287,29,25.1,D01,0,1,1,0,1,4,0,0,3,0,SMU,SMU,8,,60,,,,,,
97321,Ryan Davis,WR,0,0,,2026,241,60,64.7,18,0,0,1,0,0,0,0,0,1,0,NEW MEXICO,NEW MEXICO,1,,,,,,,,
97560,Thomas Gore,DI,0,0,,2025,176,60,67.2,D59,0,0,1,0,0,0,0,0,1,0,GA TECH,GA TECH,1,,,,,,,,
97645,Jakai Clark,C,0,0,,2025,287,61.4,66.3,53,0,0,1,4,0,0,0,0,0,0,SMU,SMU,4,60,,,,,,,
97701,Nalu Emerson,LB,0,0,,2025,180,61.3,66.3,D11,0,0,1,0,0,0,3,0,2,0,HAWAII,HAWAII,5,,,,,,,,
97798,Jonah Panoke,WR,0,0,,2025,180,75.5,71.8,01,0,0,1,0,0,0,3,0,8,0,HAWAII,HAWAII,11,,,,,,,,
98118,Jahfari Harvey,ED,0,0,2025,2025,287,60.6,65.4,D06,0,0,1,0,4,0,0,0,2,0,SMU,SMU,6,,59.4,,,,,,
98313,Sylvain Yondjouen,ED,0,0,,2025,176,59.9,63.5,D32,0,0,1,0,2,0,0,0,0,0,GA TECH,GA TECH,2,,59.7,,,,,,
98331,Jared Harrison-Hunte,DI,0,0,2025,2025,287,59,64.8,D81,0,0,1,0,4,0,0,0,1,0,SMU,SMU,5,,58.6,,,,,,
98501,Ryland Goede,TE,0,0,,2025,176,60.9,63.2,86,0,0,1,5,0,0,4,0,0,0,GA TECH,GA TECH,9,60,,,,,,,
98842,Warren Burrell,CB,0,0,,2025,176,46.5,66.8,D04,1,0,1,0,2,0,0,2,1,0,GA TECH,GA TECH,5,,60,,,,,,
98988,Tarian Lee Jr.,LB,0,0,,2025,287,61.1,66.4,D40,0,0,1,0,0,0,0,0,3,0,SMU,SMU,3,,,,,,,,
98999,Kevin Harris,ED,0,0,,2025,176,60.3,64,D11,0,0,1,0,1,0,0,0,1,0,GA TECH,GA TECH,2,,59.8,,,,,,
99072,Keiondre Jones,G,0,0,,2025,167,61,61.8,75,0,0,1,3,0,0,0,0,0,0,FLORIDA ST,FLORIDA ST,3,60,,,,,,,
99205,Chase Lane,WR,0,0,,2025,176,61,66.9,07,0,0,1,0,0,4,0,0,0,0,GA TECH,GA TECH,4,,,,,,,,
99328,Kori Roberson Jr.,DI,0,0,,2025,287,60,64.1,D92,0,0,1,0,0,0,0,0,1,0,SMU,SMU,1,,,,,,,,
99679,Darius Washington,T,0,0,,2025,167,60.4,62.5,76,0,0,1,3,0,0,0,0,0,0,FLORIDA ST,FLORIDA ST,3,60,,,,,,,
99842,Mike Lockhart,DI,0,0,,2026,287,60,64.1,D09,0,0,1,0,0,0,0,0,1,0,SMU,SMU,1,,,,,,,,
99867,Ryan Fitzgerald,K,0,0,2025,2025,167,60,67,S88,0,0,1,3,0,4,0,0,0,0,FLORIDA ST,FLORIDA ST,7,,,,73.8,71.5,,,
100413,Jojo Forest,CB,0,0,,2025,180,61.6,65.5,D08,0,0,1,0,1,6,0,0,3,0,HAWAII,HAWAII,10,,59.9,,,,,,
100607,Jonathan McGill,S,0,0,,2025,287,62.8,71,D02,0,0,1,0,3,6,0,0,3,0,SMU,SMU,12,,59.9,,,,,,
