playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesPassRushDefense,gradesCoverageDefense
43872,Mason White,CB,0,0,,0,1,,OREGON ST,0,D01,5,1,0,0,1,2026,2,21.4,0,0,0,0,0,0,0,0,46.1,4,0,0,0,OREGON ST,0,0,0,0,,0,100,45.9,,71.7,0,265,7,0,0,0,0,7,0,0,0,0,2,,
52925,Zaid Hamdan,DI,0,0,,0,0,,KENT STATE,1,D57,0,0,0,13,1,2025,40,72.8,0,0,2,0,0,4,4,0,64.2,0,0,0,0,KENT STATE,1,0,2,0,,0,0,72,,75.7,0,201,40,0,32,0,0,27,0,2,0,0,0,79.7,
53549,DeShawn Pace,LB,10,0,,0,1,90,UCF,10,D03,60,51,0,7,1,2025,6,75.6,52,9,0,0,47,0,0,0,56,0,0,0,0,UCF,4,0,0,0,18,9,9.1,66.1,5.8,75.6,0,323,66,24,0,0,88.3,12,1,0,0,0,6,56.3,69.3
53572,Eric Phillips,ED,0,0,,0,0,,CINCINNATI,0,D97,1,1,2,30,1,2025,36,74.8,0,0,1,0,0,1,0,0,51.7,0,0,1,0,CINCINNATI,2,0,3,0,,0,,62.2,,0,0,138,37,0,0,0,0,7,0,0,0,0,35,70.2,
53981,Iesa Jarmon,CB,0,0,,0,0,,AKRON,1,D12,16,3,0,0,1,2027,0,73.5,0,0,0,0,9,0,0,0,69.7,13,0,0,0,AKRON,1,0,0,0,,0,0,69.5,,71.3,0,102,16,0,0,0,0,7,0,0,0,0,0,,65.2
54193,Jaheim Thomas,LB,0,0,2026,0,0,,WISCONSIN,2,D07,45,45,0,7,1,2025,7,83,0,0,0,0,16,0,0,0,61.1,0,0,0,0,WISCONSIN,0,0,0,0,,0,0,66.3,,75.8,0,349,52,0,0,0,0,29,0,6,0,0,7,53.8,73
54240,Cheikhsaliou Fall,ED,0,0,,0,0,,CAL,0,D17,0,0,0,8,1,2025,16,,0,0,0,0,0,3,0,0,52.9,0,0,0,0,CAL,0,0,0,0,,0,,50.7,,75.1,0,130,16,0,0,0,0,8,0,0,0,0,13,54.9,
62494,Alex Howard,LB,0,0,,0,3,,DUKE,2,D03,57,53,1,6,1,2025,5,28.8,0,0,0,0,23,0,0,0,35.8,0,0,0,0,DUKE,1,0,1,0,,4,37.5,42.1,,76.8,0,154,62,0,0,0,0,33,0,3,0,0,5,64.3,52.2
62724,Barry Brown,LB,3,0,,0,1,100,COAST CAR,1,D35,17,17,0,1,1,2025,0,26.8,24,3,0,0,7,0,0,0,31.9,0,0,0,0,COAST CAR,1,0,0,0,14,0,50,30.9,8,71.6,0,141,17,16,0,0,100,9,0,0,0,0,0,62.3,42.8
63872,Kam Butler,ED,0,0,,0,2,,VIRGINIA,3,D82,1,1,0,36,1,2025,66,48.2,0,0,6,0,3,5,0,0,70.2,0,1,0,0,VIRGINIA,0,0,7,0,,0,28.6,82.8,,79.4,0,335,67,0,3,0,0,28,0,2,0,0,58,84.8,62.3
