playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesLongSnap,gradesPuntReturn,gradesKickReturn,gradesPunter,gradesFgepKicker
24577,Eric Goins,K,0,0,,2025,258,71.5,60,67.8,S90,0,0,1,0,0,4,0,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
41982,Cam McCormick,TE,0,0,,2025,220,,61.8,63.2,84,0,0,1,10,0,0,1,1,0,0,MIAMI FL,MIAMI FL,12,62.2,,,,,,
43872,Mason White,CB,0,0,,2026,265,,60.5,64.3,D01,0,0,1,0,1,3,0,0,0,0,OREGON ST,OREGON ST,4,,59.9,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,,61,63.4,15,0,0,1,4,0,0,0,6,0,0,LIBERTY,LIBERTY,10,60,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,60.2,65,D38,0,0,1,0,0,0,0,0,3,0,NWESTERN,NWESTERN,3,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,58.3,63.8,88,0,0,1,6,0,0,2,0,0,0,NWESTERN,NWESTERN,8,60,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,60.8,61.3,11,0,0,1,4,0,0,0,0,0,0,CINCINNATI,CINCINNATI,4,60,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,50.7,64.9,D57,1,0,1,0,6,0,0,8,0,1,KENT STATE,KENT STATE,14,,58.8,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,61.1,66.1,82,0,0,1,5,0,0,4,0,0,0,CINCINNATI,CINCINNATI,9,60,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,57.1,67.1,19,0,0,1,0,0,0,3,2,0,0,BALL ST,BALL ST,5,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60,27.1,D03,0,1,1,0,7,3,0,3,0,1,UCF,UCF,13,,59.8,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,59.6,62.8,D97,0,0,1,0,2,0,0,0,0,0,CINCINNATI,CINCINNATI,2,,59.4,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,61.5,66.5,D12,0,0,1,0,0,0,0,0,4,0,AKRON,AKRON,4,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,59.5,65.4,D07,0,0,1,0,7,0,0,5,0,0,WISCONSIN,WISCONSIN,12,,60,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,61.3,67.5,D17,0,0,1,0,1,6,0,0,0,0,CAL,CAL,7,,59.8,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60.8,62.7,D03,0,0,1,0,2,0,0,0,2,0,DUKE,DUKE,4,,59.9,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,61.6,64.8,D35,0,0,1,0,1,5,0,0,0,0,COAST CAR,COAST CAR,6,,60,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,60.3,64.9,14,0,0,1,0,0,0,6,0,0,0,HAWAII,HAWAII,6,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,61.7,65.8,D82,0,0,1,0,5,0,0,0,3,0,VIRGINIA,VIRGINIA,8,,60,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,30,67.2,24,0,1,1,0,0,0,0,0,6,0,S JOSE ST,S JOSE ST,6,,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,,70.9,63.6,S49,0,0,1,5,0,0,0,5,0,1,UTAH ST,UTAH ST,10,61.6,,81.1,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.7,64.4,D94,0,0,1,0,5,0,0,8,1,0,WYOMING,WYOMING,14,,58.8,,,,,
70973,Bryant Jackson,LB,0,0,,2026,242,,60.2,70.6,D57,0,0,1,0,0,0,9,0,0,0,NEW MEX ST,NEW MEX ST,9,,,,,,,
71332,Sean Dollars,HB,0,0,,2026,239,,59.8,66.1,04,0,0,1,0,0,0,6,0,0,0,NEVADA,NEVADA,6,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.1,64.5,D01,0,0,1,0,2,0,0,0,0,0,ALABAMA,ALABAMA,2,,59.9,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,328,,60.3,65.5,D57,0,0,1,0,4,0,0,0,2,0,UTAH,UTAH,6,,59.2,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,,61.9,63.2,S47,0,0,1,5,0,0,0,4,0,0,WASHINGTON,WASHINGTON,9,61.6,,63.8,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60.1,64.5,11,0,0,1,0,0,0,0,0,8,0,TEXAS,TEXAS,8,,,,71.9,,,
72075,Josh Carlin,G,0,0,,2025,324,,61.4,62,54,0,0,1,4,0,0,0,0,0,0,UCLA,UCLA,4,60,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,60,64.6,D02,0,0,1,0,2,0,0,0,0,0,S JOSE ST,S JOSE ST,2,,60,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,52.7,68.3,09,0,0,1,0,0,0,8,5,3,0,UTAH ST,UTAH ST,16,,,,,,,
72208,Jude Wolfe,TE,0,0,,2025,284,,59.9,66.7,18,0,0,1,0,0,0,0,2,0,0,S DIEGO ST,S DIEGO ST,2,,,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,59.6,64.4,D13,0,0,1,0,3,0,0,4,1,0,WASHINGTON,WASHINGTON,8,,59.9,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,63.9,67,D03,0,0,1,0,2,7,3,0,0,0,BYU,BYU,12,,60,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,62.5,69.5,D27,0,0,1,0,0,4,0,0,3,0,UTAH ST,UTAH ST,7,,,,,,,
72388,Justin Flowe,LB,0,0,,2027,109,,61,65.4,D00,0,0,1,0,0,2,0,0,2,0,ARIZONA,ARIZONA,4,,,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,,59.8,68.1,D34,0,0,1,0,7,0,0,4,0,0,NEW MEXICO,NEW MEXICO,11,,59.6,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,48,66.2,D39,0,0,1,0,0,3,2,0,1,0,UTAH ST,UTAH ST,6,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,61.5,61.6,53,0,0,1,7,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,7,60,,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,64.6,67.7,D17,0,0,1,0,0,5,0,0,3,0,UNLV,UNLV,8,,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,59.5,62.9,D99,0,0,1,0,2,0,0,0,0,0,UNLV,UNLV,2,,59.3,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,,61.3,62.8,59,0,0,1,6,0,0,0,0,0,0,UTAH,UTAH,6,60,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,,60,61.8,D00,0,0,1,0,1,0,0,0,0,0,NEVADA,NEVADA,1,,59.7,,,,,
73935,Cade McConnell,QB,0,0,,2026,330,,60.2,60.4,11,0,0,1,3,0,0,0,0,0,0,UTEP,UTEP,3,60,,,,,,
74119,Taariq Al-Uqdah,LB,1,0,,2027,341,,64.7,63.3,D00,0,0,1,0,4,2,0,0,1,0,WASH STATE,WASH STATE,7,,59.9,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,69.9,67.4,D06,0,0,1,0,3,4,6,4,1,1,HAWAII,HAWAII,18,,59.9,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,60.1,64.8,05,0,0,1,0,0,0,1,1,4,0,ARIZONA ST,ARIZONA ST,6,,,,62.4,60,,
74427,Anthony Landphere,TE,0,0,2025,2025,218,,61.1,61.1,82,0,0,1,5,0,0,0,0,0,0,MEMPHIS,MEMPHIS,5,60,,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,60,62.7,D09,0,0,1,0,1,0,0,0,0,0,BAYLOR,BAYLOR,1,,59.8,,,,,
74957,Nathan Griffin,LB,0,0,,2025,346,,61,67.6,D45,0,0,1,0,0,0,3,0,1,0,W KENTUCKY,W KENTUCKY,4,,,,,,,
75046,Jaylen Johnson,S,0,0,,2026,259,,61.2,66.6,D28,0,0,1,0,0,4,0,0,0,0,OHIO,OHIO,4,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,,70.8,67.2,D29,1,0,1,0,4,1,0,4,1,1,MIAMI OH,MIAMI OH,10,,59.8,,,,,
75816,Chuck Hicks,LB,0,0,,2025,229,,57.6,65.2,D30,0,0,1,0,1,0,4,0,1,0,MISSOURI,MISSOURI,6,,60,,,,,
