playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesLongSnap,gradesKickoffKicker,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60,70.5,64.6,84,0,0,1,5,0,0,7,4,0,0,MIAMI FL,MIAMI FL,16,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,61.4,68.2,D01,0,0,1,0,2,5,0,1,4,0,OREGON ST,OREGON ST,12,59.9,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,61.9,70.4,D38,0,0,1,0,0,5,8,0,1,0,NWESTERN,NWESTERN,14,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,60,60.8,60.9,88,0,0,1,4,0,0,0,0,0,0,NWESTERN,NWESTERN,4,,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,59.9,68.6,19,0,0,1,0,0,0,0,2,0,0,BALL ST,BALL ST,2,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,57.3,63.5,57,0,0,1,0,0,0,5,2,0,0,MARSHALL,MARSHALL,7,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,59.5,64.9,D03,0,0,1,0,4,0,0,4,0,0,UCF,UCF,8,59.9,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,60.8,66.6,D12,0,0,1,0,0,0,0,0,3,0,AKRON,AKRON,3,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60.4,64,D07,0,0,1,0,2,0,0,0,1,0,WISCONSIN,WISCONSIN,3,59.8,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.5,62.9,D53,0,0,1,0,2,0,0,0,0,0,NWESTERN,NWESTERN,2,59.3,,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60.4,63.6,D03,0,0,1,0,4,0,0,0,1,0,DUKE,DUKE,5,59.8,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,64.6,65.6,D35,0,0,1,0,1,8,1,0,0,0,COAST CAR,COAST CAR,10,60,,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,59.9,65.5,14,0,0,1,0,0,0,6,0,0,0,HAWAII,HAWAII,6,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,60,62.3,75.4,D82,0,0,1,5,2,0,0,0,1,0,VIRGINIA,VIRGINIA,8,59.9,,,,,,
64470,Will Whitson,DI,0,0,,2028,141,,59.8,65.2,D44,0,0,1,0,5,0,0,0,2,0,COAST CAR,COAST CAR,7,58.9,,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,60.8,65.1,D58,0,0,1,0,1,0,0,0,2,0,OHIO STATE,OHIO STATE,3,59.6,,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,61,67,24,0,0,1,0,0,0,0,0,3,0,S JOSE ST,S JOSE ST,3,,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,60,65.8,63.5,S49,0,0,1,4,0,0,0,5,0,0,UTAH ST,UTAH ST,9,,81.3,,,,,
70670,Cash McVay,K,0,0,,2026,108,,60,67,S43,0,0,1,0,0,3,0,0,0,0,APP STATE,APP STATE,3,,,57.3,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60.8,68.6,25,0,0,1,0,0,0,6,0,0,0,ARIZONA ST,ARIZONA ST,6,,,,,,,
71332,Sean Dollars,HB,0,0,,2026,239,,59.9,66.1,04,0,0,1,0,0,0,6,0,0,0,NEVADA,NEVADA,6,,,,59.9,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,61,67.3,D01,0,0,1,0,7,0,0,0,2,0,ALABAMA,ALABAMA,9,60,,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,60.3,62,D00,0,0,1,0,3,0,0,0,1,0,USC,USC,4,59.8,,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,60,26.4,D04,0,1,1,0,4,0,0,2,2,1,USC,USC,8,60,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,,54,63,S47,0,0,1,0,0,0,0,3,0,0,WASHINGTON,WASHINGTON,3,,27.3,,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,60,62.3,07,0,0,1,0,0,0,6,0,0,0,NEVADA,NEVADA,6,,,,58.6,,,
72075,Josh Carlin,G,0,0,,2025,324,60,60,61,54,0,0,1,1,0,0,0,0,0,0,UCLA,UCLA,1,,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,57.3,65.9,D02,0,0,1,0,5,0,1,0,0,0,S JOSE ST,S JOSE ST,6,60.1,,,,,,
72158,Jake Bailey,WR,0,0,,2025,287,,60,64.7,12,0,0,1,0,0,0,0,0,1,0,SMU,SMU,1,,,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,56.6,67.7,09,0,0,1,0,0,0,9,4,2,0,UTAH ST,UTAH ST,15,,,,,,,
72208,Jude Wolfe,TE,0,0,,2025,284,,60,61.8,18,0,0,1,0,0,0,0,1,0,0,S DIEGO ST,S DIEGO ST,1,,,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,60.4,63,D13,0,0,1,0,2,0,0,0,1,0,WASHINGTON,WASHINGTON,3,60,,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,58.9,71.6,D27,0,0,1,0,0,6,11,0,2,0,UTAH ST,UTAH ST,19,,,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,70,67.9,D17,0,0,1,0,0,7,0,0,2,0,UNLV,UNLV,9,,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,59.8,62,D99,0,0,1,0,1,0,0,0,0,0,UNLV,UNLV,1,59.6,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,,60,63.5,D00,0,0,1,0,0,0,0,0,1,0,NEVADA,NEVADA,1,,,,,,,
73389,Marco Notarainni,LB,1,0,,2026,120,,57.2,67.1,D53,1,0,1,0,4,9,5,2,0,0,BOISE ST,BOISE ST,20,60,,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,,61,63.6,D51,0,0,1,0,0,3,0,0,0,0,USC,USC,3,,,,,,,
74236,Mason Murphy,T,0,0,2026,2026,326,60,61.3,68.4,76,0,0,1,4,0,0,0,0,0,0,USC,USC,4,,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,77.7,69.2,D06,0,0,1,0,5,5,6,3,5,2,HAWAII,HAWAII,24,59.8,,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,60,64.9,05,0,0,1,0,0,0,0,1,4,0,ARIZONA ST,ARIZONA ST,5,,,,,73.3,,
