playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
24577,Eric Goins,K,0,0,,2025,258,67.2,60,69.4,S90,0,0,1,0,0,7,0,0,0,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,63.7,67,D01,0,0,1,0,4,7,0,1,1,0,OREGON ST,OREGON ST,13,59.7,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,,61.2,63.3,15,0,0,1,5,0,0,0,6,0,0,LIBERTY,LIBERTY,11,,60,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,62.2,66.4,D38,0,0,1,0,0,8,3,0,2,0,NWESTERN,NWESTERN,13,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,61.4,60.9,88,0,0,1,7,0,0,0,0,0,0,NWESTERN,NWESTERN,7,,60,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,61.1,61.2,11,0,0,1,5,0,0,0,0,0,0,CINCINNATI,CINCINNATI,5,,60,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,70.6,65.7,D57,0,0,1,0,1,0,8,2,2,0,KENT STATE,KENT STATE,13,59.6,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,61,65.3,82,0,0,1,5,0,0,4,0,0,0,CINCINNATI,CINCINNATI,9,,60,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,59.8,69.8,19,0,0,1,0,0,0,0,3,0,0,BALL ST,BALL ST,3,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,60.9,68.1,57,0,0,1,0,0,0,3,5,0,0,MARSHALL,MARSHALL,8,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,59.9,66.2,D03,0,0,1,0,4,0,0,3,0,0,UCF,UCF,7,60.1,,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,60,61.8,D97,0,0,1,0,1,0,0,0,0,0,CINCINNATI,CINCINNATI,1,59.7,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,60.9,67.7,D12,0,0,1,0,0,0,0,0,3,0,AKRON,AKRON,3,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60.3,62.6,D07,0,0,1,0,2,0,0,0,1,0,WISCONSIN,WISCONSIN,3,59.8,,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,60,62.7,D17,0,0,1,0,1,0,0,0,0,0,CAL,CAL,1,59.8,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.8,63,D53,0,0,1,0,2,0,0,0,0,0,NWESTERN,NWESTERN,2,59.6,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,60.6,63.7,D35,0,0,1,0,0,2,0,0,0,0,COAST CAR,COAST CAR,2,,,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,60.1,65.5,14,0,0,1,0,0,0,6,1,0,0,HAWAII,HAWAII,7,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,59.6,68.4,D82,0,0,1,0,5,0,0,0,1,0,VIRGINIA,VIRGINIA,6,58.9,,,,,,
