playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesHandsFumble,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,48.6,74.3,53.4,51.3,84,0,1,0,0,7,0,17,24,7,17,MIAMI FL,MIAMI FL,,,,
52369,Marshall Lang,TE,0,2025,2025,256,65.5,74,55.4,77,88,0,1,0,0,6,0,10,16,6,10,NWESTERN,NWESTERN,,,,
52487,Luke Kandra,G,0,2025,2025,138,66.5,79,,64.7,67,0,1,0,35,0,0,34,69,35,34,CINCINNATI,CINCINNATI,73.3,,,
52540,Jakob James,C,0,,2025,316,64.8,79.5,,63,78,0,1,0,36,0,0,31,67,36,31,TOLEDO,TOLEDO,65,,,
52545,Joe Royer,TE,0,2026,2026,138,69.5,78.7,70.2,61.4,11,0,1,0,4,26,0,27,57,30,27,CINCINNATI,CINCINNATI,77.9,65,,
52962,Michael McCalmont,TE,0,,2025,138,52.2,71.5,53.3,54,82,0,1,0,0,3,0,6,9,3,6,CINCINNATI,CINCINNATI,,,,
53431,Zeke Correll,C,0,2025,2025,248,87.7,79.6,,82.8,56,0,1,0,44,0,0,24,68,44,24,NC STATE,NC STATE,87,,,
53851,Logan Osburn,C,0,,2025,214,65.4,79.1,,64.2,65,0,1,0,23,0,0,34,57,23,34,MARSHALL,MARSHALL,59.1,,,
54221,Sterling Berkhalter,WR,0,,2027,138,68,72.8,68.4,54.6,84,0,1,0,0,4,0,8,12,4,8,CINCINNATI,CINCINNATI,,61,,
63709,Spencer Curtis,WR,0,,2025,180,60,76.1,59.7,61.5,14,0,1,0,0,20,0,10,30,20,10,HAWAII,HAWAII,,61,,
63838,Jack Coldiron,TE,0,,2025,221,71.2,70.9,74.4,56.1,89,0,1,0,0,3,0,4,7,3,4,MIAMI OH,MIAMI OH,,61,,
70536,Sebastian Macaluso,WR,0,,2025,285,55.7,71.6,56,60.3,24,0,1,0,0,5,0,6,11,5,6,S JOSE ST,S JOSE ST,,,,
70727,Miller Moss,QB,0,2026,2026,326,68.3,77.3,,60,07,0,1,52,0,0,3,20,75,52,23,USC,USC,,70.9,68.7,56.6
70874,Jake Retzlaff,QB,0,,2026,128,86,76.6,60,60,12,0,1,30,0,1,6,28,65,31,34,BYU,BYU,,71.1,76.2,80.5
70933,DeCarlos Brooks,HB,0,,2025,110,62.3,69.8,60,60,25,0,1,0,0,1,6,1,8,1,7,ARIZONA ST,ARIZONA ST,,70.5,,62.1
70961,Mikey Keene,QB,0,,2027,169,63.4,76.1,,60.2,01,1,1,23,0,0,1,31,55,23,32,FRESNO ST,FRESNO ST,,68.1,61.6,61.4
71304,Kyle Ford,WR,0,,2025,326,58.5,76.9,55.1,78.4,81,0,1,0,0,16,0,9,25,16,9,USC,USC,,62.9,,
71312,Elijah Mojarro,TE,0,,2025,275,53.7,76,57.6,46.1,07,0,1,0,1,26,0,9,36,27,9,RICE,RICE,61,64.1,,
71332,Sean Dollars,HB,0,,2026,239,52.1,68.4,60,59.3,04,0,1,0,0,1,1,2,4,1,3,NEVADA,NEVADA,0,62.5,,59.6
71345,Bru McCoy,WR,0,,2025,307,62.4,77.4,61.9,62,05,0,1,0,0,31,0,26,57,31,26,TENNESSEE,TENNESSEE,,66.2,,
71409,Jamari Ferrell,HB,0,,2026,351,57.8,0,58.9,59.6,06,1,1,0,1,2,5,2,10,3,7,WYOMING,WYOMING,45.7,69.7,,64
71502,Andrew Madrigal,C,0,,2026,239,77,79.6,,71.9,78,0,1,0,36,0,0,31,67,36,31,NEVADA,NEVADA,82.2,,,
71674,Silas Bolden,WR,0,2025,2025,311,58.7,63.4,59.9,,11,0,1,0,0,1,0,0,1,1,0,TEXAS,TEXAS,,67.5,,
71706,Bryce Pierre,TE,0,2025,2025,324,45.4,74.5,49.4,47,87,0,1,0,0,14,0,5,19,14,5,UCLA,UCLA,,64.1,,
72075,Josh Carlin,G,0,,2025,324,54.6,4.9,,60.7,54,1,1,0,45,0,0,25,70,45,25,UCLA,UCLA,43.7,,,
72158,Jake Bailey,WR,0,,2025,287,65.1,76.1,64.4,61.8,12,0,1,0,0,24,0,15,39,24,15,SMU,SMU,,65.7,,
72200,Marist Talavou,G,0,,2025,285,69.3,79,,64.9,61,0,1,0,43,0,0,23,66,43,23,S JOSE ST,S JOSE ST,87.9,,,
72292,Canaan Yarro,C,0,,2025,242,68.3,2.3,,67.7,56,1,1,0,32,0,0,36,68,32,36,NEW MEX ST,NEW MEX ST,77.5,,,
72689,Marshall Jackson,T,0,,2026,346,75.6,77,,73.9,53,0,1,0,37,0,0,36,73,37,36,W KENTUCKY,W KENTUCKY,70.8,,,
72705,Jacob Gideon,C,0,,2025,347,75.1,79.8,,69.5,77,0,1,0,35,0,0,37,72,35,37,W MICHIGAN,W MICHIGAN,83.9,,,
73148,Falcon Kaumatule,G,0,,2025,328,67.6,75.7,,63.4,59,0,1,0,21,0,0,6,27,21,6,UTAH,UTAH,85.3,,,
73621,Elijah Gilliam,HB,0,,2026,169,72.8,75.2,72.1,78.5,33,0,1,0,2,12,20,2,36,14,22,FRESNO ST,FRESNO ST,38.8,76.7,,69.1
73929,Donovan Smith,QB,0,,2025,182,65.7,75.4,,60,01,0,1,35,0,0,6,6,47,35,12,HOUSTON,HOUSTON,,71.3,55.7,72.9
73978,Michael Churich,TE,0,,2025,324,56.9,69.6,56.9,59.3,89,0,1,0,0,2,0,3,5,2,3,UCLA,UCLA,,,,
74174,Mose Vavao,C,0,2025,2025,169,55.1,79,,53.7,51,0,1,0,23,0,0,35,58,23,35,FRESNO ST,FRESNO ST,69.9,,,
74236,Mason Murphy,T,0,2026,2026,326,70.5,20.6,,77.6,76,1,1,0,51,0,0,23,74,51,23,USC,USC,66.8,,,
74267,Melquan Stovall,WR,0,,2025,110,53.6,76.9,52.9,61.1,05,1,1,0,0,16,0,23,39,16,23,ARIZONA ST,ARIZONA ST,,69.7,,
74298,Justin Lockhart,WR,0,2025,2025,285,70.4,79.8,69.7,60.2,11,0,1,0,0,40,0,13,53,40,13,S JOSE ST,S JOSE ST,,65,,
74427,Anthony Landphere,TE,0,2025,2025,218,53.3,75.4,51.1,56.9,82,0,1,0,6,22,0,11,39,28,11,MEMPHIS,MEMPHIS,72.6,61,,
74652,AJ Vaipulu,G,0,,2026,242,57.6,80.1,,58.7,51,0,1,0,32,0,0,36,68,32,36,NEW MEX ST,NEW MEX ST,41.6,,,
76794,Malcolm Lamar Sr.,T,0,,2025,165,64.8,74.8,,54.4,70,0,1,0,25,0,0,11,36,25,11,FAU,FAU,83.2,,,
77383,John Campbell Jr.,T,0,,2025,307,53.6,75.3,,56.7,74,1,1,0,23,0,0,23,46,23,23,TENNESSEE,TENNESSEE,42.1,,,
77518,Marques Cox,T,0,2025,2025,202,52,77.3,,50.9,69,0,1,0,37,0,0,32,69,37,32,KENTUCKY,KENTUCKY,52.5,,,
77679,Alan Bowman,QB,0,,2025,262,73.4,75.1,87.9,60,07,0,1,20,0,1,3,19,43,21,22,OKLA STATE,OKLA STATE,,69.3,65.6,66.6
77680,Jace Ruder,LB,0,,2025,251,60,60,,60,D03,0,1,0,0,0,0,1,1,0,1,N TEXAS,N TEXAS,,,,
77743,Cameron Carroll,HB,0,,2025,163,52.3,67.5,60,,27,0,1,0,0,1,3,0,4,1,3,FLORIDA,FLORIDA,,67.3,,53.9
77939,Anthony Torres,TE,0,2025,2025,316,46.1,76.5,47.5,49.9,88,0,1,0,7,24,0,30,61,31,30,TOLEDO,TOLEDO,65.5,61,,
78578,Ty Son Lawton,HB,0,,2025,190,71.2,72.5,64.4,60,17,0,1,0,1,8,9,3,21,9,12,INDIANA,INDIANA,70,72.6,,69.5
81559,Spencer Lovell,G,0,,2025,239,70.4,76.8,,67.4,76,0,1,0,22,0,0,14,36,22,14,NEVADA,NEVADA,87.4,,,
81790,Dawson Jaramillo,C,0,,2025,248,60.4,68.2,,60,69,0,1,0,3,0,0,1,4,3,1,NC STATE,NC STATE,76.4,,,
81860,Tank Jenkins,G,0,,2025,182,71.4,77.1,,68.5,72,0,1,0,27,0,0,13,40,27,13,HOUSTON,HOUSTON,87.8,,,
81883,Baraka Beckett,G,0,,2025,241,65.6,14.5,,66.4,56,1,1,0,33,0,0,49,82,33,49,NEW MEXICO,NEW MEXICO,82.7,,,
81896,Wyatt Bowles,G,0,2025,2025,329,75.9,79.8,,76.2,60,0,1,0,46,0,0,31,77,46,31,UTAH ST,UTAH ST,72.8,,,
82115,Ben Wooldridge,QB,0,2025,2025,207,89.8,28.4,,60,10,1,1,40,0,0,7,30,77,40,37,LA LAFAYET,LA LAFAYET,,40.4,89.2,70.2
82136,Spencer Petras,QB,0,,2025,329,69.6,77.7,,60,07,0,1,52,0,0,4,28,84,52,32,UTAH ST,UTAH ST,,71.2,67.9,64
83537,Tyler Shough,QB,0,2025,2025,210,85.3,77.3,,60.1,09,1,1,57,0,0,1,17,75,57,18,LOUISVILLE,LOUISVILLE,,70.4,82.1,70.8
83580,Jack Tuttle,QB,0,,2025,222,28.7,76.9,,60,13,0,1,41,0,0,2,28,71,41,30,MICHIGAN,MICHIGAN,,22.1,30.1,39.5
84071,Brant Kuithe,TE,0,,2025,328,60.1,78.4,67.1,40.1,80,0,1,0,2,31,1,9,43,33,10,UTAH,UTAH,69.5,67.4,,56.7
84337,Jyaire Shorter,WR,0,,2025,218,69.2,72.4,68.6,58.2,04,0,1,0,0,10,0,2,12,10,2,MEMPHIS,MEMPHIS,,61,,
86114,Sergio Muasau,C,0,,2025,180,57.1,78.8,,59.6,66,0,1,0,36,0,0,18,54,36,18,HAWAII,HAWAII,45.6,,,
86142,Carson Lee,G,0,,2026,160,61.1,80.6,,62.7,75,0,1,0,45,0,0,37,82,45,37,E MICHIGAN,E MICHIGAN,48.3,,,
86146,Toreon Penright,T,0,,2026,169,52.9,72.1,,67.1,77,0,1,0,11,0,0,5,16,11,5,FRESNO ST,FRESNO ST,15.2,,,
86272,Dillon Gabriel,QB,0,2025,2025,264,67.4,76.2,,60,08,1,1,29,0,0,3,26,58,29,29,OREGON,OREGON,,69.7,67.4,59.1
