playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,61,57.7,73.1,65.4,65.1,47.8,84,0,1,0,1,11,0,11,23,12,11,MIAMI FL,MIAMI FL,,
51984,Bentley Hanshaw,TE,0,,2025,206,62.9,51.1,79.2,45.8,58.3,41.6,15,0,1,0,2,25,0,37,64,27,37,LIBERTY,LIBERTY,,
52369,Marshall Lang,TE,0,2025,2025,256,64.1,61.1,77.4,,62.7,50.9,88,0,1,0,0,28,0,14,42,28,14,NWESTERN,NWESTERN,,
53431,Zeke Correll,C,0,2025,2025,248,,57.6,78.8,54.5,,57.9,56,0,1,0,27,0,0,27,54,27,27,NC STATE,NC STATE,,
53851,Logan Osburn,C,0,,2025,214,,65.4,79.3,82.2,,61.1,65,0,1,0,25,0,0,39,64,25,39,MARSHALL,MARSHALL,,
63709,Spencer Curtis,WR,0,,2025,180,61,67.2,74.4,,66.3,61,14,0,1,0,0,15,0,6,21,15,6,HAWAII,HAWAII,,
70727,Miller Moss,QB,0,2026,2026,326,70.1,57.2,77.8,,,60,07,1,1,51,0,0,1,29,81,51,30,USC,USC,55.2,63.1
70933,DeCarlos Brooks,HB,0,,2025,110,65.5,53.5,70.8,67.5,57.1,57.7,25,0,1,0,1,2,2,3,8,3,5,ARIZONA ST,ARIZONA ST,,57.5
70961,Mikey Keene,QB,0,,2027,169,29.7,54.8,75.8,,,60.1,01,0,1,37,0,0,0,14,51,37,14,FRESNO ST,FRESNO ST,54.1,
71295,Ryan Hilinski,QB,0,,2025,256,63.3,39.1,69.2,,,60,03,0,1,4,0,0,0,2,6,4,2,NWESTERN,NWESTERN,38.5,
71304,Kyle Ford,WR,0,,2025,326,61,54.2,77.5,,54.2,60.6,81,0,1,0,0,15,0,12,27,15,12,USC,USC,,
71312,Elijah Mojarro,TE,0,,2025,275,64.1,57.6,76.5,41.3,68.9,45.3,07,0,1,0,10,18,0,22,50,28,22,RICE,RICE,,
71332,Sean Dollars,HB,0,,2026,239,72.2,70.2,75.7,19.3,62.9,72.7,04,0,1,0,3,21,8,7,39,24,15,NEVADA,NEVADA,,73.6
71345,Bru McCoy,WR,0,,2025,307,65.7,73.5,76.6,,71,78.1,05,0,1,0,0,32,0,19,51,32,19,TENNESSEE,TENNESSEE,,
71382,Luke Felix-Fualalo,T,0,2025,2025,180,,63.3,75.2,64.6,,60.5,72,0,1,0,34,0,0,11,45,34,11,HAWAII,HAWAII,,
71409,Jamari Ferrell,HB,0,,2026,351,77,70.3,75.8,27.7,56.6,59,06,0,1,0,8,5,21,4,38,13,25,WYOMING,WYOMING,,70.9
71502,Andrew Madrigal,C,0,,2026,239,,67.3,79.7,81.6,,62,78,0,1,0,36,0,0,32,68,36,32,NEVADA,NEVADA,,
71706,Bryce Pierre,TE,0,2025,2025,324,61,57.3,74.6,,54.1,64.8,87,0,1,0,0,12,0,11,23,12,11,UCLA,UCLA,,
72075,Josh Carlin,G,0,,2025,324,,63,78.5,82.1,,58,54,0,1,0,32,0,0,24,56,32,24,UCLA,UCLA,,
72208,Jude Wolfe,TE,0,,2025,284,,54.3,77.5,,51.1,65.8,18,0,1,0,0,18,0,11,29,18,11,S DIEGO ST,S DIEGO ST,,
72292,Canaan Yarro,C,0,,2025,242,,60.2,79.3,68.3,,58.1,56,1,1,0,26,0,0,38,64,26,38,NEW MEX ST,NEW MEX ST,,
72376,Cam Davis,HB,0,,2026,340,65.3,63.1,69,75.5,70.1,,22,0,1,0,2,2,1,0,5,4,1,WASHINGTON,WASHINGTON,,59.6
72689,Marshall Jackson,T,0,,2026,346,,59.5,76.1,72.2,,54.5,53,0,1,0,27,0,0,32,59,27,32,W KENTUCKY,W KENTUCKY,,
73389,Marco Notarainni,LB,0,,2026,120,62.5,64.5,60,,,,D53,0,1,0,0,0,1,0,1,0,1,BOISE ST,BOISE ST,,62.7
73582,Cade Briggs,G,0,,2025,110,,55.2,72.4,48.8,,55.4,55,0,1,0,4,0,0,6,10,4,6,ARIZONA ST,ARIZONA ST,,
73621,Elijah Gilliam,HB,0,,2026,169,73.2,63.3,75.1,38.2,59.5,60,33,0,1,0,6,17,10,1,34,23,11,FRESNO ST,FRESNO ST,,65.9
73929,Donovan Smith,QB,0,,2025,182,65.5,69.9,65.5,,,,01,0,1,0,0,0,2,0,2,0,2,HOUSTON,HOUSTON,,65.1
73940,Davis Warren,QB,0,,2027,222,26.3,65.4,75.2,,,60,16,0,1,25,0,0,0,20,45,25,20,MICHIGAN,MICHIGAN,66.4,57.3
73978,Michael Churich,TE,0,,2025,324,,54.8,0,,,60.2,89,1,1,0,0,0,0,3,3,0,3,UCLA,UCLA,,
