playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesKickoffKicker,gradesKickReturn,gradesLongSnap,gradesPuntReturn,gradesFgepKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60,56.8,64.5,84,0,0,1,7,0,0,6,4,0,0,MIAMI FL,MIAMI FL,17,,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,60,61,62.9,15,0,0,1,4,0,0,0,4,0,0,LIBERTY,LIBERTY,8,,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,62.8,66.6,D38,0,0,1,0,0,5,1,0,3,0,NWESTERN,NWESTERN,9,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,60,60.8,60.9,88,0,0,1,4,0,0,0,0,0,0,NWESTERN,NWESTERN,4,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,61,69.3,57,0,0,1,0,0,0,4,3,0,0,MARSHALL,MARSHALL,7,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,69.9,63.7,D03,0,0,1,0,1,1,0,1,3,1,UCF,UCF,6,60,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,61.8,70.4,D12,0,0,1,0,0,0,0,0,7,0,AKRON,AKRON,7,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60,63.8,D07,0,0,1,0,0,0,0,0,1,0,WISCONSIN,WISCONSIN,1,,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.5,62.9,D53,0,0,1,0,2,0,0,0,0,0,NWESTERN,NWESTERN,2,59.3,,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60.3,61.8,D03,0,0,1,0,2,0,0,0,1,0,DUKE,DUKE,3,59.9,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,72.5,66.3,D35,0,0,1,0,0,5,7,0,0,0,COAST CAR,COAST CAR,12,,,,,,,
63985,CJ Kiss,TE,0,0,,2025,346,60,61,62.9,89,0,0,1,5,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,5,,,,,,,
