playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesRunDefense,gradesPassRushDefense
43872,Mason White,CB,1,0,,0,1,0,OREGON ST,0,D01,5,0,0,0,1,2026,0,27.3,0,0,42.8,0,0,5,0,0,0,5,0,0,0,OREGON ST,0,0,0,0,,0,100,40.8,,69,0,265,5,0,0,0,39.6,0,0,0,0,0,0,,
52925,Zaid Hamdan,DI,0,0,,0,1,,KENT STATE,0,D57,0,0,0,7,1,2025,18,16.6,0,0,,0,0,0,2,0,0,0,0,0,0,KENT STATE,0,0,0,0,,0,100,33.8,,72.9,0,201,18,0,16,0,0,11,0,0,0,0,0,34.1,55.9
53549,DeShawn Pace,LB,3,0,,0,1,66.7,UCF,5,D03,47,5,0,8,1,2025,8,66.9,18,2,57.8,1,0,25,0,0,0,1,0,0,0,UCF,1,0,1,0,10,40,16.7,62.8,9,79.9,0,323,55,19,0,0,82.6,22,0,0,1,0,8,72.4,62.6
53572,Eric Phillips,ED,0,0,,0,0,,CINCINNATI,1,D97,0,0,0,14,1,2025,29,71.5,0,0,,0,0,0,11,0,0,0,0,0,0,CINCINNATI,1,0,0,0,,0,0,58.3,,75.8,0,138,29,0,1,0,0,15,1,0,0,0,17,62.8,53.3
54240,Cheikhsaliou Fall,ED,0,0,,0,1,,CAL,2,D17,0,0,0,20,1,2025,26,43.4,0,0,59.1,0,0,0,6,0,0,0,2,0,0,CAL,1,0,2,0,,0,33.3,56.5,,76.4,0,130,26,0,0,0,0,6,0,0,0,0,20,57.5,61.3
55516,Malik Denkins,ED,0,0,,0,0,,C MICHIGAN,0,D81,0,0,1,1,1,2027,4,71.3,0,0,,0,0,0,1,0,0,0,0,0,0,C MICHIGAN,1,0,1,0,,0,,50.6,,68.8,0,134,4,0,0,0,0,3,0,0,0,0,3,50.9,69.7
62494,Alex Howard,LB,2,0,,0,0,100,DUKE,3,D03,24,15,0,3,1,2025,3,79.1,34,2,46.1,0,0,14,0,0,0,0,0,1,0,DUKE,2,0,0,0,26,9,0,47.2,17,74.7,0,154,27,6,0,0,118.8,10,0,0,0,0,3,58.4,56
62724,Barry Brown,LB,0,0,,0,0,,COAST CAR,0,D35,7,6,0,1,1,2025,0,,0,0,60.6,0,0,2,0,0,0,0,0,0,0,COAST CAR,0,0,0,0,,1,,54.7,,68.7,0,141,7,0,0,0,0,4,0,0,0,0,0,54.1,59.9
63872,Kam Butler,ED,0,0,,0,0,,VIRGINIA,2,D82,2,2,0,43,1,2025,62,74.8,0,0,71.5,5,0,3,8,0,0,0,2,1,0,VIRGINIA,0,0,7,0,,0,0,78,,1.3,0,335,64,0,1,1,0,18,0,1,0,0,53,60.4,80.6
66051,Josh Minkins,S,1,0,2025,0,0,100,CINCINNATI,3,D00,29,22,0,0,1,2025,1,77.9,-1,1,71.2,0,0,13,0,0,0,0,0,0,0,CINCINNATI,3,0,0,0,-1,6,0,70.1,-1,73.4,0,138,30,2,0,0,79.2,17,1,0,1,0,1,63.8,
