playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesKickReturn,gradesFgepKicker,gradesPunter
24577,Eric Goins,K,0,0,,2025,258,71.7,60,68.9,S90,0,0,1,0,0,6,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,93.4,66.2,D01,0,0,1,0,6,1,0,0,1,0,OREGON ST,OREGON ST,8,91.7,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,60.4,65.1,D38,0,0,1,0,0,2,0,0,0,0,NWESTERN,NWESTERN,2,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,60,60.2,88,0,0,1,1,0,0,0,0,0,0,NWESTERN,NWESTERN,1,,60,,,,,
52540,Jakob James,C,0,0,,2025,316,,60.5,64.8,78,0,0,1,2,0,0,0,0,0,0,TOLEDO,TOLEDO,2,,60,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,60,60.7,11,0,0,1,2,0,0,0,0,0,0,CINCINNATI,CINCINNATI,2,,60,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,59.7,65.6,D57,0,0,1,0,4,0,7,9,0,0,KENT STATE,KENT STATE,20,59,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,60.7,67.3,82,0,0,1,3,0,0,7,0,0,0,CINCINNATI,CINCINNATI,10,,60,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,66.2,69.6,19,0,0,1,0,0,0,7,4,0,0,BALL ST,BALL ST,11,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,58,63.6,57,0,0,1,2,0,0,4,4,0,0,MARSHALL,MARSHALL,10,,60,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,59.9,64.3,D97,0,0,1,0,5,0,0,0,1,0,CINCINNATI,CINCINNATI,6,59.3,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,61.2,68.2,D12,0,0,1,0,0,0,0,0,5,0,AKRON,AKRON,5,,,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,60,63.6,D17,0,0,1,0,2,0,0,0,0,0,CAL,CAL,2,59.9,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.8,62,D53,0,0,1,0,1,0,0,0,0,0,NWESTERN,NWESTERN,1,59.6,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,60.6,66.6,D35,0,0,1,0,3,4,6,0,0,0,COAST CAR,COAST CAR,13,59.9,,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,58.7,70,14,0,0,1,0,0,0,10,0,0,0,HAWAII,HAWAII,10,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,61.7,66,D82,0,0,1,0,7,0,0,0,4,0,VIRGINIA,VIRGINIA,11,59.9,,,,,,
63985,CJ Kiss,TE,0,0,,2025,346,,60,61.6,89,0,0,1,1,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,1,,60,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,59.2,65.6,D00,0,0,1,0,5,0,0,6,0,0,CINCINNATI,CINCINNATI,11,59.8,,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,59.8,62.4,D58,0,0,1,0,1,0,0,0,0,0,OHIO STATE,OHIO STATE,1,59.6,,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,60,63.5,24,0,0,1,0,0,0,0,0,1,0,S JOSE ST,S JOSE ST,1,,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,,62.8,63.3,S49,0,0,1,9,0,0,0,4,0,0,UTAH ST,UTAH ST,13,,67.5,65.7,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.4,62.6,D94,0,0,1,0,2,0,0,0,0,0,WYOMING,WYOMING,2,59.3,,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60.1,66,25,0,0,1,0,0,0,3,0,0,0,ARIZONA ST,ARIZONA ST,3,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,,57.2,69.2,D24,0,0,1,0,0,5,3,0,2,1,ARIZONA ST,ARIZONA ST,10,,,,,,,
70973,Bryant Jackson,LB,0,0,,2026,242,,72.5,67,D57,0,0,1,0,0,0,7,0,0,0,NEW MEX ST,NEW MEX ST,7,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60,63.6,D01,0,0,1,0,1,0,0,0,0,0,ALABAMA,ALABAMA,1,60,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,328,,58.6,64.7,D57,0,0,1,0,7,0,0,0,1,0,UTAH,UTAH,8,58.8,,,,,,
