playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesRunDefense,gradesPassRushDefense,gradesTackle
43872,Mason White,CB,1,0,,0,0,100,OREGON ST,0,D01,2,0,0,0,1,2026,0,31,1,47.8,0,0,2,0,0,0,0,0,0,0,OREGON ST,0,0,0,0,31,2,,39.7,31,67.6,0,265,2,3,0,0,118.8,0,0,0,0,0,0,,,
52925,Zaid Hamdan,DI,0,0,,0,0,,KENT STATE,0,D57,0,0,0,6,1,2025,17,0,0,,1,0,0,1,0,0,0,0,1,0,KENT STATE,0,0,1,0,,0,,51,,0,0,201,17,0,16,0,0,11,0,0,0,0,0,62,56.3,
53549,DeShawn Pace,LB,4,0,,0,2,100,UCF,2,D03,59,16,0,5,1,2025,10,41,4,41.1,1,0,20,0,0,0,0,0,1,0,UCF,2,0,1,0,18,43,33.3,54.3,10.3,0,0,323,69,17,0,0,149,44,1,2,0,1,10,78.4,62.2,32.9
53572,Eric Phillips,ED,0,0,,0,0,,CINCINNATI,2,D97,0,0,0,14,1,2025,34,0,0,60,2,0,0,5,0,0,0,0,0,0,CINCINNATI,1,0,2,0,,0,0,60,,76.9,0,138,34,0,0,0,0,20,0,0,0,0,29,56.4,62.6,73.9
53981,Iesa Jarmon,CB,0,0,,0,0,,AKRON,0,D12,4,1,0,0,1,2027,0,0,0,61.3,0,0,2,0,0,0,3,0,0,0,AKRON,0,0,0,0,,0,,62.5,,66.9,0,102,4,0,0,0,0,2,0,0,0,0,0,60,,
54240,Cheikhsaliou Fall,ED,0,0,,0,0,,CAL,0,D17,0,0,0,8,1,2025,14,0,0,,0,0,0,5,0,0,0,0,0,0,CAL,0,0,0,0,,0,,59.3,,72.9,0,130,14,0,3,0,0,6,0,0,0,0,6,61.9,56.2,
55516,Malik Denkins,ED,0,0,,0,0,,C MICHIGAN,0,D81,0,0,0,2,1,2027,4,0,0,,0,0,0,1,0,0,0,0,0,0,C MICHIGAN,0,0,0,0,,0,,66.2,,69.3,0,134,4,0,0,0,0,2,0,0,0,0,3,60,58.9,
62494,Alex Howard,LB,2,0,,0,3,100,DUKE,4,D03,59,46,0,9,1,2025,3,30,2,48.3,4,0,17,0,0,0,1,0,1,0,DUKE,2,0,4,0,21,12,30,47,15,0,0,154,62,10,0,0,118.8,36,0,3,0,0,3,50.1,67.2,40.8
62724,Barry Brown,LB,2,0,,0,1,100,COAST CAR,7,D35,72,65,0,6,1,2025,1,28,2,52.1,0,0,36,0,0,0,0,0,0,0,COAST CAR,5,0,0,0,15,7,11.1,65.3,14,75.7,0,141,73,8,0,0,118.8,31,2,1,0,0,1,80.8,55.7,64.4
63872,Kam Butler,ED,0,0,,0,2,,VIRGINIA,1,D82,0,0,0,30,1,2025,57,0,0,60,1,0,1,9,2,0,0,2,0,0,VIRGINIA,1,0,3,0,,0,40,60.3,,78.8,0,335,57,0,5,0,0,26,0,2,0,0,41,61.1,57.9,27
66051,Josh Minkins,S,1,0,2025,0,0,100,CINCINNATI,1,D00,36,32,0,0,1,2025,0,9,1,63.6,0,0,13,0,0,0,0,0,0,0,CINCINNATI,0,0,0,0,9,4,0,62.9,9,72.9,0,138,36,2,0,0,104.2,23,0,1,0,0,0,60.8,,78
66298,Ty Hamilton,DI,0,0,2025,0,0,,OHIO STATE,5,D58,1,1,0,23,1,2025,41,0,0,,0,0,0,5,2,1,0,0,0,0,OHIO STATE,3,0,0,0,,0,0,67.3,,75.9,0,260,42,0,34,0,0,19,0,0,0,0,0,69.1,60,75.2
70536,Sebastian Macaluso,WR,0,0,,0,0,,S JOSE ST,0,24,1,0,0,0,1,2025,0,0,0,,0,0,0,0,0,0,0,0,0,0,S JOSE ST,0,0,0,0,,0,,60,,60,0,285,1,0,0,0,0,1,0,0,0,0,0,60,,
70644,Ben Florentine,DI,0,0,,0,0,,WYOMING,2,D94,0,0,0,20,1,2026,39,0,0,,1,0,0,2,4,0,0,0,1,0,WYOMING,2,0,1,0,,0,0,66.8,,0,0,351,39,0,33,0,0,19,1,0,0,0,0,76.6,59,73.2
70831,Korey Foreman,ED,0,0,,0,0,,FRESNO ST,4,D00,0,0,1,42,1,2026,59,0,0,63.1,4,0,4,3,0,0,0,0,0,0,FRESNO ST,5,0,5,0,,0,0,75.2,,79.7,0,169,59,0,3,0,0,13,0,1,0,0,53,80,64.8,80.1
