playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,43.1,0,50.7,57.9,84,1,1,0,0,6,0,13,19,6,13,MIAMI FL,MIAMI FL,,,,
52369,Marshall Lang,TE,0,2025,2025,256,48.9,75.1,54.3,43.2,88,0,1,0,0,15,0,6,21,15,6,NWESTERN,NWESTERN,61,,,
52487,Luke Kandra,G,0,2025,2025,138,59.2,79.3,,53.5,67,0,1,0,51,0,0,24,75,51,24,CINCINNATI,CINCINNATI,,73.1,,
52540,Jakob James,C,0,,2025,316,54.3,78.7,,47,78,0,1,0,32,0,0,20,52,32,20,TOLEDO,TOLEDO,,83.6,,
52545,Joe Royer,TE,0,2026,2026,138,50.6,79.1,47.5,66,11,0,1,0,2,42,0,17,61,44,17,CINCINNATI,CINCINNATI,61,28.8,,
52962,Michael McCalmont,TE,0,,2025,138,59.7,65.9,,58.4,82,0,1,0,0,0,0,2,2,0,2,CINCINNATI,CINCINNATI,,,,
53372,Nick Presley,WR,0,,2026,117,56.3,69.7,57.1,60,19,0,1,0,0,3,0,2,5,3,2,BALL ST,BALL ST,,,,
53398,Eric Meeks,G,0,,2026,214,42.4,0,,56.1,57,2,1,0,30,0,0,34,64,30,34,MARSHALL,MARSHALL,,25,,
53431,Zeke Correll,C,0,2025,2025,248,60.3,79.2,,57.4,56,0,1,0,40,0,0,21,61,40,21,NC STATE,NC STATE,,66.8,,
53851,Logan Osburn,C,0,,2025,214,56.2,73.1,,55,65,0,1,0,4,0,0,7,11,4,7,MARSHALL,MARSHALL,,75.8,,
54221,Sterling Berkhalter,WR,0,,2027,138,70,76.4,68.9,61,84,0,1,0,0,20,0,8,28,20,8,CINCINNATI,CINCINNATI,62.9,,,
63838,Jack Coldiron,TE,0,,2025,221,52.7,75,55.3,53.2,89,0,1,0,2,10,0,12,24,12,12,MIAMI OH,MIAMI OH,61,68.7,,
63985,CJ Kiss,TE,0,,2025,346,60,63.5,,60,89,0,1,0,0,0,0,1,1,0,1,W KENTUCKY,W KENTUCKY,,,,
70536,Sebastian Macaluso,WR,0,,2025,285,53.6,72,54.4,60,24,0,1,0,0,11,0,1,12,11,1,S JOSE ST,S JOSE ST,,,,
70874,Jake Retzlaff,QB,0,,2026,128,69.2,77,,60,12,0,1,49,0,0,2,18,69,49,20,BYU,BYU,70.4,,68.6,61.3
70933,DeCarlos Brooks,HB,0,,2025,110,60,64.9,,60,25,0,1,0,0,0,0,1,1,0,1,ARIZONA ST,ARIZONA ST,,,,
70961,Mikey Keene,QB,0,,2027,169,53.7,76.5,60,60,01,1,1,37,0,1,3,20,61,38,23,FRESNO ST,FRESNO ST,33.3,,62.3,36.7
70963,Jacob Conover,QB,0,,2026,329,60,63.6,,,15,0,1,0,0,0,1,0,1,0,1,UTAH ST,UTAH ST,62.5,,,60
71295,Ryan Hilinski,QB,0,,2025,256,36.4,70.1,,60,03,1,1,4,0,0,0,6,10,4,6,NWESTERN,NWESTERN,63.3,,35,
71304,Kyle Ford,WR,0,,2025,326,51.8,77,51.8,61.5,81,0,1,0,0,18,0,13,31,18,13,USC,USC,,,,
71312,Elijah Mojarro,TE,0,,2025,275,46.8,77.2,46.3,53.7,07,0,1,0,7,24,0,15,46,31,15,RICE,RICE,10.3,72.4,,
71345,Bru McCoy,WR,0,,2025,307,71.3,76.3,68.6,78.1,05,0,1,0,0,27,0,18,45,27,18,TENNESSEE,TENNESSEE,65.7,,,
71409,Jamari Ferrell,HB,0,,2026,351,62,75.1,59.6,58.4,06,0,1,0,3,10,11,4,28,13,15,WYOMING,WYOMING,73.6,47,,62.7
71502,Andrew Madrigal,C,0,,2026,239,55,79.3,,59.1,78,0,1,0,42,0,0,20,62,42,20,NEVADA,NEVADA,,39.7,,
71530,Marquis Ashley,WR,0,,2026,239,54.6,75.2,54.4,61.3,07,0,1,0,0,22,0,13,35,22,13,NEVADA,NEVADA,65.3,,,
71674,Silas Bolden,WR,0,2025,2025,311,53.2,75.5,56.5,45,11,0,1,0,0,8,0,16,24,8,16,TEXAS,TEXAS,16.3,,,
72075,Josh Carlin,G,0,,2025,324,68.1,78.4,,70.6,54,0,1,0,36,0,0,20,56,36,20,UCLA,UCLA,,57.6,,
72178,Colby Bowman,WR,0,,2025,329,56.2,69.9,57.2,60,09,0,1,0,0,2,0,2,4,2,2,UTAH ST,UTAH ST,,,,
72200,Marist Talavou,G,0,,2025,285,66.8,77.9,,63.2,61,0,1,0,24,0,0,25,49,24,25,S JOSE ST,S JOSE ST,,85.8,,
72292,Canaan Yarro,C,0,,2025,242,64.1,78.8,,60,56,0,1,0,22,0,0,33,55,22,33,NEW MEX ST,NEW MEX ST,,82.8,,
72324,Sonny Makasini,G,0,,2027,128,70,73.7,,64.8,51,0,1,0,13,0,0,2,15,13,2,BYU,BYU,,81.8,,
72689,Marshall Jackson,T,0,,2026,346,53.1,76.3,,50,53,0,1,0,37,0,0,24,61,37,24,W KENTUCKY,W KENTUCKY,,56.3,,
72705,Jacob Gideon,C,0,,2025,347,67.7,78.5,,69.6,77,0,1,0,30,0,0,21,51,30,21,W MICHIGAN,W MICHIGAN,,48.4,,
