playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesCoverageDefense
102837,Cody Winokur,DI,0,0,,0,0,,ARMY,0,D93,0,0,0,1,1,2025,14,70.2,0,0,0,0,0,0,13,0,74.3,0,0,0,0,ARMY,0,0,0,0,,0,0,75.8,,74.9,0,114,14,0,1,0,0,13,0,1,60,0,0,0,
121607,Tyrell Robinson,WR,0,0,,1,0,,ARMY,1,21,1,0,0,0,1,2025,0,70.3,0,0,0,0,0,0,0,0,69.6,0,0,0,0,ARMY,0,0,0,0,,0,0,71.4,,60,0,114,1,0,0,0,0,1,0,0,,0,0,0,
126597,Justin Weaver,CB,0,0,,0,0,,ARMY,1,D05,20,3,0,0,1,2026,0,73.5,0,0,0,0,8,0,0,0,65,16,0,0,0,ARMY,0,0,0,0,,0,0,65.9,,71.7,0,114,20,0,0,0,0,12,0,0,,0,0,0,64.2
133971,Jaydan Mayes,CB,2,0,,1,0,50,ARMY,2,D07,37,11,0,0,1,2028,4,76,31,1,0,0,7,0,0,0,58.6,26,0,0,0,ARMY,1,0,0,0,31,0,0,71.6,31,74.9,0,114,41,34,0,0,95.8,34,0,0,,0,0,4,78.4
144318,Kyle Jacob,LB,0,0,,0,0,,NAVY,7,D43,49,49,0,3,1,2025,1,83.8,0,0,0,0,14,0,0,0,76.1,0,0,0,0,NAVY,5,0,0,0,,0,0,73.4,,75.8,0,237,50,0,0,0,0,33,2,4,55.1,0,0,1,64.1
144326,Rayuan Lane III,S,4,0,2025,0,1,50,NAVY,5,D18,57,51,0,0,1,2025,0,69.5,22,2,0,0,18,0,0,0,69.4,0,0,1,0,NAVY,3,0,0,0,18,3,12.5,56,11,0,0,237,57,0,0,0,66.7,39,0,2,,3,0,0,49.7
144335,Dashaun Peele,CB,3,0,,0,0,33.3,NAVY,1,D01,56,24,0,0,1,2025,1,73.5,5,1,0,1,18,0,0,0,70.6,32,0,1,0,NAVY,1,1,0,0,5,0,0,60.2,5,73.7,0,237,57,5,0,0,2.8,39,0,0,,0,0,1,53.3
144338,Colin Ramos,LB,1,0,,0,0,100,NAVY,7,D44,47,43,0,6,1,2025,10,83.9,5,1,1,0,12,0,0,0,76.2,0,1,0,0,NAVY,3,0,2,0,5,4,0,76.2,5,79.5,0,237,57,1,0,0,87.5,39,0,4,63.8,0,0,10,66
144339,Justin Reed,ED,0,0,,0,0,,NAVY,7,D94,0,0,0,18,1,2025,57,78.5,0,0,3,0,0,9,0,0,65.5,0,2,0,0,NAVY,2,0,5,0,,0,0,69.7,,78.4,0,237,57,0,0,0,0,39,1,0,70.2,0,0,48,
144342,Jordan Sanders,ED,0,0,,0,0,,NAVY,0,D33,0,0,0,1,1,2025,7,,0,0,0,0,0,0,0,0,61.5,0,0,0,0,NAVY,0,0,0,0,,0,,61.2,,73.1,0,237,7,0,0,0,0,6,0,0,59.1,0,0,7,
144352,Mbiti Williams Jr.,S,2,0,,0,1,100,NAVY,2,D07,57,44,0,0,1,2025,0,66.5,24,2,0,0,18,0,0,0,67.5,0,0,0,0,NAVY,1,0,0,0,23,1,16.7,64.4,12,74.5,0,237,57,9,0,0,156.3,39,0,3,,12,1,0,59.8
147329,Tommy Zitiello,LB,0,0,,0,0,,ARMY,0,D11,1,0,0,0,1,2025,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,ARMY,0,0,0,0,,0,,60.1,,60,0,114,1,0,0,0,0,1,0,0,,0,0,0,
147333,Chance Keith,LB,0,0,,0,0,,ARMY,6,D02,14,6,0,3,1,2025,41,80.7,0,0,0,0,10,0,0,0,74.7,0,0,0,0,ARMY,3,0,0,0,,8,0,72.8,,81,0,114,55,0,0,0,0,42,0,0,57.3,0,0,41,64.4
147337,Josiah Banks,S,0,0,,0,0,,ARMY,0,D25,1,0,0,0,1,2025,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,ARMY,0,0,0,0,,0,,60.1,,60,0,114,1,0,0,0,0,1,0,0,,0,0,0,
147338,Max DiDomenico,S,1,0,,0,1,0,ARMY,6,D06,53,32,0,0,1,2025,2,71.5,0,0,0,0,13,0,0,0,59.8,0,0,0,0,ARMY,3,0,0,0,,5,12.5,63,,76.3,0,114,55,0,0,0,39.6,42,1,1,,16,0,2,65.5
147346,Brett Gerena,LB,0,0,,0,0,,ARMY,0,D36,1,0,0,0,1,2025,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,ARMY,0,0,0,0,,0,,60.3,,,0,114,1,0,0,0,0,1,0,0,,0,0,0,
147349,Damon Washington,CB,0,0,,0,0,,ARMY,0,D16,4,3,0,0,1,2025,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,ARMY,0,0,0,0,,0,,61,,68.9,0,114,4,0,0,0,0,4,0,0,,0,0,0,
147362,Trey Sofia,ED,0,0,,0,0,,ARMY,0,D91,0,0,0,6,1,2025,14,,0,0,0,0,0,10,0,0,66.8,0,0,0,0,ARMY,0,0,0,0,,0,,64.3,,71.9,0,114,14,0,0,0,0,8,0,0,56.1,0,0,4,
147363,Dre Miller,DI,0,0,,0,0,,ARMY,1,D97,0,0,0,7,1,2025,41,73.2,0,0,0,0,0,24,0,0,53.3,0,0,0,0,ARMY,0,0,0,0,,0,0,53.9,,75,0,114,41,0,13,0,0,34,0,1,56.3,0,0,4,60
