playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap
102837,Cody Winokur,DI,0,0,,2025,114,59.3,60,60.1,61.9,D93,0,0,1,3,1,0,0,0,0,0,ARMY,ARMY,4,,,,,,
121551,Hamilton Baker,S,0,0,,2025,114,,,61.1,66.6,D39,0,0,1,0,0,4,0,2,0,0,ARMY,ARMY,6,,,,,,
121607,Tyrell Robinson,WR,0,0,,2025,114,,,56.6,63,21,0,0,1,0,0,0,6,0,2,0,ARMY,ARMY,8,63,61,,,,
124649,Braden Bartosh,G,0,0,,2026,114,,60,61,61.8,50,0,0,1,3,0,0,0,0,0,0,ARMY,ARMY,3,,,,,,
126597,Justin Weaver,CB,0,0,,2026,114,59.9,,61.2,66,D05,0,0,1,0,2,0,0,0,2,0,ARMY,ARMY,4,,,,,,
131100,Jaxson Campbell,S,0,0,,2026,237,,,73.5,68.6,D14,0,0,1,0,0,6,0,3,2,2,NAVY,NAVY,11,,,,,,
133749,William Ingle,FB,0,0,,2027,237,,,56.8,65.3,42,0,0,1,0,0,0,4,0,0,0,NAVY,NAVY,4,,,,,,
133971,Jaydan Mayes,CB,0,1,,2028,114,59.8,,30,25.4,D07,0,1,1,0,4,0,0,0,1,0,ARMY,ARMY,5,,,,,,
144293,Marcus Bleazard,LB,0,0,,2028,237,,,64,67.4,D53,0,0,1,0,0,6,0,3,0,0,NAVY,NAVY,9,,,,,,
144294,Javan Bouton,T,0,0,,2025,237,,60.8,61.6,62.1,62,0,0,1,5,0,0,0,0,0,0,NAVY,NAVY,5,,,,,,
144318,Kyle Jacob,LB,0,0,,2025,237,60,,60.1,61.9,D43,0,0,1,0,3,0,0,0,0,0,NAVY,NAVY,3,,,,,,
144326,Rayuan Lane III,S,0,0,2025,2025,237,59.9,,60.7,67.4,D18,0,0,1,0,3,6,0,3,2,0,NAVY,NAVY,14,,61.9,,,,
144330,Connor McMahon,T,0,0,,2025,237,,60,61.2,67.2,68,0,0,1,4,0,0,0,0,0,0,NAVY,NAVY,4,,,,,,
144335,Dashaun Peele,CB,0,0,,2025,237,60,,60.2,65.1,D01,0,0,1,0,3,0,0,0,0,0,NAVY,NAVY,3,,,,,,
144338,Colin Ramos,LB,0,0,,2025,237,59.9,,59.6,65.2,D44,0,0,1,0,3,0,0,3,0,0,NAVY,NAVY,6,,,,,,
144339,Justin Reed,ED,0,0,,2025,237,59.6,,60,64.5,D94,0,0,1,0,3,0,0,3,0,0,NAVY,NAVY,6,,,,,,
