playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesRun,gradesPass
71345,Bru McCoy,WR,0,,2025,307,65,64,76.6,61.5,78.1,05,0,1,0,0,33,0,18,51,33,18,TENNESSEE,TENNESSEE,,,
71674,Silas Bolden,WR,0,2025,2025,311,71.4,58.8,72.6,58.7,60.5,11,0,1,0,0,4,0,7,11,4,7,TEXAS,TEXAS,,,
75288,Tegra Tshabola,G,0,,2028,260,,68.1,77.1,,74.8,77,0,1,0,21,0,0,18,39,21,18,OHIO STATE,OHIO STATE,22.3,,
77383,John Campbell Jr.,T,0,,2025,307,,42.4,73.1,,44,74,0,1,0,17,0,0,8,25,17,8,TENNESSEE,TENNESSEE,40.3,,
78578,Ty Son Lawton,HB,0,,2025,190,73.6,65.5,72.9,75.7,,17,0,1,0,4,7,11,0,22,11,11,INDIANA,INDIANA,35,62.1,
97645,Jakai Clark,C,0,,2025,287,,59.1,0,,64.7,53,2,1,0,46,0,0,32,78,46,32,SMU,SMU,64,,
97659,Kris Mitchell,WR,0,,2025,258,62.9,63,75.1,62.5,60.9,10,0,1,0,0,13,0,7,20,13,7,NOTRE DAME,NOTRE DAME,,,
97998,Kurtis Rourke,QB,0,2025,2025,190,69.6,55.1,76.8,,60,09,0,1,42,0,0,1,24,67,42,25,INDIANA,INDIANA,,61.5,53.8
98556,Jayden Harrison,WR,0,,2025,258,64.2,54.1,71.3,55.7,54.8,02,0,1,0,0,7,0,4,11,7,4,NOTRE DAME,NOTRE DAME,,,
99047,Jackson Lampley,G,0,,2025,307,,40.1,70.7,,45,75,0,1,0,2,0,0,4,6,2,4,TENNESSEE,TENNESSEE,0,,
99049,Dayne Davis,T,0,,2025,307,,49,75.3,,56.7,66,0,1,0,28,0,0,18,46,28,18,TENNESSEE,TENNESSEE,29.5,,
99071,Justin Osborne,G,0,2025,2025,287,,62,79.6,,55.5,51,0,1,0,46,0,0,32,78,46,32,SMU,SMU,84.8,,
101559,Sal Wormley,G,0,2025,2025,266,,66.8,78.8,,70.5,77,0,1,0,30,0,0,32,62,30,32,PENN STATE,PENN STATE,36.8,,
101575,Mike Katic,C,0,,2025,190,,65.4,79.5,,58.1,56,0,1,0,42,0,0,25,67,42,25,INDIANA,INDIANA,86.1,,
121949,Ben Sparks,G,0,,2025,287,,60.6,69.7,,60,75,0,1,0,2,0,0,2,4,2,2,SMU,SMU,73.2,,
122156,Walker Parks,G,0,,2026,140,,57.2,78.1,,53.4,64,0,1,0,40,0,0,14,54,40,14,CLEMSON,CLEMSON,61.8,,
122599,Will Howard,QB,0,2025,2025,260,70.4,84.9,76.2,,60,18,0,1,34,0,0,4,20,58,34,24,OHIO STATE,OHIO STATE,,63.4,85.2
122893,Kevin Bauman,TE,0,,2026,258,,60,63.5,,60,84,0,1,0,0,0,0,1,1,0,1,NOTRE DAME,NOTRE DAME,,,
123112,Moochie Dixon,WR,0,2025,2025,287,61,61,74.8,60.6,61.2,05,0,1,0,0,17,0,14,31,17,14,SMU,SMU,,,
123120,Andrej Karic,G,0,,2025,307,,58.4,80.1,,54.3,70,0,1,0,45,0,0,26,71,45,26,TENNESSEE,TENNESSEE,68,,
123123,Jake Majors,C,0,2025,2025,311,,63.5,76.5,,62,65,0,1,0,10,0,0,19,29,10,19,TEXAS,TEXAS,64.9,,
123125,Logan Parr,G,0,,2026,287,,62.3,80.4,,57.4,71,1,1,0,45,0,0,30,75,45,30,SMU,SMU,78.1,,
123155,Myles Price,WR,0,2025,2025,190,68.7,76.6,75.1,76.3,61.9,04,0,1,0,0,25,1,10,36,25,11,INDIANA,INDIANA,,59.6,
123383,Justice Ellison,HB,0,,2026,190,74.1,59.4,76.1,58.9,59.3,06,0,1,0,10,21,12,2,45,31,14,INDIANA,INDIANA,26.7,62.4,
123406,Ke'Shawn Williams,WR,0,2025,2025,190,66.6,66.9,76.7,66.7,55.6,05,0,1,0,0,28,0,11,39,28,11,INDIANA,INDIANA,,,
124289,Cooper Mays,C,0,,2025,307,,64.8,3.2,,65.3,63,1,1,0,45,0,0,26,71,45,26,TENNESSEE,TENNESSEE,72.1,,
124299,Javontez Spraggins,G,0,,2025,307,,57.2,78.9,,56.8,76,0,1,0,43,0,0,22,65,43,22,TENNESSEE,TENNESSEE,51.7,,
124831,Jake Briningstool,TE,0,2025,2025,140,65,63.2,79.8,64.4,49.3,09,0,1,0,1,43,0,17,61,44,17,CLEMSON,CLEMSON,65.6,,
