playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesFgepOffense,gradesKickReturn,gradesPunter,gradesLongSnap,gradesFgepKicker
24577,Eric Goins,K,0,0,,2025,258,39.6,60,68.9,S90,0,0,1,0,0,6,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,59.6,62.5,D58,0,0,1,0,2,0,0,0,0,0,OHIO STATE,OHIO STATE,2,59.4,,,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,59.8,66.1,11,0,0,1,0,0,0,5,1,4,0,TEXAS,TEXAS,10,,55.1,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,,62.2,67.6,77,0,0,1,7,0,0,0,0,0,0,OHIO STATE,OHIO STATE,7,,,62.5,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,,60.3,67.6,18,0,0,1,0,0,2,5,5,0,0,INDIANA,INDIANA,12,,,,59.1,,,
82557,Jacob Mangum-Farrar,ED,0,0,,2025,190,,61.1,66.5,D07,0,0,1,0,1,2,0,0,1,0,INDIANA,INDIANA,4,59.7,,,,,,
86267,Kalib Perry,LB,0,0,,2027,307,,55.7,71,D08,0,0,1,0,0,4,7,7,2,0,TENNESSEE,TENNESSEE,20,,,,,,,
97225,Brandon Crossley,CB,0,0,2025,2025,287,,61.2,68.1,D01,0,0,1,0,6,2,0,0,3,0,SMU,SMU,11,59.8,,,,,,
97237,Rod Heard II,S,0,0,,2025,258,,59.7,65.7,D02,0,0,1,0,0,0,0,2,0,0,NOTRE DAME,NOTRE DAME,2,,,,,,,
97305,Devyn Ford,HB,0,0,,2025,258,,49.1,64.7,22,0,0,1,0,0,6,0,0,1,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
97675,Terry Jones,CB,0,0,,2025,190,,61.8,65.8,D12,0,0,1,0,6,2,0,0,2,0,INDIANA,INDIANA,10,60.1,,,,,,
97889,Jack Kiser,LB,0,0,2025,2025,258,,60.8,69.5,D24,0,0,1,0,1,0,2,2,5,0,NOTRE DAME,NOTRE DAME,10,60,,,,,,
98118,Jahfari Harvey,ED,0,0,2025,2025,287,,59.9,64.9,D06,0,0,1,0,6,0,0,0,0,0,SMU,SMU,6,59.6,,,,,,
98331,Jared Harrison-Hunte,DI,0,0,2025,2025,287,,58.9,64.1,D81,0,0,1,0,6,0,0,0,0,0,SMU,SMU,6,58.9,,,,,,
98556,Jayden Harrison,WR,0,0,,2025,258,,59.7,64.7,02,0,0,1,0,0,0,4,2,0,0,NOTRE DAME,NOTRE DAME,6,,,,59.1,,,
98915,Elijah Simmons,DI,0,0,2025,2025,307,,59.2,63.2,D10,0,0,1,0,3,0,0,0,0,0,TENNESSEE,TENNESSEE,3,59.1,,,,,,
98988,Tarian Lee Jr.,LB,0,0,,2025,287,,67.6,66.1,D40,0,0,1,0,0,1,7,0,1,0,SMU,SMU,9,,,,,,,
99047,Jackson Lampley,G,0,0,,2025,307,,60.9,67.2,75,0,0,1,3,0,0,0,0,0,0,TENNESSEE,TENNESSEE,3,,,60,,,,
99049,Dayne Davis,T,0,0,,2025,307,,60.8,66.6,66,0,0,1,3,0,0,0,0,0,0,TENNESSEE,TENNESSEE,3,,,60,,,,
99071,Justin Osborne,G,0,0,2025,2025,287,,60.5,60.4,51,0,0,1,3,0,0,0,0,0,0,SMU,SMU,3,,,60,,,,
99370,David Gbenda,LB,0,0,2025,2025,311,,59.3,66.5,D33,0,0,1,0,0,7,5,0,0,0,TEXAS,TEXAS,12,,,,,,,
99604,Hampton Earle,WR,0,0,,2025,140,,60.9,69.1,83,0,0,1,0,0,0,7,0,0,0,CLEMSON,CLEMSON,7,,,,,,,
99842,Mike Lockhart,DI,0,0,,2026,287,,59.2,63,D09,0,0,1,0,3,0,0,0,0,0,SMU,SMU,3,59.1,,,,,,
99859,Aidan Swanson,P,0,0,,2025,140,,60,66.8,S39,0,0,1,0,0,0,0,4,0,0,CLEMSON,CLEMSON,4,,,,,55.7,,
100607,Jonathan McGill,S,0,0,,2025,287,,61.8,65.1,D02,0,0,1,0,6,2,0,0,3,0,SMU,SMU,11,60,,,,,,
101308,Davaughn Celestine,S,1,0,,2026,287,,68,68.4,D25,0,0,1,0,0,3,7,5,3,0,SMU,SMU,18,,,,,,,
101396,Josh Sanguinetti,S,0,0,,2025,190,,60,63.5,D19,0,0,1,0,0,0,0,0,1,0,INDIANA,INDIANA,1,,,,,,,
101408,Smith Vilbert,ED,0,0,2026,2026,266,,61.3,65.5,D92,0,0,1,0,2,0,0,0,3,0,PENN STATE,PENN STATE,5,59.6,,,,,,
101424,Anthony Booker Jr.,DI,0,0,2025,2025,287,,59.5,63.1,D10,0,0,1,0,2,0,0,0,0,0,SMU,SMU,2,59.3,,,,,,
101455,Dvon J-Thomas,DI,0,0,2025,2025,266,,60,61.8,D91,0,0,1,0,1,0,0,0,0,0,PENN STATE,PENN STATE,1,59.7,,,,,,
101480,Joey Velazquez,LB,0,0,,2026,260,,59.8,66.9,D39,0,0,1,0,0,1,3,2,0,0,OHIO STATE,OHIO STATE,6,,,,,,,
101575,Mike Katic,C,0,0,,2025,190,,60,61,56,0,0,1,1,0,0,0,0,0,0,INDIANA,INDIANA,1,,,60,,,,
101993,James Carpenter,DI,0,0,2025,2025,190,,91.7,65.7,D99,0,0,1,0,6,0,0,6,1,0,INDIANA,INDIANA,13,90.6,,,,,,
102726,Howard Cross III,DI,0,0,2025,2025,258,,60,61.7,D56,0,0,1,0,1,0,0,0,0,0,NOTRE DAME,NOTRE DAME,1,60,,,,,,
121916,Will Benton IV,LS,0,0,,2026,287,,65.7,63.5,S48,0,0,1,3,0,0,0,5,0,0,SMU,SMU,8,,,60,,,81.5,
121919,Carter Campbell,WR,0,0,,2026,287,,60,64.6,30,0,0,1,0,0,1,0,0,0,0,SMU,SMU,1,,,,,,,
122144,DeMonte Capehart,DI,0,0,2026,2026,140,,60,61.8,D19,0,0,1,0,1,0,0,0,0,0,CLEMSON,CLEMSON,1,59.7,,,,,,
122153,R.J. Mickens,S,0,0,2025,2025,140,,60,63.3,D09,0,0,1,0,0,0,0,0,1,0,CLEMSON,CLEMSON,1,,,,,,,
122156,Walker Parks,G,0,0,,2026,140,,61.1,67.8,64,0,0,1,4,0,0,0,0,0,0,CLEMSON,CLEMSON,4,,,60,,,,
122163,Tyler Venables,S,0,0,,2026,140,,60,68,D24,0,0,1,0,0,0,0,4,1,0,CLEMSON,CLEMSON,5,,,,,,,
122165,Tre Williams,DI,0,0,,2026,140,,59.6,62.8,D08,0,0,1,0,2,0,0,0,0,0,CLEMSON,CLEMSON,2,59.4,,,,,,
122222,Elijah Roberts,ED,0,0,2025,2025,287,,59.4,63,D05,0,0,1,0,4,0,0,0,0,0,SMU,SMU,4,59.3,,,,,,
122892,Tosh Baker,T,0,0,,2025,258,,29,67.6,79,0,0,1,6,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,28.1,,,,
122893,Kevin Bauman,TE,0,0,,2026,258,,61.3,61.1,84,0,0,1,6,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,60,,,,
122907,Rylie Mills,DI,0,0,2025,2025,258,,60,62.7,D99,0,0,1,0,1,0,0,0,0,0,NOTRE DAME,NOTRE DAME,1,59.8,,,,,,
122914,Xavier Watts,S,0,0,2025,2025,258,,59.9,62.6,D00,0,0,1,0,1,0,2,0,0,0,NOTRE DAME,NOTRE DAME,3,60,,,,,,
122916,Nate Anderson,G,0,0,,2026,287,,60.8,63.5,69,0,0,1,3,0,0,0,5,0,0,SMU,SMU,8,,,60,,,,
123105,Jahdae Barron,CB,0,0,2025,2025,311,,67,64.1,D07,0,0,1,0,4,7,0,0,0,1,TEXAS,TEXAS,11,59.9,,,,,,
123107,Vernon Broughton,DI,0,0,2025,2025,311,,59.8,66.1,D45,0,0,1,0,4,0,0,0,1,0,TEXAS,TEXAS,5,59.1,,,,,,
123110,Alfred Collins,DI,0,0,2025,2025,311,,58.5,65.8,D95,0,0,1,0,4,0,0,0,1,0,TEXAS,TEXAS,5,58.6,,,,,,
123125,Logan Parr,G,0,0,,2026,287,,61,61.8,71,0,0,1,3,0,0,0,0,0,0,SMU,SMU,3,,,60,,,,
123155,Myles Price,WR,0,0,2025,2025,190,,60.3,67.4,04,0,0,1,0,0,2,6,1,2,0,INDIANA,INDIANA,11,,61,,,,,
123383,Justice Ellison,HB,0,0,,2026,190,,60.2,66.3,06,0,0,1,0,0,0,0,6,0,0,INDIANA,INDIANA,6,,,,,,,
123389,Gavin Holmes,CB,0,0,2025,2025,311,,61.8,67.9,D09,0,0,1,0,0,7,0,0,3,0,TEXAS,TEXAS,10,,,,,,,
123406,Ke'Shawn Williams,WR,0,0,2025,2025,190,,60,61.2,05,0,0,1,0,0,0,1,0,0,0,INDIANA,INDIANA,1,,,,59.9,,,
123411,Lanell Carr,ED,0,0,,2025,190,,60.1,64.1,D41,0,0,1,0,5,0,0,0,1,0,INDIANA,INDIANA,6,59.4,,,,,,
124026,Jalen Kimber,CB,0,0,2025,2025,266,,61.2,67.3,D03,0,0,1,0,2,0,0,0,3,0,PENN STATE,PENN STATE,5,59.9,,,,,,
124242,Mitch Jeter,K,0,0,,2025,258,,60,63.9,S98,0,0,1,6,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,70.2
124267,Dominic Bailey,ED,0,0,2026,2026,307,,59.5,63.8,D90,0,0,1,0,5,0,0,0,0,0,TENNESSEE,TENNESSEE,5,59.3,,,,,,
124273,Will Brooks,S,0,0,2025,2025,307,,61.8,65.1,D35,0,0,1,0,6,4,0,0,3,0,TENNESSEE,TENNESSEE,13,59.9,,,,,,
124276,Bryson Eason,DI,0,0,2026,2026,307,,59.2,63.2,D20,0,0,1,0,3,0,0,0,0,0,TENNESSEE,TENNESSEE,3,59.1,,,,,,
124296,Matthew Salansky,LS,0,0,,2025,307,,66.5,64,S47,0,0,1,3,0,0,0,7,0,0,TENNESSEE,TENNESSEE,10,,,60,,,83.1,
124299,Javontez Spraggins,G,0,0,,2025,307,,60,60.9,76,0,0,1,1,0,0,0,0,0,0,TENNESSEE,TENNESSEE,1,,,60,,,,
124300,Omari Thomas,DI,0,0,2025,2025,307,,60.4,62.1,D21,0,0,1,3,1,0,0,0,0,0,TENNESSEE,TENNESSEE,4,59.6,,60,,,,
124304,William Wright,S,0,0,2026,2026,307,,71,70,D00,0,0,1,0,0,4,7,7,2,1,TENNESSEE,TENNESSEE,20,,,,,,,
125348,Kobe Wilson,LB,0,0,,2025,287,,60.4,64.5,D24,0,0,1,0,5,0,0,0,0,0,SMU,SMU,5,60.1,,,,,,
128036,Christian Gray,CB,0,0,,2028,258,,60,63.5,D29,0,0,1,0,1,0,0,0,0,0,NOTRE DAME,NOTRE DAME,1,60,,,,,,
129186,Arion Carter,LB,0,0,,2028,307,,60.1,63.3,D07,0,0,1,0,7,0,0,1,0,0,TENNESSEE,TENNESSEE,8,59.8,,,,,,
129435,Bryson Bonds,S,0,0,,2026,190,,60.2,68.9,D24,0,0,1,0,0,4,6,6,1,0,INDIANA,INDIANA,17,,,,,,,
129452,Trey Walker,TE,0,0,,2025,190,,60,60.6,45,0,0,1,1,0,0,0,0,0,0,INDIANA,INDIANA,1,,,60,,,,
129581,Matthew Hibner,TE,0,0,2026,2026,287,,60.8,67.7,88,0,0,1,3,0,0,7,5,0,0,SMU,SMU,15,,,60,,,,
129745,Julian Fleming,WR,0,0,,2025,266,,45.5,65.3,03,1,0,1,0,0,0,1,3,0,0,PENN STATE,PENN STATE,4,,,,,,,
129746,Josh Fryar,T,0,0,2025,2025,260,,61.4,63.3,70,0,0,1,7,0,0,0,0,0,0,OHIO STATE,OHIO STATE,7,,,60,,,,
129747,Patrick Gurd,TE,0,0,2026,2026,260,,61.3,65.3,49,0,0,1,0,0,4,3,2,0,0,OHIO STATE,OHIO STATE,9,,,,,,,
129755,Lathan Ransom,S,0,0,2025,2025,260,,61.6,67.7,D08,0,0,1,0,2,0,1,1,6,0,OHIO STATE,OHIO STATE,10,60,,,,,,
129756,Gee Scott Jr.,TE,0,0,2025,2025,260,,60.5,68.7,88,0,0,1,0,0,0,4,1,0,0,OHIO STATE,OHIO STATE,5,,,,,,,
129757,Cody Simon,LB,0,0,2025,2025,260,,60.3,64.6,D00,0,0,1,0,2,0,1,1,0,0,OHIO STATE,OHIO STATE,4,60,,,,,,
