playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,56.7,74.9,71.3,50.2,59.5,84,0,1,0,5,8,0,32,45,13,32,MIAMI FL,MIAMI FL,,,
51984,Bentley Hanshaw,TE,0,,2025,206,67,77.7,71.3,66,60.5,15,0,1,0,6,21,0,22,49,27,22,LIBERTY,LIBERTY,61,,
52540,Jakob James,C,0,,2025,316,69.9,80.3,83.2,,62.9,78,0,1,0,60,0,0,21,81,60,21,TOLEDO,TOLEDO,,,
53431,Zeke Correll,C,0,2025,2025,248,54.1,79.3,74.2,,50.2,56,0,1,0,35,0,0,27,62,35,27,NC STATE,NC STATE,,,
63838,Jack Coldiron,TE,0,,2025,221,76,75.8,72,77.9,56.4,89,0,1,0,5,11,0,6,22,16,6,MIAMI OH,MIAMI OH,62.9,,
64958,Connor Cmiel,WR,0,,2025,141,59.9,68.4,,,59.4,81,0,1,0,0,0,0,4,4,0,4,COAST CAR,COAST CAR,,,
70536,Sebastian Macaluso,WR,0,,2025,285,50.2,73.5,,51.1,60,24,0,1,0,0,14,0,3,17,14,3,S JOSE ST,S JOSE ST,66.4,,
70874,Jake Retzlaff,QB,0,,2026,128,38,77.1,,48.7,60.5,12,0,1,28,0,2,3,32,65,30,35,BYU,BYU,28.8,35.8,55.7
70933,DeCarlos Brooks,HB,0,,2025,110,60,63.5,,60,,25,0,1,0,0,1,0,0,1,1,0,ARIZONA ST,ARIZONA ST,,,
71304,Kyle Ford,WR,0,,2025,326,64.5,77.3,,64.3,58.3,81,0,1,0,0,36,0,21,57,36,21,USC,USC,66.2,,
71443,Mavin Anderson,WR,0,,2026,130,68.5,75.1,,68,59.8,11,0,1,0,0,14,0,13,27,14,13,CAL,CAL,61,,
71674,Silas Bolden,WR,0,2025,2025,311,61.9,70.8,,57.6,59.9,11,0,1,0,0,3,1,3,7,3,4,TEXAS,TEXAS,72.3,,62.3
72200,Marist Talavou,G,0,,2025,285,67.8,79.9,78.6,,64.8,61,0,1,0,57,0,0,29,86,57,29,S JOSE ST,S JOSE ST,,,
72324,Sonny Makasini,G,0,,2027,128,50.7,0,87.2,,50.8,51,1,1,0,17,0,0,20,37,17,20,BYU,BYU,,,
72336,Rowan Reay,WR,0,,2028,128,60,68,,,60,29,0,1,0,0,0,0,3,3,0,3,BYU,BYU,,,
72689,Marshall Jackson,T,0,,2026,346,55.1,76.3,46.7,,59.1,53,0,1,0,45,0,0,17,62,45,17,W KENTUCKY,W KENTUCKY,,,
72705,Jacob Gideon,C,0,,2025,347,64.2,79.2,55.9,,64.1,77,0,1,0,32,0,0,30,62,32,30,W MICHIGAN,W MICHIGAN,,,
73621,Elijah Gilliam,HB,0,,2026,169,63.8,71.9,73.4,69.6,60,33,0,1,0,1,11,0,1,13,12,1,FRESNO ST,FRESNO ST,64.1,,
73930,Ryan Daly,TE,0,,2027,126,57.7,70,65.3,56.9,60,88,0,1,0,1,4,0,2,7,5,2,BUFFALO,BUFFALO,,,
73940,Davis Warren,QB,0,,2027,222,73.2,74.6,,60,60,16,0,1,15,0,1,1,21,38,16,22,MICHIGAN,MICHIGAN,67.3,73.1,60
74174,Mose Vavao,C,0,2025,2025,169,61.1,0,66.8,,63.3,51,1,1,0,33,0,0,24,57,33,24,FRESNO ST,FRESNO ST,,,
74267,Melquan Stovall,WR,0,,2025,110,55.3,80.3,,55.7,60.3,05,0,1,0,0,53,1,34,88,53,35,ARIZONA ST,ARIZONA ST,71.2,,57.5
