playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesKickReturn,gradesLongSnap,gradesPuntReturn,gradesFgepKicker,gradesKickoffKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60,60.7,64.7,84,0,0,1,7,0,0,7,1,0,0,MIAMI FL,MIAMI FL,15,,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,60,60.7,63.7,15,0,0,1,2,0,0,0,6,0,0,LIBERTY,LIBERTY,8,,,,,,,
52540,Jakob James,C,0,0,,2025,316,,60,63.3,78,0,0,1,0,0,0,0,0,0,0,TOLEDO,TOLEDO,0,,,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,60.3,64.2,D17,0,0,1,0,1,0,0,0,1,0,CAL,CAL,2,59.8,,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60.4,65,D03,0,0,1,0,7,0,0,0,0,0,DUKE,DUKE,7,60.1,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,61.3,67.6,D35,0,0,1,0,8,0,1,0,2,0,COAST CAR,COAST CAR,11,59.9,,,,,,
64958,Connor Cmiel,WR,0,0,,2025,141,,60,63.7,81,0,0,1,0,0,1,0,0,0,0,COAST CAR,COAST CAR,1,,,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,61.5,66.3,D58,0,0,1,0,1,0,0,0,3,0,OHIO STATE,OHIO STATE,4,60,,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,62.1,69.5,24,0,0,1,0,0,0,6,0,7,0,S JOSE ST,S JOSE ST,13,,59.6,,,,,
70831,Korey Foreman,ED,0,0,,2026,169,,59.9,62,D00,0,0,1,0,2,0,0,0,0,0,FRESNO ST,FRESNO ST,2,59.7,,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60,62.8,D08,0,0,1,0,5,0,0,0,0,0,FRESNO ST,FRESNO ST,5,59.8,,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,57.2,66.3,25,0,0,1,0,0,0,6,0,0,0,ARIZONA ST,ARIZONA ST,6,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,,67.3,69.8,D24,0,0,1,0,0,5,6,0,2,1,ARIZONA ST,ARIZONA ST,13,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.5,65.9,D01,0,0,1,0,5,0,0,0,0,0,ALABAMA,ALABAMA,5,59.9,,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,58.8,68.5,D00,0,0,1,0,4,0,6,1,2,0,USC,USC,13,59.9,,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,60.4,66.9,D04,0,0,1,0,3,0,0,5,2,0,USC,USC,10,59.9,,,,,,
71443,Mavin Anderson,WR,0,0,,2026,130,,61.8,66.6,11,0,0,1,0,0,0,0,0,5,0,CAL,CAL,5,,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,60,63,63.7,S47,0,0,1,4,0,0,0,6,0,0,WASHINGTON,WASHINGTON,10,,,69.1,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,46.7,66.1,11,0,0,1,0,0,0,1,3,4,0,TEXAS,TEXAS,8,,59.9,,74.1,,,
71957,Sheldon Newton,DI,0,0,,2025,120,,59.7,63.3,D09,0,0,1,0,2,0,0,0,0,0,BOISE ST,BOISE ST,2,59.5,,,,,,
72200,Marist Talavou,G,0,0,,2025,285,60.3,61.7,66.8,61,0,0,1,5,0,0,0,0,0,0,S JOSE ST,S JOSE ST,5,,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,61.5,62,67.2,51,0,0,1,6,0,0,0,0,0,0,BYU,BYU,6,,,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,60.4,62.3,D13,0,0,1,0,5,0,0,0,1,0,WASHINGTON,WASHINGTON,6,59.9,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,60,61.5,D03,0,0,1,0,2,0,0,0,0,0,BYU,BYU,2,59.9,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,60,60.6,62.5,53,0,0,1,3,1,0,0,0,0,0,W KENTUCKY,W KENTUCKY,4,59.8,,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,69.5,69.6,D17,0,0,1,0,1,5,0,0,6,0,UNLV,UNLV,12,60,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,59.5,62.9,D99,0,0,1,0,2,0,0,0,0,0,UNLV,UNLV,2,59.3,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,,59.7,69.2,D53,0,0,1,0,5,3,5,4,1,0,BOISE ST,BOISE ST,18,59.8,,,,,,
73658,Gio De Leon,LB,0,0,,2026,126,,61.2,66.5,D45,0,0,1,0,0,7,2,0,0,0,BUFFALO,BUFFALO,9,,,,,,,
73741,Aluma Nkele,T,0,0,,2026,225,60,61,62.8,70,0,0,1,5,0,0,0,0,0,0,MINNESOTA,MINNESOTA,5,,,,,,,
73930,Ryan Daly,TE,0,0,,2027,126,,60.1,64.8,88,0,0,1,0,0,0,2,0,0,0,BUFFALO,BUFFALO,2,,,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,,59.1,65.3,D51,0,0,1,0,0,6,6,0,0,0,USC,USC,12,,,,,,,
74174,Mose Vavao,C,0,0,2025,2025,169,,58.9,63.5,51,0,0,1,0,5,0,0,0,0,0,FRESNO ST,FRESNO ST,5,58.9,,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,60.1,64.2,05,0,0,1,0,0,0,6,1,3,0,ARIZONA ST,ARIZONA ST,10,,58,,63,,,
74427,Anthony Landphere,TE,0,0,2025,2025,218,60,61.5,61.5,82,0,0,1,7,0,0,0,0,0,0,MEMPHIS,MEMPHIS,7,,,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,58.7,64.1,D09,0,0,1,0,8,0,0,0,0,0,BAYLOR,BAYLOR,8,58.8,,,,,,
74957,Nathan Griffin,LB,0,0,,2025,346,,60.6,68.8,D45,0,0,1,0,0,0,6,0,2,0,W KENTUCKY,W KENTUCKY,8,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,,61,66.2,D29,0,0,1,0,3,0,1,3,3,0,MIAMI OH,MIAMI OH,10,60,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,61.6,62,66.2,77,0,0,1,7,0,0,0,0,0,0,OHIO STATE,OHIO STATE,7,,,,,,,
76792,Dennis Briggs Jr.,DI,0,0,,2025,187,,60.1,62.7,D06,0,0,1,0,2,0,0,0,0,0,ILLINOIS,ILLINOIS,2,60,,,,,,
76813,Antonio Colclough,ED,0,0,,2025,126,,60,64.1,D06,0,0,1,0,0,0,0,0,1,0,BUFFALO,BUFFALO,1,,,,,,,
77252,Daniel Bolden,LB,0,0,,2025,316,,68.3,68.3,D31,0,0,1,0,5,0,6,6,0,0,TOLEDO,TOLEDO,17,59.8,59.9,,,,,
77680,Jace Ruder,LB,0,1,,2025,251,,42.3,26.7,D03,0,1,1,0,0,5,7,3,3,0,N TEXAS,N TEXAS,18,,,,,,,
77939,Anthony Torres,TE,0,0,2025,2025,316,60,61.5,62.5,88,0,0,1,7,0,0,0,0,0,0,TOLEDO,TOLEDO,7,,,,,,,
78169,DaShon Bussell,CB,0,0,,2025,347,,61.2,66.4,D00,0,0,1,0,2,5,0,0,0,0,W MICHIGAN,W MICHIGAN,7,60,,,,,,
78999,Marque Collins,CB,0,0,,2026,128,,60,63.6,D02,0,0,1,0,1,0,0,0,0,0,BYU,BYU,1,59.9,,,,,,
81249,Jayden McDonald,LB,0,0,,2025,146,,60.4,62.8,D10,0,0,1,0,2,0,0,0,1,0,UCONN,UCONN,3,60,,,,,,
81809,Joe More,C,0,0,,2025,111,60,61.4,63,78,0,0,1,7,0,0,0,0,0,0,ARKANSAS,ARKANSAS,7,,,,,,,
82212,Jermayne Lole,DI,0,0,,2025,311,,60,67.2,D99,0,0,1,0,0,0,0,0,1,0,TEXAS,TEXAS,1,,,,,,,
82281,Ezekiel Holmes,DI,0,0,,2025,187,60,61.1,65.8,D33,0,0,1,3,2,0,0,3,0,0,ILLINOIS,ILLINOIS,8,60,,,,,,
82408,Maurice Strong Jr.,DI,0,0,,2025,288,,58.8,62.6,D55,0,0,1,0,3,0,0,0,0,0,S ALABAMA,S ALABAMA,3,58.8,,,,,,
82597,Kenneth Almendares,K,0,0,,2025,207,,60,65.5,S45,0,0,1,2,0,2,0,0,0,0,LA LAFAYET,LA LAFAYET,4,,,,,60,65.8,
83197,Dustin Johnson,S,0,0,,2025,259,,60,61.1,D06,0,0,1,0,1,0,0,0,0,0,OHIO,OHIO,1,59.9,,,,,,
83314,Jarvis Ware,CB,0,0,,2025,325,,60,61.3,D13,0,0,1,0,3,0,0,0,0,0,UNLV,UNLV,3,60,,,,,,
83315,Chris Mills,CB,0,0,,2025,314,,60,64.3,D07,0,0,1,0,0,0,0,0,1,0,TEXAS ST,TEXAS ST,1,,,,,,,
83838,Armani-Eli Adams,S,0,0,,2025,347,,74.9,67.1,D30,0,0,1,0,0,0,0,4,0,1,W MICHIGAN,W MICHIGAN,4,,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,,59.5,63.1,D56,0,0,1,0,2,0,0,0,0,0,OKLAHOMA,OKLAHOMA,2,59.3,,,,,,
86082,Jacob Bandes,DI,0,0,,2025,340,,59.8,65.9,D55,0,0,1,0,4,0,0,0,3,0,WASHINGTON,WASHINGTON,7,59,,,,,,
86353,Byron Cardwell Jr.,HB,0,0,,2027,130,,63.7,70.1,21,0,0,1,0,0,2,0,0,5,0,CAL,CAL,7,,,,,,,
86527,Rodney Robinson,S,0,0,,2025,120,,60.8,65.4,D04,0,0,1,0,1,3,0,0,0,0,BOISE ST,BOISE ST,4,59.8,,,,,,
86729,Ozzie Nicholas,LB,0,1,,2025,154,,30,24.9,D45,0,1,1,0,7,0,0,0,0,0,DUKE,DUKE,7,59.7,,,,,,
86877,Ceyair Wright,CB,0,0,2026,2026,238,,59.9,66.3,D15,0,0,1,0,2,0,0,2,0,0,NEBRASKA,NEBRASKA,4,59.9,,,,,,
88453,Dylan Brown,DI,0,0,,2025,196,,60.3,63.8,D54,0,0,1,0,0,0,0,5,0,0,JVILLE ST,JVILLE ST,5,,,,,,,
90079,David Reese,ED,0,0,,2026,130,,60.5,64.6,D07,0,0,1,0,3,0,0,0,2,0,CAL,CAL,5,59.4,,,,,,
90160,Davis Salom,LS,0,0,,2025,285,64.9,76.5,63.6,S40,0,0,1,7,0,0,0,6,0,1,S JOSE ST,S JOSE ST,13,,,81.6,,,,
