playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
71674,Silas Bolden,WR,0,2025,2025,311,18.9,64.8,77.3,64.2,60.6,11,0,1,0,0,19,0,10,29,19,10,TEXAS,TEXAS,,,
75288,Tegra Tshabola,G,0,,2028,260,,50.4,77.4,,49.7,77,0,1,0,25,0,0,18,43,25,18,OHIO STATE,OHIO STATE,42.7,,
82212,Jermayne Lole,DI,0,,2025,311,,60,64.1,,54.4,D99,0,1,0,0,0,0,1,1,0,1,TEXAS,TEXAS,,,
97659,Kris Mitchell,WR,0,,2025,258,61,55.7,76,55.4,60.4,10,0,1,0,0,11,0,17,28,11,17,NOTRE DAME,NOTRE DAME,,,
98556,Jayden Harrison,WR,0,,2025,258,61.9,58.2,68,59,59.9,02,0,1,0,0,2,0,1,3,2,1,NOTRE DAME,NOTRE DAME,,,
101559,Sal Wormley,G,0,2025,2025,266,,74.4,79,,76,77,0,1,0,30,0,0,37,67,30,37,PENN STATE,PENN STATE,60.9,,
122599,Will Howard,QB,0,2025,2025,260,36.4,67.2,76.4,,60,18,0,1,38,0,0,5,17,60,38,22,OHIO STATE,OHIO STATE,,69.8,54.6
122892,Tosh Baker,T,0,,2025,258,,41.5,76.9,,49.9,79,0,1,0,34,0,0,27,61,34,27,NOTRE DAME,NOTRE DAME,21.3,,
123123,Jake Majors,C,0,2025,2025,311,,60.8,4.1,,60.5,65,1,1,0,47,0,0,24,71,47,24,TEXAS,TEXAS,72.9,,
127253,Quinn Ewers,QB,0,2025,2025,311,22.8,60.7,77,,60,03,0,1,47,0,0,0,23,70,47,23,TEXAS,TEXAS,,60.7,57.8
129745,Julian Fleming,WR,0,,2025,266,,60.5,76.7,53.7,84.7,03,0,1,0,0,13,0,21,34,13,21,PENN STATE,PENN STATE,,,
129746,Josh Fryar,T,0,2025,2025,260,,59.6,12.5,,60.1,70,2,1,0,38,0,0,22,60,38,22,OHIO STATE,OHIO STATE,69.9,,
129747,Patrick Gurd,TE,0,2026,2026,260,,60,63.6,,60,49,0,1,0,0,0,0,1,1,0,1,OHIO STATE,OHIO STATE,,,
129756,Gee Scott Jr.,TE,0,2025,2025,260,65.7,62,76.9,61.2,61.9,88,1,1,0,1,22,0,4,27,23,4,OHIO STATE,OHIO STATE,63.9,,
129773,Nick Dawkins,C,0,2026,2026,266,,64.1,79.6,,61.2,53,0,1,0,30,0,0,37,67,30,37,PENN STATE,PENN STATE,71.4,,
