playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesFgepOffense,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter
66298,Ty Hamilton,DI,0,0,2025,2025,260,59.6,61.4,67.2,D58,0,0,1,0,1,0,0,0,3,0,OHIO STATE,OHIO STATE,4,,,,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60,64.8,11,0,0,1,0,0,0,3,1,6,0,TEXAS,TEXAS,10,59.4,40.1,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,,61.4,66.3,77,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
82212,Jermayne Lole,DI,0,0,,2025,311,59.2,59.4,63.3,D99,0,0,1,0,2,0,0,0,0,0,TEXAS,TEXAS,2,,,,,,,
97237,Rod Heard II,S,0,0,,2025,258,60,59.5,66.2,D02,0,0,1,0,3,0,0,4,0,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
97305,Devyn Ford,HB,0,0,,2025,258,,61.8,66.1,22,0,0,1,0,0,5,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
97889,Jack Kiser,LB,0,0,2025,2025,258,60,60.5,67.9,D24,0,0,1,0,4,1,0,4,5,0,NOTRE DAME,NOTRE DAME,14,,,,,,,
98342,R.J. Oben,ED,0,0,,2025,258,,60,63.5,D09,0,0,1,0,0,0,0,0,1,0,NOTRE DAME,NOTRE DAME,1,,,,,,,
98556,Jayden Harrison,WR,0,0,,2025,258,,59.7,66,02,0,0,1,0,0,0,5,4,0,0,NOTRE DAME,NOTRE DAME,9,58,,,,,,
99370,David Gbenda,LB,0,0,2025,2025,311,,61.5,69.1,D33,0,0,1,0,0,3,5,0,0,0,TEXAS,TEXAS,8,,,,,,,
101408,Smith Vilbert,ED,0,0,2026,2026,266,59.3,60,64.3,D92,0,0,1,0,2,0,0,0,1,0,PENN STATE,PENN STATE,3,,,,,,,
101455,Dvon J-Thomas,DI,0,0,2025,2025,266,59.2,60.7,66.6,D91,0,0,1,0,5,0,0,0,3,0,PENN STATE,PENN STATE,8,,,,,,,
101480,Joey Velazquez,LB,0,0,,2026,260,,59.7,64.6,D39,0,0,1,0,0,0,3,0,0,0,OHIO STATE,OHIO STATE,3,,,,,,,
102726,Howard Cross III,DI,0,0,2025,2025,258,59.6,60.4,66.4,D56,0,0,1,0,4,0,0,0,1,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
122892,Tosh Baker,T,0,0,,2025,258,,61.7,66.8,79,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60.3,,,,
122893,Kevin Bauman,TE,0,0,,2026,258,,60.8,63.5,84,0,0,1,5,0,0,5,0,0,0,NOTRE DAME,NOTRE DAME,10,,,60,,,,
122912,Charlie Selna,TE,0,0,,2026,258,,60.4,66.8,89,0,0,1,0,0,0,0,0,4,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
122914,Xavier Watts,S,0,0,2025,2025,258,60.1,60.3,62.3,D00,0,0,1,0,4,0,0,0,1,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
123105,Jahdae Barron,CB,0,0,2025,2025,311,60,60.2,62.4,D07,0,0,1,0,4,1,0,0,0,0,TEXAS,TEXAS,5,,,,,,,
123107,Vernon Broughton,DI,0,0,2025,2025,311,59.5,60.7,65.6,D45,0,0,1,0,4,0,0,0,2,0,TEXAS,TEXAS,6,,,,,,,
123110,Alfred Collins,DI,0,0,2025,2025,311,59.1,60.3,65.5,D95,0,0,1,0,2,0,0,0,2,0,TEXAS,TEXAS,4,,,,,,,
123389,Gavin Holmes,CB,0,0,2025,2025,311,,61.8,69,D09,0,0,1,0,0,3,0,0,5,0,TEXAS,TEXAS,8,,,,,,,
124026,Jalen Kimber,CB,0,0,2025,2025,266,59.9,60.6,66.4,D03,0,0,1,0,3,0,0,0,2,0,PENN STATE,PENN STATE,5,,,,,,,
124242,Mitch Jeter,K,0,0,,2025,258,,60.1,67.4,S98,0,0,1,5,0,5,0,0,0,0,NOTRE DAME,NOTRE DAME,10,,,,76.2,73.4,,
128036,Christian Gray,CB,0,0,,2028,258,60,60.4,65.6,D29,0,0,1,0,4,0,0,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
129745,Julian Fleming,WR,0,0,,2025,266,,59.2,66.2,03,0,0,1,0,0,0,0,5,0,0,PENN STATE,PENN STATE,5,,,,,,,
129746,Josh Fryar,T,0,0,2025,2025,260,,60.8,62.7,70,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
129747,Patrick Gurd,TE,0,0,2026,2026,260,,60.5,64.7,49,0,0,1,0,0,1,3,0,0,0,OHIO STATE,OHIO STATE,4,,,,,,,
129755,Lathan Ransom,S,0,0,2025,2025,260,60,61.6,66.9,D08,0,0,1,0,2,0,0,6,6,0,OHIO STATE,OHIO STATE,14,,,,,,,
129756,Gee Scott Jr.,TE,0,0,2025,2025,260,,60.1,72,88,0,0,1,0,0,0,3,6,0,0,OHIO STATE,OHIO STATE,9,,,,,,,
129757,Cody Simon,LB,0,0,2025,2025,260,60,61.7,69.7,D00,0,0,1,0,2,0,0,6,2,0,OHIO STATE,OHIO STATE,10,,,,,,,
129775,Tyler Elsdon,LB,0,0,,2025,266,,62.6,67.6,D43,0,0,1,0,0,5,5,5,0,1,PENN STATE,PENN STATE,15,,,,,,,
129784,Coziah Izzard,DI,0,0,2025,2025,266,59.9,60.6,65.2,D99,0,0,1,0,2,0,0,0,1,0,PENN STATE,PENN STATE,3,,,,,,,
129797,Amin Vanover,ED,0,0,,2025,266,60,60.7,65,D15,0,0,1,0,1,0,0,0,2,0,PENN STATE,PENN STATE,3,,,,,,,
129798,Tyler Warren,TE,0,0,2025,2025,266,,60.9,63.2,44,0,0,1,4,0,0,1,0,0,0,PENN STATE,PENN STATE,5,,,60,,,,
143017,Max Hurleman,S,0,0,2025,2025,258,,58.5,69.1,D37,0,0,1,0,0,5,5,4,5,0,NOTRE DAME,NOTRE DAME,19,,64.3,,,,,
144129,Andrew Mukuba,S,0,0,2025,2025,311,,59.1,66.6,D04,0,0,1,0,0,0,0,6,0,0,TEXAS,TEXAS,6,,,,,,,
144723,Hayden Conner,G,0,0,2025,2025,311,,60.5,64.8,76,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
144726,Gunnar Helm,TE,0,0,2025,2025,311,,60.8,66.2,85,0,0,1,2,0,0,5,6,0,0,TEXAS,TEXAS,13,59.9,,60,,,,
144732,Michael Taaffe,S,0,0,2026,2026,311,60,61.9,65.7,D16,0,0,1,0,4,0,0,6,6,0,TEXAS,TEXAS,16,,,,,,,
144733,Morice Blackwell II,LB,0,0,,2025,311,59.9,61.1,69.1,D37,0,0,1,0,4,3,5,6,6,0,TEXAS,TEXAS,24,,,,,,,
144739,Barryn Sorrell,ED,0,0,2025,2025,311,59.4,60.4,64.8,D88,0,0,1,0,4,0,0,0,2,0,TEXAS,TEXAS,6,,,,,,,
145055,Emeka Egbuka,WR,0,0,2025,2025,260,,60,61.8,02,0,0,1,0,0,0,3,0,0,0,OHIO STATE,OHIO STATE,3,59.1,,,,,,
145064,Donovan Jackson,T,0,0,2025,2025,260,,61.4,62,74,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
145067,Jordan Hancock,S,0,0,2025,2025,260,,61,64.9,D07,0,0,1,0,0,5,0,0,0,0,OHIO STATE,OHIO STATE,5,,,,,,,
145070,Denzel Burke,CB,0,0,2025,2025,260,,61.1,67.1,D10,0,0,1,0,0,3,0,0,2,0,OHIO STATE,OHIO STATE,5,,,,,,,
145071,Jack Sawyer,ED,0,0,2025,2025,260,59.8,60.8,64.9,D33,0,0,1,0,1,0,0,0,2,0,OHIO STATE,OHIO STATE,3,,,,,,,
145074,JT Tuimoloau,ED,0,0,2025,2025,260,59.8,60.9,65.5,D44,0,0,1,0,1,0,0,0,3,0,OHIO STATE,OHIO STATE,4,,,,,,,
145080,Tyleik Williams,DI,0,0,2025,2025,260,59.1,60.4,66.1,D91,0,0,1,0,2,0,0,0,2,0,OHIO STATE,OHIO STATE,4,,,,,,,
145087,Khalil Dinkins,TE,0,0,2026,2026,266,,61.3,67.6,16,0,0,1,4,0,0,5,0,0,0,PENN STATE,PENN STATE,9,,,60,,,,
145089,Liam Clifford,WR,0,0,2026,2026,266,,74.6,65.2,02,0,0,1,0,0,0,0,5,0,1,PENN STATE,PENN STATE,5,,,,,,,
145095,Dominic DeLuca,LB,0,0,2026,2026,266,60,63.1,70.1,D00,0,0,1,0,1,5,5,5,2,0,PENN STATE,PENN STATE,18,,,,,,,
145097,Kobe King,LB,0,0,2025,2025,266,60,61.5,64.7,D41,0,0,1,0,5,0,0,0,3,0,PENN STATE,PENN STATE,8,,,,,,,
145099,Zakee Wheatley,S,0,0,2026,2026,266,60,60.1,61.5,D06,0,0,1,0,5,0,0,0,0,0,PENN STATE,PENN STATE,5,,,,,,,
145100,Jaylen Reed,S,0,0,2025,2025,266,59.8,61.2,62.5,D01,0,0,1,0,5,0,0,0,3,0,PENN STATE,PENN STATE,8,,,,,,,
145102,Tyler Duzansky,LS,0,0,2026,2026,266,,65.8,63.5,S48,0,0,1,4,0,0,0,5,0,0,PENN STATE,PENN STATE,9,,,60,,,81.3,
145105,Gabriel Nwosu,P,0,0,,2026,266,,60,68.4,S99,0,0,1,0,0,5,0,0,0,0,PENN STATE,PENN STATE,5,,,,,69.9,,
145179,Nolan Rucci,T,0,0,2026,2026,266,,60.6,61.7,72,0,0,1,4,0,0,0,0,0,0,PENN STATE,PENN STATE,4,,,60,,,,
