playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesPass,gradesRun
75288,Tegra Tshabola,G,0,,2028,260,65.1,76.9,57.9,65.2,77,0,1,0,15,0,0,22,37,15,22,OHIO STATE,OHIO STATE,,,,
97659,Kris Mitchell,WR,0,,2025,258,66.9,76.9,,79.1,10,0,1,0,0,21,0,10,31,21,10,NOTRE DAME,NOTRE DAME,62.9,63.7,,
97889,Jack Kiser,LB,0,2025,2025,258,60,60,63.8,,D24,0,1,0,1,0,0,0,1,1,0,NOTRE DAME,NOTRE DAME,,,,
98556,Jayden Harrison,WR,0,,2025,258,60.8,69.5,63.8,60,02,0,1,0,1,2,0,1,4,3,1,NOTRE DAME,NOTRE DAME,61,59.9,,
122599,Will Howard,QB,0,2025,2025,260,88.8,76.6,,60,18,0,1,27,0,0,12,25,64,27,37,OHIO STATE,OHIO STATE,73.3,,85.5,72.3
129746,Josh Fryar,T,0,2025,2025,260,55.9,76.5,47.1,57.6,70,1,1,0,27,0,0,37,64,27,37,OHIO STATE,OHIO STATE,,,,
129747,Patrick Gurd,TE,0,2026,2026,260,50.7,67.4,,42.1,49,0,1,0,0,0,0,3,3,0,3,OHIO STATE,OHIO STATE,,,,
129756,Gee Scott Jr.,TE,0,2025,2025,260,58.4,75.7,72.5,70.9,88,0,1,0,1,19,0,11,31,20,11,OHIO STATE,OHIO STATE,61,50.8,,
143017,Max Hurleman,S,0,2025,2025,258,60,60,63.8,,D37,0,1,0,1,0,0,0,1,1,0,NOTRE DAME,NOTRE DAME,63.8,,,
143862,Riley Leonard,QB,0,2025,2025,258,77.5,76.5,,60,13,0,1,40,0,1,13,9,63,41,22,NOTRE DAME,NOTRE DAME,73.7,57.2,73.3,70.7
144112,Beaux Collins,WR,0,2025,2025,258,67,0,,61,05,1,1,0,0,33,0,18,51,33,18,NOTRE DAME,NOTRE DAME,66.2,68.5,,
145055,Emeka Egbuka,WR,0,2025,2025,260,63.3,78.2,,49.2,02,0,1,0,0,26,1,27,54,26,28,OHIO STATE,OHIO STATE,20.5,63.6,,63.2
145059,TreVeyon Henderson,HB,0,2025,2025,260,73.3,75.6,80.7,65,32,0,1,0,7,14,12,8,41,21,20,OHIO STATE,OHIO STATE,74.1,53,,74
145064,Donovan Jackson,T,0,2025,2025,260,70.5,77,74.5,66.6,74,0,1,0,27,0,0,37,64,27,37,OHIO STATE,OHIO STATE,,,,
145896,Will Kacmarek,TE,0,2026,2026,260,72,74.1,71.8,71.6,89,0,1,0,4,4,0,30,38,8,30,OHIO STATE,OHIO STATE,,54.2,,
147473,Deion Colzie,WR,0,,2026,258,58,66.5,,60,00,0,1,0,0,1,0,2,3,1,2,NOTRE DAME,NOTRE DAME,,59.5,,
147478,Rocco Spindler,G,0,,2026,258,64.7,78.8,81.9,60,50,0,1,0,41,0,0,22,63,41,22,NOTRE DAME,NOTRE DAME,,,,
147482,Pat Coogan,C,0,2026,2026,258,64.5,79.3,80.4,58.7,78,0,1,0,41,0,0,22,63,41,22,NOTRE DAME,NOTRE DAME,,,,
147485,Jayden Thomas,WR,0,,2026,258,55.1,72.6,,60.4,83,0,1,0,0,8,0,4,12,8,4,NOTRE DAME,NOTRE DAME,,55.5,,
147486,Mitchell Evans,TE,0,2025,2025,258,64.8,77.6,,76.5,88,0,1,0,0,33,1,15,49,33,16,NOTRE DAME,NOTRE DAME,65,61,,60
