playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT
43872,Mason White,S,5,0,,1,3,80,OREGON ST,19,D01,194,91,0,4,11,2026,0,73.7,31,4,81.1,0,0,83,0,0,0,43.3,3,0,0,0,OREGON ST,6,0,0,0,18,44,11.1,69.2,7.8,81.8,0,265,194,18,0,2,92.5,107,1,5,68.1,55,0,0
53418,James Camden,LB,21,0,,2,13,76.2,W MICHIGAN,60,D09,632,560,5,67,14,2026,21,66.9,149,16,78.3,8,0,274,0,0,1,74.9,2,2,1,0,W MICHIGAN,39,0,15,0,24,70,13.5,80.5,9.3,54.6,0,347,653,96,0,0,111,312,2,23,77,0,1,21
53981,Iesa Jarmon,CB,2,0,,0,0,100,AKRON,0,D12,12,1,0,0,1,2027,0,,49,2,43.4,0,0,8,0,0,0,60,11,0,0,0,AKRON,0,0,0,0,37,0,,43.4,24.5,71,0,102,12,21,0,0,158.3,4,0,0,,0,2,0
55516,Malik Denkins,ED,0,0,,0,0,,C MICHIGAN,4,D81,0,0,0,27,8,2027,66,78.6,0,0,61.2,0,0,0,7,5,0,60.2,0,0,0,0,C MICHIGAN,3,0,0,0,,0,0,62.1,,79,0,134,66,0,0,0,0,39,0,3,56,0,0,54
62235,Shaun Myers,LB,11,0,,0,7,72.7,COLORADO,26,D40,297,275,0,33,12,2027,21,54.8,60,8,74.1,3,0,95,0,0,1,69.1,2,0,1,0,COLORADO,19,0,3,0,33,19,17.5,70.1,7.5,29,0,143,318,45,0,1,125,190,4,7,52.4,0,2,21
64470,Will Whitson,ED,0,0,,0,0,,MISS STATE,3,D43,0,0,2,28,2,2028,46,78.8,0,0,,4,0,0,15,0,0,75.4,0,0,0,0,MISS STATE,5,0,6,0,,0,0,81.1,,76.9,0,227,46,0,2,0,0,18,3,2,74.8,0,0,29
70521,Mister Williams,LB,26,0,,0,5,65.4,S DIEGO ST,38,D41,537,438,0,34,13,2026,17,76.5,188,17,54.2,5,0,270,0,0,0,80.1,2,2,0,0,S DIEGO ST,25,0,7,0,35,97,7.8,69.8,11.1,83.9,0,284,554,150,0,1,99.5,250,3,21,72.1,0,1,17
70644,Ben Florentine,DI,0,0,,0,3,,WYOMING,22,D94,1,1,4,266,12,2026,550,67.5,0,0,57,12,0,3,73,62,0,74.5,0,5,0,1,WYOMING,21,0,21,0,,0,8.8,74.8,,86.1,0,351,551,0,408,0,0,282,3,9,69.3,0,0,7
70831,Korey Foreman,ED,3,0,,0,5,66.7,FRESNO ST,14,D00,0,0,4,191,13,2026,322,58.7,33,2,46.4,10,0,18,3,0,0,70.5,0,4,2,1,FRESNO ST,13,1,18,0,17,0,21.7,66.6,16.5,36.4,0,169,322,10,4,2,103.5,113,2,4,69.4,0,0,315
70877,Calvin Pitcher,LB,9,0,,0,7,77.8,UAB,26,D06,256,232,1,19,12,2026,51,66.1,126,7,45.6,2,0,88,1,0,0,70.4,0,0,0,0,UAB,15,0,3,0,65,24,14.9,60.1,18,84.7,0,321,307,104,0,1,155.8,200,0,14,52.3,0,1,50
70946,Tate Romney,LB,6,0,,0,3,66.7,ARIZONA ST,9,D24,90,77,0,7,10,2027,11,50.2,60,4,52.1,0,0,46,0,0,0,56.5,0,0,1,0,ARIZONA ST,2,0,0,0,30,11,21.4,49.6,15,0,0,110,101,31,0,1,138.9,48,0,2,53.4,2,1,11
71370,Domani Jackson,CB,21,0,2026,1,3,76.2,ALABAMA,38,D01,506,41,0,3,15,2026,10,83.6,135,16,74.3,1,0,300,0,0,0,66.4,457,0,4,0,ALABAMA,14,0,1,0,38,1,6.5,73.3,8.4,37.8,0,103,516,42,0,1,108.2,213,2,5,67.2,7,1,10
71398,Keanu Tanuvasa,DI,0,0,,0,5,,BYU,12,D57,2,2,2,302,14,2027,542,57.6,0,0,71.7,16,0,0,29,279,0,63.8,0,2,3,1,BYU,12,0,20,0,,0,16.7,63.2,,34.6,0,128,544,0,234,0,0,242,1,13,61.9,0,0,0
71596,Aaron Smith,CB,5,0,,0,1,100,NEW MEXICO,1,D29,25,2,0,0,2,2026,0,41.8,50,5,33.3,0,0,13,0,0,0,53.8,1,0,0,0,NEW MEXICO,0,0,0,0,19,21,50,34.2,10,76.3,0,241,25,13,0,0,108.3,12,0,0,,1,0,0
72089,DJ Harvey,CB,15,0,,0,3,53.3,USC,6,D02,141,6,0,0,8,2026,0,49.4,156,8,61.4,0,0,93,0,0,0,55,129,0,1,0,USC,1,0,0,0,75,4,25,60.8,19.5,79.8,0,326,141,67,0,2,112.1,48,0,3,,2,1,0
72318,Solomone Langi,DI,0,0,,0,2,,S JOSE ST,9,D51,0,0,2,72,11,2028,208,60.2,0,0,60.7,0,0,1,1,103,0,70.5,0,2,0,0,S JOSE ST,9,0,4,0,,0,10,71.4,,82.6,0,285,208,0,104,0,0,135,1,9,66.4,0,0,0
72338,Raider Damuni,S,19,0,,0,8,57.9,BYU,33,D03,415,175,0,7,12,2028,6,63.5,120,11,67.9,3,1,230,0,0,1,58,2,0,0,0,BYU,14,0,3,0,33,92,15.1,64.6,10.9,82.8,0,128,421,72,0,2,89.8,184,0,12,60.4,146,2,6
72388,Justin Flowe,LB,4,0,,0,2,75,UNLV,6,D36,79,73,0,12,11,2027,5,56,13,3,75.5,2,0,45,0,0,0,72.6,0,0,1,0,UNLV,4,0,2,0,5,5,15.4,72.1,4.3,0,0,325,84,9,0,1,78.1,27,0,5,56.5,0,0,5
