playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
43872,Mason White,S,0,,2026,265,60,60,60,D01,0,1,0,0,0,0,1,1,0,1,OREGON ST,OREGON ST,,,,,
52545,Joe Royer,TE,0,2026,2026,138,59.8,54.6,46.3,11,4,13,0,59,296,0,219,574,355,219,CINCINNATI,CINCINNATI,71.8,72.4,64.6,,
53398,Eric Meeks,C,1,,2026,214,65.6,80,61.5,57,5,12,0,406,0,0,446,852,406,446,MARSHALL,MARSHALL,,73.9,,,
54221,Sterling Berkhalter,WR,0,,2027,339,56.1,38.2,39.5,04,3,13,0,0,333,0,187,520,333,187,WAKE,WAKE,71.7,,58.8,,
70617,Ethan Higgins,T,0,,2028,323,60,67.2,60,68,0,1,0,0,0,0,3,3,0,3,UCF,UCF,,,,,
70721,Kevin Green Jr.,WR,0,,2027,340,46.8,77.8,53.3,00,0,8,0,0,20,0,23,43,20,23,WASHINGTON,WASHINGTON,,,47,,
70727,Miller Moss,QB,0,2026,2026,210,68.2,72.1,60.3,07,3,12,438,0,1,34,306,779,439,340,LOUISVILLE,LOUISVILLE,41.8,,57.6,63.1,78.9
70874,Jake Retzlaff,QB,0,,2026,319,81.6,89.7,60.2,12,2,14,449,1,9,104,327,890,459,431,TULANE,TULANE,52.2,62.2,46.1,76.9,73.5
70963,Jacob Conover,QB,0,,2026,329,58.5,77.4,60,03,2,5,49,1,1,5,21,77,51,26,UTAH ST,UTAH ST,71.4,62.2,57.2,57.3,60.8
71325,Boden Groen,TE,0,,2026,198,63.1,88.3,41.8,88,2,12,0,50,247,0,261,558,297,261,KANSAS,KANSAS,36.6,56.6,72.4,,
71443,Mavin Anderson,WR,0,,2026,314,51.8,50.7,42.2,03,1,12,0,1,212,0,157,370,213,157,TEXAS ST,TEXAS ST,69.1,68.3,54.1,,
71502,Andrew Madrigal,C,0,,2026,239,67.9,67.9,65.9,78,2,12,0,386,0,0,362,748,386,362,NEVADA,NEVADA,,72.8,51.1,,
71596,Aaron Smith,CB,0,,2026,241,60,60,60,D29,0,3,0,1,0,0,2,3,1,2,NEW MEXICO,NEW MEXICO,61.9,63.8,,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,57.9,5.2,67.6,10,1,10,0,0,81,0,39,120,81,39,CAL,CAL,66,,57.6,,
72324,Sonny Makasini,G,0,,2027,128,72.9,86.9,71.2,51,0,14,0,212,0,0,211,423,212,211,BYU,BYU,,75,,,
72336,Rowan Reay,WR,0,,2028,128,60.2,74.9,58.9,29,0,3,0,0,2,0,22,24,2,22,BYU,BYU,61,,60.3,,
72376,Cam Davis,HB,0,,2026,225,63.4,82.4,52.5,23,0,13,0,19,98,34,11,162,117,45,MINNESOTA,MINNESOTA,80,42.8,68.2,,64
72689,Marshall Jackson,T,0,,2026,346,61.6,82.6,55.3,53,4,13,0,571,0,0,345,916,571,345,W KENTUCKY,W KENTUCKY,,66.1,,,
73389,Marco Notarainni,LB,0,,2026,120,60,60,,D53,1,1,0,1,0,0,0,1,1,0,BOISE ST,BOISE ST,,60.5,,,
73621,Elijah Gilliam,HB,0,,2026,169,73.6,81.7,54.9,33,0,13,0,16,48,44,12,120,64,56,FRESNO ST,FRESNO ST,81.4,46,66.2,,75.3
73658,Gio De Leon,LB,0,,2026,126,60,60,60,D45,0,1,0,0,0,0,1,1,0,1,BUFFALO,BUFFALO,,,,,
73699,Cory Hall,DI,0,,2026,325,60,60,60,D97,0,1,0,0,0,0,1,1,0,1,UNLV,UNLV,,,,,
73741,Aluma Nkele,T,0,,2026,225,65.5,74,62.3,70,0,1,0,9,0,0,24,33,9,24,MINNESOTA,MINNESOTA,,77.6,,,
73860,Reis Stocksdale,WR,0,,2027,122,51.9,80.1,58.9,06,0,11,0,0,57,0,55,112,57,55,BOWL GREEN,BOWL GREEN,70.5,,51.4,,
73935,Cade McConnell,QB,0,,2026,330,56.9,66.6,,11,0,3,3,0,0,0,0,3,3,0,UTEP,UTEP,62.7,,,46.8,64.4
73936,Beau Allen,QB,0,,2026,202,26.7,70.7,60,11,0,2,1,0,0,1,10,12,1,11,KENTUCKY,KENTUCKY,9.1,,,49.2,60
74152,Ryan Quintanar,LB,0,,2026,326,60,63.8,60,21,0,2,0,1,0,0,1,2,1,1,USC,USC,61.9,63.8,,,
74236,Mason Murphy,T,0,2026,2026,115,66.2,51.9,67.6,76,4,12,0,476,0,0,337,813,476,337,AUBURN,AUBURN,,65.9,,,
74258,Justin Sinclair,S,0,,2026,180,60,65,60,D21,2,1,0,0,0,0,1,1,0,1,HAWAII,HAWAII,,,,,
74638,Jack Monday,TE,0,,2026,202,56.9,71,58.7,83,0,2,0,1,2,0,4,7,3,4,KENTUCKY,KENTUCKY,,66.8,58.2,,
74652,AJ Vaipulu,G,0,,2026,341,51.2,43.7,56.3,66,9,13,0,480,0,0,389,869,480,389,WASH STATE,WASH STATE,,35.8,,,
75288,Tegra Tshabola,G,0,,2028,260,56.3,25.3,57.8,77,5,13,0,307,0,0,300,607,307,300,OHIO STATE,OHIO STATE,,60.5,,,
76122,Bam Booker,ED,0,,2027,122,60,60,60,D45,1,1,0,0,0,0,1,1,0,1,BOWL GREEN,BOWL GREEN,,,,,
76359,Baron May,QB,0,,2026,122,64.9,26.2,60,08,1,1,29,0,0,8,37,74,29,45,BOWL GREEN,BOWL GREEN,34.8,,,58,71
