playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesKickoffKicker,gradesFgepOffense,gradesPuntReturn,gradesLongSnap,gradesPunter,gradesFgepKicker
43872,Mason White,S,0,0,,2026,265,60,61.2,52,D01,4,1,12,0,7,20,11,64,29,3,OREGON ST,OREGON ST,131,,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,60.1,64,11,0,0,3,0,0,0,3,0,0,0,CINCINNATI,CINCINNATI,3,59.9,,,,,,
53418,James Camden,LB,0,0,,2026,347,60.4,58.3,47.1,D09,1,1,14,0,31,15,4,58,13,1,W MICHIGAN,W MICHIGAN,121,,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,59.9,34.1,28.4,D12,1,1,3,0,3,3,0,7,5,1,AKRON,AKRON,18,,,,,,,
54221,Sterling Berkhalter,WR,0,0,,2027,339,,60.3,66.7,04,0,0,2,0,0,0,1,0,1,0,WAKE,WAKE,2,,,,,,,
55516,Malik Denkins,ED,0,0,,2027,134,59.6,64,72.1,D81,0,0,3,0,3,0,0,0,8,0,C MICHIGAN,C MICHIGAN,11,,,,,,,
62235,Shaun Myers,LB,0,0,,2027,143,59.8,58.5,66,D40,0,0,9,0,31,0,0,3,7,0,COLORADO,COLORADO,41,,,,,,,
64470,Will Whitson,ED,0,0,,2028,227,,60.1,66,D43,0,0,2,0,0,0,4,0,0,0,MISS STATE,MISS STATE,4,,,,,,,
70521,Mister Williams,LB,0,0,,2026,284,60,57.9,67.2,D41,0,0,8,0,5,3,21,0,1,0,S DIEGO ST,S DIEGO ST,30,,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,57.3,58.1,70.2,D94,0,0,12,0,48,0,0,7,10,0,WYOMING,WYOMING,65,,,,,,,
70670,Cash McVay,K,0,0,,2026,108,,63.4,77.3,S43,0,0,13,0,0,59,0,0,0,1,APP STATE,APP STATE,59,,84.4,,,,,
70874,Jake Retzlaff,QB,0,0,,2026,319,,60,63,12,0,0,1,0,0,0,1,0,0,0,TULANE,TULANE,1,,,,,,,
70877,Calvin Pitcher,LB,1,0,,2026,321,59.9,49.3,78,D06,1,0,11,0,31,23,0,30,12,2,UAB,UAB,96,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,59.9,64.2,51.6,D24,1,1,9,0,8,41,43,0,28,1,ARIZONA ST,ARIZONA ST,120,,,,,,,
71325,Boden Groen,TE,0,0,,2026,198,,59.6,64.3,88,0,0,4,4,0,1,1,1,0,0,KANSAS,KANSAS,7,,,60,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,59.9,62.1,71.4,D01,0,0,10,0,22,0,0,0,11,0,ALABAMA,ALABAMA,33,,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,128,72.1,79.5,70,D57,0,0,14,0,48,0,0,0,10,0,BYU,BYU,58,,,,,,,
71443,Mavin Anderson,WR,0,0,,2026,314,,59.6,68.4,03,0,0,4,0,0,0,29,0,0,0,TEXAS ST,TEXAS ST,29,63.2,,,,,,
71502,Andrew Madrigal,C,0,0,,2026,239,,59,67.3,78,0,0,2,5,0,0,0,2,0,0,NEVADA,NEVADA,7,,,60.3,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,61.1,67.9,07,0,0,2,0,0,3,0,0,1,0,NEVADA,NEVADA,4,,,,,,,
71596,Aaron Smith,CB,1,0,,2026,241,,63.6,36.1,D29,2,1,13,0,0,69,61,41,5,2,NEW MEXICO,NEW MEXICO,176,61.8,,,,,,
71698,Jayden Dixon-Veal,WR,0,0,,2026,130,,54.7,74.4,10,0,1,6,0,0,1,30,0,3,0,CAL,CAL,34,59.9,,,,,,
72089,DJ Harvey,CB,0,0,,2026,326,59.8,61,68,D02,0,0,6,0,10,2,1,0,0,0,USC,USC,13,,,,,,,
72318,Solomone Langi,DI,0,0,,2028,285,58.5,61.1,65.6,D51,0,0,10,23,19,0,0,0,0,0,S JOSE ST,S JOSE ST,42,,,71.4,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,66.8,75,51,0,0,14,74,0,0,0,0,0,0,BYU,BYU,74,,,79.3,,,,
72336,Rowan Reay,WR,0,0,,2028,128,,73.9,71,29,0,0,13,0,0,12,57,0,0,0,BYU,BYU,69,,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,59.8,57.9,70,D03,0,0,11,0,27,18,0,0,12,0,BYU,BYU,57,,,,,,,
72376,Cam Davis,HB,0,0,,2026,225,,70,70.5,23,0,0,8,0,0,0,41,0,0,0,MINNESOTA,MINNESOTA,41,59.6,,,,,,
72388,Justin Flowe,LB,0,1,,2027,325,,61.1,33,D36,0,2,12,0,0,76,7,0,1,3,UNLV,UNLV,84,,,,,,,
72474,Ian Shewell,DI,0,0,,2027,110,59.9,66,74,D52,0,0,5,0,2,0,0,2,13,0,ARIZONA ST,ARIZONA ST,17,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,59.8,61.9,79.9,D39,0,0,13,0,42,0,7,0,2,0,FRESNO ST,FRESNO ST,51,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,59.2,64.5,63.3,53,0,0,13,68,3,0,0,0,0,0,W KENTUCKY,W KENTUCKY,71,,,76.3,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,59.6,61.9,75.2,D53,0,0,14,0,49,43,4,56,17,1,BOISE ST,BOISE ST,169,,,,,,,
