playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
71325,Boden Groen,TE,0,,2026,198,61,68.8,73.7,44.8,60.5,73.4,88,0,1,0,2,8,0,11,21,10,11,KANSAS,KANSAS,,
72689,Marshall Jackson,T,0,,2026,346,,63.9,78.2,78.6,,53.8,53,0,1,0,57,0,0,30,87,57,30,W KENTUCKY,W KENTUCKY,,
73621,Elijah Gilliam,HB,0,,2026,169,66.3,68,68.9,,79.1,,33,0,1,0,0,1,2,0,3,1,2,FRESNO ST,FRESNO ST,62.9,
99437,Taylor Poitier,G,0,,2026,199,,54.3,79.5,78.6,,48.1,69,1,1,0,32,0,0,27,59,32,27,KANSAS ST,KANSAS ST,,
99476,Maverick McIvor,QB,0,,2026,346,70.8,77.3,77.8,,,60,07,0,1,57,0,0,2,28,87,57,30,W KENTUCKY,W KENTUCKY,58.3,78.1
122299,Quincy Jenkins,G,0,,2026,346,,53.4,79.9,60.5,,48.7,63,0,1,0,57,0,0,30,87,57,30,W KENTUCKY,W KENTUCKY,,
122346,Donavan Manson,G,0,,2026,325,,56.1,74.7,17.3,,61.9,55,0,1,0,12,0,0,8,20,12,8,UNLV,UNLV,,
122515,DeShawn Hanika,TE,0,,2026,198,62.9,82.1,73.5,67.5,75.4,81.5,18,0,1,0,2,5,0,13,20,7,13,KANSAS,KANSAS,,
122526,Tyler Miller,T,0,2026,2026,193,,62.9,77,50.6,,65.7,66,0,1,0,37,0,0,38,75,37,38,IOWA STATE,IOWA STATE,,
122555,Jalon Daniels,QB,0,2026,2026,198,70.9,88.7,76.3,,,60,06,0,1,24,0,0,6,27,57,24,33,KANSAS,KANSAS,74.4,83.2
122562,Daniel Hishaw Jr.,HB,0,,2026,198,75.5,66.6,76.1,25.4,57.7,57.1,09,0,1,0,4,13,16,8,41,17,24,KANSAS,KANSAS,69.1,
122620,Will Swanson,TE,0,,2026,199,,53.6,73.8,68.9,52.5,55.9,83,1,1,0,3,5,0,11,19,8,11,KANSAS ST,KANSAS ST,,
122692,Kobe Baynes,G,0,,2026,198,,81.6,78.4,84,,81.1,70,2,1,0,24,0,0,33,57,24,33,KANSAS,KANSAS,,
122836,Elijah Green,HB,0,,2026,281,71.6,63.6,74.8,22.2,77.5,59.2,21,0,1,0,4,24,6,2,36,28,8,SM HOUSTON,SM HOUSTON,60.2,
122842,Malik McGowan,G,0,,2026,325,,75.4,80.2,86.5,,73.7,60,0,1,0,35,0,0,37,72,35,37,UNLV,UNLV,,
123124,Troy Omeire,WR,0,,2027,325,64.1,58.3,76.7,,60.6,45.9,00,0,1,0,0,18,0,19,37,18,19,UNLV,UNLV,,
123662,James Faminu,T,1,,2026,325,,62.2,75.6,52.3,,63.3,66,1,1,0,23,0,0,24,47,23,24,UNLV,UNLV,,
127412,Will Thomas,T,0,,2028,325,,50.5,2.5,39.8,,61.4,72,1,1,0,25,0,0,21,46,25,21,UNLV,UNLV,,
128172,Jordan Brown,WR,0,,2026,169,61,53.8,73.1,,54.3,59.6,81,0,1,0,0,15,0,3,18,15,3,FRESNO ST,FRESNO ST,,
128362,Alani Makihele,G,0,,2026,325,,71.6,0,85.1,,74.8,73,2,1,0,23,0,0,29,52,23,29,UNLV,UNLV,,
128961,Fisher Anderson,C,0,,2027,300,,79.9,75,81.5,,79.6,74,0,1,0,8,0,0,10,18,8,10,STANFORD,STANFORD,,
129405,Reid Williams,C,0,,2026,325,,79.5,79.8,83.8,,74.1,64,0,1,0,35,0,0,37,72,35,37,UNLV,UNLV,,
129487,Leshon Williams,HB,0,,2026,198,71.4,76.6,73.1,,65.4,59.3,04,0,1,0,0,6,7,3,16,6,10,KANSAS,KANSAS,75.6,
129648,Doug Emilien,WR,0,,2026,198,,53.8,72.6,,57.1,59.7,05,0,1,0,0,5,1,13,19,5,14,KANSAS,KANSAS,59.1,
129790,Keyvone Lee,HB,0,,2026,325,69.9,54.6,73.1,70,59.8,58.5,02,0,1,0,1,4,5,8,18,5,13,UNLV,UNLV,54.6,
129912,Dylan Barrett,G,0,2026,2026,193,,55.9,80.3,50.2,,55.3,61,0,1,0,37,0,0,38,75,37,38,IOWA STATE,IOWA STATE,,
131734,Ben Gulbranson,QB,0,,2026,300,68.6,29.4,77.2,,,60,15,1,1,35,0,0,0,41,76,35,41,STANFORD,STANFORD,51.4,29.3
131758,Bryce Farrell,WR,0,,2026,300,67,53.6,78,,52.5,62.7,11,0,1,0,0,17,0,29,46,17,29,STANFORD,STANFORD,,
133796,Isaiah Myers,WR,0,,2027,346,,55.2,72.5,,55.7,60.3,80,0,1,0,0,5,0,4,9,5,4,W KENTUCKY,W KENTUCKY,,
142695,Justin Wolf,TE,0,,2026,346,,52.4,73,67.3,52.9,54.7,15,0,1,0,3,5,0,11,19,8,11,W KENTUCKY,W KENTUCKY,,
143900,Jackson West,TE,0,,2026,346,,47.5,68.9,,,48.4,85,0,1,0,0,0,0,5,5,0,5,W KENTUCKY,W KENTUCKY,,
143949,Laurence Seymore III,G,0,,2027,346,,58.6,80.8,85.2,,49.3,50,0,1,0,57,0,0,30,87,57,30,W KENTUCKY,W KENTUCKY,,
144016,Jaden Bradley,WR,0,2026,2026,325,66.2,82.1,77.6,,82.2,57.2,06,0,1,0,0,25,0,24,49,25,24,UNLV,UNLV,,
144020,Terrence Enos Jr.,T,0,,2026,199,60.9,62.9,72.7,67.2,65.1,57.5,74,0,1,0,12,0,0,10,22,12,10,KANSAS ST,KANSAS ST,,
144041,Enrique Cruz Jr.,T,0,2026,2026,198,,59.8,0,80.3,,61.1,77,2,1,0,16,0,0,27,43,16,27,KANSAS,KANSAS,,
144244,Matt Byrnes,TE,0,,2028,325,,59.7,68.8,69.3,58.6,60,85,0,1,0,2,2,0,1,5,4,1,UNLV,UNLV,,
144253,Alton McCaskill,HB,0,,2027,281,73.6,68.4,74.7,58.9,60.4,58.4,22,0,1,0,5,9,11,3,28,14,14,SM HOUSTON,SM HOUSTON,68.9,
144544,Jim Bonifas,C,0,2026,2026,193,,62.9,79.9,61.2,,61.7,63,0,1,0,37,0,0,38,75,37,38,IOWA STATE,IOWA STATE,,
144546,Tyler Moore,TE,0,2026,2026,193,,64.3,75.6,66.1,55.4,73.1,82,0,1,0,2,5,0,9,16,7,9,IOWA STATE,IOWA STATE,,
144564,Hank Kelly,G,0,,2026,198,,59.9,69.8,,,59.9,57,0,1,0,0,0,0,4,4,0,4,KANSAS,KANSAS,,
144599,Andrew Leingang,T,0,,2026,199,,56.6,77.2,41.8,,59,56,0,1,0,32,0,0,27,59,32,27,KANSAS ST,KANSAS ST,,
