playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
72388,Justin Flowe,LB,0,1,,2027,325,54.1,27.4,D36,0,2,1,0,0,7,6,0,0,1,UNLV,UNLV,13,,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,64.3,91.2,D39,0,0,1,0,5,0,0,0,2,0,FRESNO ST,FRESNO ST,7,60,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,61.5,61.5,53,0,0,1,7,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,7,,60,,,,,,
73621,Elijah Gilliam,HB,0,0,,2026,169,61.1,70.5,33,0,0,1,0,0,0,5,0,2,0,FRESNO ST,FRESNO ST,7,,,,,,,,
73699,Cory Hall,DI,0,0,,2026,325,62.1,68.3,D97,0,0,1,8,0,0,0,0,0,0,UNLV,UNLV,8,,60,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,61.7,69.9,D21,0,0,1,0,0,5,5,4,3,0,HAWAII,HAWAII,17,,,,,,,,
86168,Jairus Satele,DI,0,0,,2028,169,60,61,D56,0,0,1,1,0,0,0,0,0,0,FRESNO ST,FRESNO ST,1,,60,,,,,,
90529,Ose Egbase,ED,0,0,,2026,325,60.2,63.6,D17,0,0,1,0,1,0,0,0,1,0,UNLV,UNLV,2,59.6,,,,,,,
99286,Virdel Edwards II,CB,0,0,,2026,180,61.9,66.7,D23,0,0,1,0,0,0,0,0,4,0,HAWAII,HAWAII,4,,,,,,,,
99735,Cecil Powell,S,0,0,,2026,281,60,62.1,D02,0,0,1,0,6,0,0,0,0,0,SM HOUSTON,SM HOUSTON,6,59.9,,,,,,,
