playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
43872,Mason White,S,0,,2026,265,60,60,60,D01,0,1,0,0,0,0,1,1,0,1,OREGON ST,OREGON ST,,,,,
52545,Joe Royer,TE,0,2026,2026,138,76.5,77.4,61.8,11,0,1,0,6,19,0,19,44,25,19,CINCINNATI,CINCINNATI,62.9,71.8,76.2,,
53398,Eric Meeks,C,0,,2026,214,68,79,63,57,0,1,0,26,0,0,30,56,26,30,MARSHALL,MARSHALL,,83.3,,,
54221,Sterling Berkhalter,WR,0,,2027,339,63.4,76.2,43.4,04,0,1,0,0,23,0,11,34,23,11,WAKE,WAKE,62.9,,65.6,,
70617,Ethan Higgins,T,0,,2028,323,60,67.2,60,68,0,1,0,0,0,0,3,3,0,3,UCF,UCF,,,,,
70721,Kevin Green Jr.,WR,0,,2027,340,59.9,74.4,75,00,0,1,0,0,6,0,13,19,6,13,WASHINGTON,WASHINGTON,,,55.5,,
70727,Miller Moss,QB,0,2026,2026,210,45.6,20,60,07,1,1,30,0,0,1,25,56,30,26,LOUISVILLE,LOUISVILLE,28.3,,,42.3,67.1
70874,Jake Retzlaff,QB,0,,2026,319,80.3,76.7,60,12,1,1,30,0,0,8,27,65,30,35,TULANE,TULANE,35.4,,,82.7,63.1
71325,Boden Groen,TE,0,,2026,198,65.9,73.7,60.4,88,0,1,0,4,12,0,5,21,16,5,KANSAS,KANSAS,61,77,64,,
71502,Andrew Madrigal,C,0,,2026,239,68.6,4.9,68.7,78,1,1,0,33,0,0,38,71,33,38,NEVADA,NEVADA,,84.3,51.1,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,65.4,73.3,60.1,10,0,1,0,0,8,0,8,16,8,8,CAL,CAL,61,,64.8,,
72324,Sonny Makasini,G,0,,2027,128,68.8,77.3,69.7,51,0,1,0,19,0,0,15,34,19,15,BYU,BYU,,61,,,
72376,Cam Davis,HB,0,,2026,225,79.2,70.6,,23,0,1,0,1,4,2,0,7,5,2,MINNESOTA,MINNESOTA,67.4,0,90.6,,75
72689,Marshall Jackson,T,0,,2026,346,67,77.3,68,53,1,1,0,46,0,0,24,70,46,24,W KENTUCKY,W KENTUCKY,,61,,,
73621,Elijah Gilliam,HB,0,,2026,169,61.3,69.8,60,33,0,1,0,0,2,3,1,6,2,4,FRESNO ST,FRESNO ST,67.3,,58.9,,62.2
73699,Cory Hall,DI,0,,2026,325,60,60,60,D97,0,1,0,0,0,0,1,1,0,1,UNLV,UNLV,,,,,
73741,Aluma Nkele,T,0,,2026,225,65.5,74,62.3,70,0,1,0,9,0,0,24,33,9,24,MINNESOTA,MINNESOTA,,77.6,,,
73860,Reis Stocksdale,WR,0,,2027,122,56.3,72.8,61,06,0,1,0,0,12,0,8,20,12,8,BOWL GREEN,BOWL GREEN,62.9,,56.3,,
73935,Cade McConnell,QB,0,,2026,330,70.2,63.6,,11,0,1,1,0,0,0,0,1,1,0,UTEP,UTEP,60.3,,,,64.4
74236,Mason Murphy,T,0,2026,2026,115,68.1,75.9,73.3,76,0,1,0,37,0,0,18,55,37,18,AUBURN,AUBURN,,52.4,,,
74652,AJ Vaipulu,G,0,,2026,341,62.2,79.7,57.3,66,1,1,0,45,0,0,37,82,45,37,WASH STATE,WASH STATE,,81.7,,,
75288,Tegra Tshabola,G,0,,2028,260,69.1,75.6,67.3,77,0,1,0,15,0,0,11,26,15,11,OHIO STATE,OHIO STATE,,80.9,,,
78216,Tay Lanier,WR,0,,2026,144,53.9,77.1,60.4,06,0,1,1,0,12,0,20,33,13,20,COLO STATE,COLO STATE,60.3,,52.7,60.4,
78573,Solomon Vanhorse,HB,0,,2026,190,56.4,63.5,,18,0,1,0,0,0,1,0,1,0,1,INDIANA,INDIANA,62.5,,,,57.8
81675,Reuben Unije,T,1,,2026,324,61.6,75.7,58.3,71,1,1,0,37,0,0,14,51,37,14,UCLA,UCLA,,64.2,,,
86477,Koby Gross,TE,0,,2026,117,55.6,74.9,62.4,06,0,1,0,0,10,0,3,13,10,3,BALL ST,BALL ST,,,54.1,,
86525,Camden Jordan,WR,0,,2026,190,57.3,65.6,60,89,0,1,0,0,1,0,1,2,1,1,INDIANA,INDIANA,,,59.1,,
86538,Chase Penry,WR,0,,2026,120,59.4,72.9,77.5,13,0,1,0,0,6,0,10,16,6,10,BOISE ST,BOISE ST,,,55,,
90224,Reymello Murphy,WR,0,,2026,146,71.3,77.2,83.1,06,0,1,0,0,23,0,6,29,23,6,UCONN,UCONN,65,,68,,
97105,Cam Ross,WR,0,2026,2026,335,59.3,77.9,54,06,0,1,0,0,35,0,23,58,35,23,VIRGINIA,VIRGINIA,72.1,,59.8,,
97171,Alante Brown,WR,0,,2027,223,58.5,63.4,,00,0,1,0,0,1,0,0,1,1,0,MICH STATE,MICH STATE,64.2,,59.7,,
97204,Juwaun Price,HB,0,,2026,216,64.1,71.8,60,28,0,1,0,4,6,1,1,12,10,2,UMASS,UMASS,62.5,54.5,56.8,,63.3
97321,Ryan Davis,WR,0,,2026,328,70.7,77.1,60.4,09,0,1,0,0,26,0,20,46,26,20,UTAH,UTAH,66.2,,70.2,,
97427,Devin Voisin,WR,0,,2026,288,89.9,79.6,58.4,01,0,1,0,0,27,0,41,68,27,41,S ALABAMA,S ALABAMA,71.1,,89.9,,
97517,Marvae Myers,CB,0,,2026,214,60,60,60,D03,0,1,0,0,0,0,1,1,0,1,MARSHALL,MARSHALL,,,,,
97796,Michael Johnson Jr.,QB,0,,2026,102,38.7,73.1,60,15,0,1,4,0,0,5,9,18,4,14,AKRON,AKRON,19.7,,,57.2,42.8
97804,Dequan Finn,QB,0,,2026,221,73.7,10.1,60,01,1,1,33,0,0,4,7,44,33,11,MIAMI OH,MIAMI OH,70.4,,,66.4,75.9
97813,Donavon Greene,WR,0,,2026,337,59.5,76.5,73,03,0,1,0,0,28,0,19,47,28,19,VA TECH,VA TECH,61,,56.9,,
98006,Zach Calzada,QB,0,,2026,202,48.2,76.5,60,05,1,1,36,0,0,1,27,64,36,28,KENTUCKY,KENTUCKY,69.2,,,45.7,62.3
98070,Tyler Brown,G,0,,2027,143,72.4,70.6,70.5,56,0,1,0,0,0,0,5,5,0,5,COLORADO,COLORADO,,,,,
98255,Jax Harrington,T,0,,2026,207,83.9,78.6,83.5,70,0,1,0,23,0,0,38,61,23,38,LA LAFAYET,LA LAFAYET,,83.3,,,
98371,Brett Seither,TE,0,,2026,176,62.1,73.5,75.2,80,0,1,0,3,7,0,6,16,10,6,GA TECH,GA TECH,61,69.3,54,,
98396,Julius Pierce,C,0,,2026,166,55.4,79.9,52.7,65,1,1,0,37,0,0,37,74,37,37,FIU,FIU,,69.2,,,
98490,Jayme Motley-Simmons,T,0,,2026,102,53.2,76.4,52.6,77,0,1,0,28,0,0,28,56,28,28,AKRON,AKRON,,53.3,,,
98550,Adrian Medley,G,0,,2026,167,66,76.9,62.6,76,0,1,0,17,0,0,25,42,17,25,FLORIDA ST,FLORIDA ST,,83.8,,,
99041,Jakai Moore,T,0,,2026,245,82.6,76.2,82,55,0,1,0,32,0,0,27,59,32,27,N CAROLINA,N CAROLINA,,76.2,,,
99437,Taylor Poitier,G,0,,2026,199,56.6,78.4,53.4,69,0,1,0,27,0,0,18,45,27,18,KANSAS ST,KANSAS ST,,64,,,
99476,Maverick McIvor,QB,0,,2026,346,57.1,76.8,60,07,0,1,45,0,1,2,17,65,46,19,W KENTUCKY,W KENTUCKY,70.2,,54.3,61.6,48.8
99695,Justin Olson,WR,0,,2026,136,50.3,77,44.2,04,0,1,0,0,19,0,14,33,19,14,CHARLOTTE,CHARLOTTE,,,53.2,,
100201,Zach Gibson,QB,0,,2026,165,50.4,69.5,60,07,0,1,2,0,0,0,6,8,2,6,FAU,FAU,61.8,,,49.5,
100253,Broderick Roman,C,0,,2027,296,65.8,79.5,62.2,67,0,1,0,42,0,0,25,67,42,25,SO MISS,SO MISS,,73.1,,,
100263,Xavior Gray,T,0,,2026,256,68.5,69.4,69,63,0,1,0,0,0,0,7,7,0,7,NWESTERN,NWESTERN,,,,,
100518,Ben Coleman,C,0,,2026,110,63.5,10.5,66.2,62,1,1,0,35,0,0,43,78,35,43,ARIZONA ST,ARIZONA ST,,56.8,,,
100658,Hudson Habermehl,TE,0,,2026,324,51.6,78.8,60.8,81,0,1,0,5,24,0,19,48,29,19,UCLA,UCLA,,69.8,49.9,,
100835,Oscar Adaway III,HB,0,,2026,289,68.3,73.1,66.5,27,0,1,0,1,8,7,4,20,9,11,S CAROLINA,S CAROLINA,71.4,70,60.9,,66.1
101579,Matthew Bedford,G,0,,2026,264,66.2,74,65,77,0,1,0,5,0,0,9,14,5,9,OREGON,OREGON,,75.2,,,
101625,Ta'Quan Roberson,QB,0,,2026,126,58.8,76.7,60,02,0,1,23,0,0,6,38,67,23,44,BUFFALO,BUFFALO,70.9,,,47.7,69.2
101628,Jacob Clark,QB,0,2026,2026,230,74.6,77.1,60,12,0,1,46,0,1,6,20,73,47,26,MO STATE,MO STATE,42.6,,89.1,71.7,62.7
102273,Pat McMurtrie,T,0,,2026,197,51.7,77.2,52.3,76,1,1,0,39,0,0,40,79,39,40,JAMES MAD,JAMES MAD,,49.6,,,
102309,Jordan Hall,G,0,,2026,319,67.2,72.9,66.5,50,0,1,0,2,0,0,11,13,2,11,TULANE,TULANE,,69.7,,,
102324,Keagen Trost,T,0,2026,2026,229,70.6,25.9,71,79,1,1,0,47,0,0,39,86,47,39,MISSOURI,MISSOURI,,74,,,
103865,Evan Beerntsen,G,0,2026,2026,256,77.9,78.9,79.2,60,1,1,0,32,0,0,35,67,32,35,NWESTERN,NWESTERN,,72.5,,,
103979,Jobi Malary,HB,0,,2026,197,60,62.7,60,28,0,1,0,0,0,0,1,1,0,1,JAMES MAD,JAMES MAD,,,,,
103994,Dontae McMillan,HB,0,2026,2026,160,66,73.7,55.2,28,0,1,0,0,17,8,6,31,17,14,E MICHIGAN,E MICHIGAN,21.5,,67,,66.1
104082,Marcus Bellon,WR,0,,2026,239,62.1,77.8,57.9,18,0,1,0,0,27,1,23,51,27,24,NEVADA,NEVADA,71,,60.6,,62.9
104638,Ryan Joyce,C,0,,2026,263,70.9,78.1,67.5,70,0,1,0,29,0,0,17,46,29,17,DOMINION,DOMINION,,74.9,,,
104768,Joe Fagnano,QB,0,2026,2026,146,67.3,77.5,60,02,0,1,47,0,1,0,33,81,48,33,UCONN,UCONN,69.5,,55.9,66.8,
104901,Marcus Velez,TE,0,,2026,126,84.7,74.7,82.5,19,0,1,0,5,3,0,21,29,8,21,BUFFALO,BUFFALO,61,68.7,57.7,,
108560,Michael Flores,G,0,,2026,210,60,0,60,51,1,1,0,0,0,0,1,1,0,1,LOUISVILLE,LOUISVILLE,,,,,
