playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassRoute,gradesHandsFumble,gradesPass,gradesRun
53398,Eric Meeks,C,0,,2026,214,70.6,79.9,52.5,69.7,57,0,1,0,27,0,0,46,73,27,46,MARSHALL,MARSHALL,,,,
70721,Kevin Green Jr.,WR,0,,2027,340,56.7,69.6,,60,00,0,1,0,0,1,0,1,2,1,1,WASHINGTON,WASHINGTON,58.9,,,
70727,Miller Moss,QB,0,2026,2026,210,70.1,76.4,,60,07,0,1,40,0,0,0,21,61,40,21,LOUISVILLE,LOUISVILLE,,69,69.3,
70874,Jake Retzlaff,QB,0,,2026,319,73.6,76,,60.1,12,0,1,20,0,1,5,22,48,21,27,TULANE,TULANE,59.5,69.7,66.7,71.5
70963,Jacob Conover,QB,0,,2026,329,65.4,70.4,,60,03,0,1,1,0,1,3,6,11,2,9,UTAH ST,UTAH ST,57.2,67.5,60,65.3
71325,Boden Groen,TE,0,,2026,198,58,75.6,75.4,54.1,88,0,1,0,2,8,0,17,27,10,17,KANSAS,KANSAS,59.9,61,,
71443,Mavin Anderson,WR,0,,2026,314,62.5,76.4,,57.2,03,0,1,0,0,20,0,20,40,20,20,TEXAS ST,TEXAS ST,62.7,62.9,,
71502,Andrew Madrigal,C,0,,2026,239,66.1,80.1,58.1,65.7,78,0,1,0,43,0,0,34,77,43,34,NEVADA,NEVADA,,,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,61.3,73.5,,79.7,10,0,1,0,0,7,0,7,14,7,7,CAL,CAL,55.4,,,
72324,Sonny Makasini,G,0,,2027,128,78.5,77.7,80.7,78.2,51,0,1,0,16,0,0,22,38,16,22,BYU,BYU,,,,
72689,Marshall Jackson,T,0,,2026,346,44.9,77.1,20.3,54,53,0,1,0,35,0,0,31,66,35,31,W KENTUCKY,W KENTUCKY,,,,
73621,Elijah Gilliam,HB,0,,2026,169,56.8,70.9,,,33,0,1,0,0,4,1,0,5,4,1,FRESNO ST,FRESNO ST,57.1,62.5,,59.6
73860,Reis Stocksdale,WR,0,,2027,122,56.5,71.9,,59.7,06,0,1,0,0,5,0,6,11,5,6,BOWL GREEN,BOWL GREEN,56.8,,,
74236,Mason Murphy,T,0,2026,2026,115,63,22.5,62.5,69.4,76,1,1,0,52,0,0,20,72,52,20,AUBURN,AUBURN,,,,
