playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesPassRushDefense
126597,Justin Weaver,CB,5,0,,0,2,20,ARMY,3,D05,62,8,0,0,1,2026,4,28.9,6,1,67.2,0,1,18,0,0,0,54.1,54,0,0,0,ARMY,0,0,0,0,6,0,40,62.9,6,77.5,0,114,66,0,0,0,0,48,0,0,0,0,4,
131100,Jaxson Campbell,CB,0,0,,0,0,,NAVY,3,D14,15,8,0,3,1,2026,12,79,0,0,61.8,0,0,9,0,0,0,68.4,0,0,1,0,NAVY,3,0,0,0,,7,0,59.3,,0,0,237,27,0,0,0,0,15,0,0,0,0,12,55.8
133971,Jaydan Mayes,CB,2,0,,0,2,100,ARMY,3,D07,61,14,0,2,1,2028,5,41.5,29,2,48.1,0,0,16,0,0,0,59.6,46,0,0,0,ARMY,1,0,0,0,21,0,33.3,51.5,14.5,76.9,0,114,66,4,0,0,118.8,48,0,1,1,0,5,54.7
147322,Will Jeffcoat,G,0,0,,0,0,,ARMY,0,59,0,0,0,0,1,2026,2,,0,0,,0,0,0,0,2,0,60,0,0,1,0,ARMY,0,0,0,0,,0,,61.5,,70.5,0,114,2,0,0,0,0,2,0,0,0,0,0,
162559,Adam Klenk,ED,0,0,,0,0,,NAVY,1,D49,0,0,0,1,1,2026,3,72.2,0,0,,0,0,0,0,0,0,59.4,0,0,0,0,NAVY,1,0,0,0,,0,0,58.5,,70.9,0,237,3,0,0,0,0,2,0,0,0,0,3,59.9
162567,Kenneth McShan,CB,0,0,,0,0,,NAVY,2,D00,3,1,0,2,1,2026,15,75.3,0,0,60,0,0,1,0,0,0,65.8,0,1,0,0,NAVY,2,0,1,0,,2,0,65.7,,76.4,0,237,18,0,0,0,0,15,0,0,0,0,15,58.4
162574,Luke Pirris,ED,0,0,,0,1,,NAVY,2,D35,1,1,0,10,1,2026,40,54,0,0,60.8,3,0,4,0,0,0,66.5,0,0,0,0,NAVY,2,0,3,0,,0,25,63.2,,79.6,0,237,41,0,0,0,0,27,1,1,0,0,40,53.7
162580,Landon Robinson,DI,0,0,2026,0,1,,NAVY,2,D96,0,0,0,15,1,2026,45,42.8,0,0,67.7,3,0,0,0,13,0,64.3,0,0,0,0,NAVY,2,0,3,0,,0,25,75.4,,77.8,0,237,45,0,32,0,0,30,0,1,0,0,0,81.2
163188,Eric Ford,ED,1,0,,0,1,100,ARMY,2,D40,1,0,1,11,1,2026,58,58.4,11,1,62,2,0,7,0,0,0,55.7,1,0,0,0,ARMY,1,0,3,0,11,0,25,65.9,11,81.2,0,114,59,13,0,0,112.5,41,0,1,0,0,58,82.6
163190,Kalib Fortner,LB,2,0,,1,1,50,ARMY,4,D53,64,63,0,5,1,2026,2,64.9,10,1,50.5,1,0,13,0,0,0,64.7,0,0,0,0,ARMY,3,0,1,0,10,1,16.7,60,10,75.2,0,114,66,14,0,0,64.6,48,0,1,0,0,2,62.8
163193,Deshontez Gray,DI,0,0,,0,0,,ARMY,1,D98,0,0,0,0,1,2026,1,71.3,0,0,,0,0,0,1,0,0,60,0,0,0,0,ARMY,0,0,0,0,,0,0,52.5,,63.6,0,114,1,0,0,0,0,1,0,0,0,0,0,
163198,Casey Larkin,S,1,0,,0,1,100,ARMY,5,D20,64,50,0,0,1,2026,2,71.2,8,1,58.1,0,0,18,0,0,0,69.3,0,0,0,0,ARMY,2,0,0,0,8,5,9.1,64.4,8,76.9,0,114,66,0,0,0,139.6,48,0,5,9,1,2,
163199,Jack Latore,DI,0,0,,0,1,,ARMY,3,D92,0,0,0,10,1,2026,38,50.8,0,0,,0,0,0,28,1,0,69.7,0,0,0,0,ARMY,3,0,0,0,,0,20,67.8,,74.9,0,114,38,0,9,0,0,28,0,1,0,0,0,55.7
163203,Collin Matteson,S,1,0,,0,3,100,ARMY,6,D30,62,35,0,0,1,2026,4,51.2,18,1,55.1,0,0,18,0,0,0,66.3,0,0,0,0,ARMY,2,0,0,0,18,16,25,60.9,18,79.1,0,114,66,8,0,0,118.8,48,1,3,11,0,4,
163219,Gavin Shields,S,1,0,,0,0,0,ARMY,4,D14,33,15,0,5,1,2026,22,81.2,0,0,70.5,0,0,11,0,0,0,61.8,0,1,0,0,ARMY,1,0,1,0,,18,0,69.9,,79.1,0,114,55,0,0,1,39.6,39,0,2,0,0,22,73.6
163225,Andon Thomas,LB,0,0,,1,4,,ARMY,11,D51,66,65,0,3,1,2026,0,42.5,0,0,51,2,0,15,0,0,0,55.5,0,0,0,0,ARMY,6,0,2,0,,0,23.5,54.1,,78,0,114,66,0,0,0,0,48,2,2,1,0,0,67.8
163227,Jacob Tuioti,DI,0,0,,0,0,,ARMY,0,D62,0,0,0,3,1,2026,10,,0,0,,1,0,0,0,10,0,59.2,0,0,0,0,ARMY,0,0,1,0,,0,,64.9,,73.3,0,114,10,0,0,0,0,7,0,0,0,0,0,67.7
170962,Jack Bousum,ED,0,0,,0,2,,ARMY,0,D99,0,0,2,18,1,2029,61,32.2,0,0,,3,0,0,34,0,1,67.5,0,0,0,0,ARMY,2,0,5,0,,0,66.7,76.9,,76.8,0,114,61,0,1,0,0,43,0,1,0,0,26,82
170980,Kody Harris-Miller,DI,0,0,,0,0,,ARMY,2,D52,0,0,0,14,1,2028,56,74.8,0,0,60,0,0,1,0,46,0,66.7,0,0,0,0,ARMY,1,0,0,0,,0,0,64.4,,79.2,0,114,56,0,10,0,0,41,0,2,0,0,0,56.9
170997,Noah Nixon,ED,0,0,,0,0,,ARMY,1,D47,0,0,0,0,1,2028,7,73,0,0,,0,0,0,0,0,0,66.9,0,0,0,0,ARMY,0,0,0,0,,0,0,69.1,,72.8,0,114,7,0,0,0,0,7,0,0,0,0,7,
171019,Dillon Stowers,DI,0,0,,0,0,,ARMY,4,D96,0,0,0,8,1,2028,26,75.8,0,0,,0,0,0,17,0,0,74.5,0,0,0,0,ARMY,3,0,0,0,,0,0,71.4,,74,0,114,26,0,7,0,0,18,0,0,0,0,2,55.8
175224,Coleman Cauley,LB,0,0,,0,2,,NAVY,5,D58,45,44,0,3,1,2028,0,58.3,0,0,57.4,1,0,12,0,0,0,74.6,0,0,0,0,NAVY,5,0,1,0,,1,22.2,70.7,,76.3,0,237,45,0,0,0,0,30,0,2,0,0,0,64.2
175264,Giuseppe Sessi,S,1,0,,0,2,100,NAVY,3,D16,45,33,0,0,1,2028,0,36.3,24,1,47.2,0,0,15,0,0,0,68.1,0,0,0,0,NAVY,0,0,0,0,24,2,40,56.7,24,75.4,0,237,45,0,0,0,118.8,30,0,0,10,0,0,
175274,Griffen Willis,DI,0,0,,0,0,,NAVY,4,D95,0,0,0,15,1,2028,45,75.9,0,0,,0,0,0,6,0,0,59.4,0,0,0,0,NAVY,4,0,0,0,,0,0,58.4,,75.7,0,237,45,0,39,0,0,30,1,1,0,0,0,55.8
189490,Phillip Hamilton,S,1,0,,0,0,0,NAVY,0,D18,44,19,0,0,1,2029,0,73.2,0,0,55,0,1,15,0,0,0,66.7,25,0,0,0,NAVY,0,0,0,0,,0,0,59.7,,73.1,0,237,44,0,0,0,0,29,0,1,0,0,0,
