playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
124649,Braden Bartosh,G,0,0,,2026,114,60,61.4,62,50,0,0,1,4,0,0,0,0,0,0,ARMY,ARMY,4,,,,,,,
126597,Justin Weaver,CB,0,0,,2026,114,,60.6,65.9,D05,0,0,1,0,3,0,0,0,1,0,ARMY,ARMY,4,60,,,,,,
130215,Lane Parks,G,0,0,,2028,114,60,61.3,66.7,72,0,0,1,4,0,0,0,0,0,0,ARMY,ARMY,4,,,,,,,
131100,Jaxson Campbell,CB,0,0,,2026,237,,61.1,65.4,D14,0,0,1,0,2,0,0,2,3,0,NAVY,NAVY,7,60,,,,,,
133971,Jaydan Mayes,CB,0,0,,2028,114,,60.5,64.9,D07,0,0,1,0,3,0,0,0,1,0,ARMY,ARMY,4,60,,,,,,
162534,Liam Barbee,LB,0,0,,2026,237,,60,63.6,D51,0,0,1,0,0,0,4,0,0,0,NAVY,NAVY,4,,,,,,,
162541,Brandon Chatman,HB,0,0,,2026,237,,60,63.3,24,0,0,1,0,0,0,0,0,3,0,NAVY,NAVY,3,,62.2,,,,,
162554,Eli Heidenreich,FB,0,0,2026,2026,237,,59.8,65.2,22,0,0,1,0,0,0,0,2,0,0,NAVY,NAVY,2,,,,,,,
162559,Adam Klenk,ED,0,0,,2026,237,,62.2,70,D49,0,0,1,0,0,4,4,2,3,0,NAVY,NAVY,13,,,,,,,
162561,Chreign LaFond,ED,0,0,,2026,237,60,60.4,60.9,D91,0,0,1,3,0,0,0,0,0,0,NAVY,NAVY,3,,,,,,,
162567,Kenneth McShan,CB,0,0,,2026,237,,58.8,67.9,D00,0,0,1,0,2,4,4,2,0,0,NAVY,NAVY,12,59.8,,,,,,
162574,Luke Pirris,ED,0,0,,2026,237,,61,65.8,D35,0,0,1,0,4,4,0,2,0,0,NAVY,NAVY,10,60,,,,,,
162577,Ben Purvis,G,0,0,,2026,237,60,61.1,65.7,68,0,0,1,3,0,0,0,0,0,0,NAVY,NAVY,3,,,,,,,
162580,Landon Robinson,DI,0,0,2026,2026,237,,59.5,63.8,D96,0,0,1,0,4,0,0,2,0,0,NAVY,NAVY,6,59.3,,,,,,
163171,Cooper Allan,P,0,0,,2026,114,60,60.3,60.5,S38,0,0,1,4,0,0,0,0,0,0,ARMY,ARMY,4,,,,,,,
