playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesPassRoute,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock
70874,Jake Retzlaff,QB,0,,2026,319,23.5,52.7,77,62.8,57.5,38.8,60,12,0,1,40,0,2,6,23,71,42,29,TULANE,TULANE,
102273,Pat McMurtrie,T,0,,2026,197,,58.7,11.3,,,,62.8,76,1,1,0,35,0,0,21,56,35,21,JAMES MAD,JAMES MAD,61.7
102309,Jordan Hall,G,0,,2026,319,,62.1,79.1,,,,58.4,50,0,1,0,42,0,0,29,71,42,29,TULANE,TULANE,73.6
103979,Jobi Malary,HB,0,,2026,197,65.5,70.1,71.9,,54.7,69.3,60,28,0,1,0,1,5,2,1,9,6,3,JAMES MAD,JAMES MAD,70
121550,Isaiah Alston,WR,0,,2026,197,,59.8,73.3,,54.5,,82.6,08,0,1,0,0,9,0,4,13,9,4,JAMES MAD,JAMES MAD,
122543,Ar'maj Reed-Adams,G,0,2026,2026,312,,60.9,79.3,,,,60.3,55,0,1,0,49,0,0,21,70,49,21,TEXAS A&M,TEXAS A&M,58.4
123472,Noah Whittington,HB,0,2026,2026,264,69.5,72.9,73,,64.8,71,60,06,0,1,0,4,7,4,3,18,11,7,OREGON,OREGON,77.3
123703,Derrick Graham,T,1,2026,2026,319,,48.3,19.8,,,,48.2,76,1,1,0,42,0,0,29,71,42,29,TULANE,TULANE,61.7
123874,CJ Daniels,WR,0,2026,2026,220,62.9,62.2,78.7,,62,,58.9,07,0,1,0,0,23,0,21,44,23,21,MIAMI FL,MIAMI FL,
124010,Carson Beck,QB,0,2026,2026,220,26.3,41.2,76.1,41.3,60,53.3,60.5,11,0,1,24,0,1,1,23,49,25,24,MIAMI FL,MIAMI FL,
124274,Jimmy Calloway,WR,0,,2027,319,,54.7,72.8,,55,,60.7,04,0,1,0,0,7,0,6,13,7,6,TULANE,TULANE,
124318,Jacob Graham,LS,0,,2026,312,,60,60,,,,,S48,0,1,0,1,0,0,0,1,1,0,TEXAS A&M,TEXAS A&M,63.8
124339,Devin Price,WR,0,,2026,226,61,84.7,70.9,,79.3,,61.1,88,0,1,0,0,3,0,7,10,3,7,OLE MISS,OLE MISS,
124353,Logan Kyle,TE,0,,2026,197,,43.1,0,,50.9,,47.8,18,1,1,0,1,15,0,3,19,16,3,JAMES MAD,JAMES MAD,63.9
125681,James Brockermeyer,C,0,2026,2026,220,,66.3,78.4,,,,61.1,52,0,1,0,25,0,0,24,49,25,24,MIAMI FL,MIAMI FL,85
125950,Luke Hasz,TE,0,,2028,226,,49.7,74.4,,54.2,,50.4,09,0,1,0,0,5,0,13,18,5,13,OLE MISS,OLE MISS,
127307,Tyler White,P,0,,2028,312,60.3,58.5,70.3,57.7,,,,S37,0,1,1,0,0,0,0,1,1,0,TEXAS A&M,TEXAS A&M,
128427,Emmanuel Pregnon,G,0,2026,2026,264,,70.3,79.1,,,,68.5,75,0,1,0,30,0,0,27,57,30,27,OREGON,OREGON,79.2
129503,Nick DeGennaro,WR,0,2026,2026,197,66.6,65.9,0,77.7,65.5,57.3,61.3,11,1,1,2,0,50,0,20,72,52,20,JAMES MAD,JAMES MAD,
129676,Nate Boerkircher,TE,0,2026,2026,312,62.9,63.8,76.7,,58.2,,83.3,87,0,1,0,7,24,0,11,42,31,11,TEXAS A&M,TEXAS A&M,36.9
131782,EJ Smith,HB,0,2026,2026,312,69.2,60,73.2,,37.6,64.1,60,22,0,1,0,12,7,4,1,24,19,5,TEXAS A&M,TEXAS A&M,82.1
131819,Gary Bryant Jr.,WR,0,,2026,264,63.8,53.9,71.2,,55,,58.9,02,0,1,0,0,6,0,2,8,6,2,OREGON,OREGON,
134761,Izaiah Hartrup,WR,0,,2027,226,61,58.3,74.8,,58.1,,61.2,15,0,1,0,0,3,0,7,10,3,7,OLE MISS,OLE MISS,
143059,Matthew Sluka,QB,0,,2026,197,,60,63.5,,60,,,09,0,1,0,0,1,0,0,1,1,0,JAMES MAD,JAMES MAD,
143976,Diego Pounds,T,0,2026,2026,226,,71.1,76.7,,,,62.4,61,0,1,0,37,0,0,22,59,37,22,OLE MISS,OLE MISS,84.5
144079,Jack Hollifield,C,0,,2026,319,,63.6,79.7,,,,56.5,58,0,1,0,42,0,0,29,71,42,29,TULANE,TULANE,86.2
144404,Bryce Bohanon,WR,0,,2026,319,,60,63.9,,,,60,83,0,1,0,0,0,0,1,1,0,1,TULANE,TULANE,
144863,Johnny Pascuzzi,TE,0,2026,2026,319,61,53.8,76.8,,51.9,,58.4,82,0,1,0,4,19,0,21,44,23,21,TULANE,TULANE,74.3
144953,Geno VanDeMark,G,0,2026,2026,103,,61.4,76.9,,,,54.8,56,0,1,0,22,0,0,8,30,22,8,ALABAMA,ALABAMA,84.6
145034,Brendan Sullivan,QB,0,,2026,319,60.3,60.6,63.6,60.4,,,,06,0,1,1,0,0,0,0,1,1,0,TULANE,TULANE,
145090,Harrison Wallace III,WR,0,2026,2026,226,68.4,57.6,78,,57.3,,61,02,0,1,0,0,23,0,17,40,23,17,OLE MISS,OLE MISS,
145107,Deion Burks,WR,0,2026,2026,261,66.7,71.6,80.1,,71.3,,56.9,04,0,1,0,0,38,0,19,57,38,19,OKLAHOMA,OKLAHOMA,
145320,Ayo Adeyi,HB,0,,2027,197,,53.4,71.3,,56.7,,50.4,05,0,1,0,3,3,0,6,12,6,6,JAMES MAD,JAMES MAD,75.3
145324,Febechi Nwaiwu,G,0,2026,2026,261,,70.9,80,,,,64.6,54,0,1,0,52,0,0,24,76,52,24,OKLAHOMA,OKLAHOMA,83.5
146130,Trace Bruckler,TE,0,,2026,226,,54.7,72.7,,59.6,,53.4,85,0,1,0,3,1,0,13,17,4,13,OLE MISS,OLE MISS,67.6
146387,Keontez Lewis,WR,0,,2026,261,61,49.9,76.5,,51.8,,43.9,09,0,1,0,0,33,0,13,46,33,13,OKLAHOMA,OKLAHOMA,
146508,De'Zhaun Stribling,WR,0,2026,2026,226,65.7,79.7,76.4,,78.9,,56.8,01,0,1,0,0,24,0,15,39,24,15,OLE MISS,OLE MISS,
146540,Charlie Pickard,C,0,,2026,264,,60,65.9,,,,,70,0,1,0,1,0,0,0,1,1,0,OREGON,OREGON,64.6
