playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter,gradesPuntReturn
70874,Jake Retzlaff,QB,0,0,,2026,319,60,63,12,0,0,1,0,0,0,1,0,0,0,TULANE,TULANE,1,,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,60.8,66.4,D01,0,0,1,0,3,0,0,0,1,0,ALABAMA,ALABAMA,4,60,,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,59.3,63.5,D56,0,0,1,0,3,0,0,0,0,0,OKLAHOMA,OKLAHOMA,3,59.1,,,,,,,
97751,Mohamed Toure,LB,0,0,,2027,220,67.9,65.2,D01,0,0,1,0,1,0,0,0,4,0,MIAMI FL,MIAMI FL,5,59.9,,,,,,,
100615,Briton Allen,S,0,0,,2026,220,60.7,66.3,D40,0,0,1,0,0,3,0,0,0,0,MIAMI FL,MIAMI FL,3,,,,,,,,
102309,Jordan Hall,G,0,0,,2026,319,60.5,64.8,50,0,0,1,2,0,0,0,0,0,0,TULANE,TULANE,2,,60,,,,,,
122563,Will Huggins,TE,0,0,,2026,261,60.9,64,81,0,0,1,6,0,0,7,0,0,0,OKLAHOMA,OKLAHOMA,13,,60,,,,,,
122740,Tahj Chambers,LB,0,0,2026,2026,226,61.2,67.4,D26,0,0,1,0,0,5,0,3,0,0,OLE MISS,OLE MISS,8,,,,,,,,
123427,Akheem Mesidor,ED,0,0,2026,2026,220,60,63.8,D03,0,0,1,0,2,0,0,0,1,0,MIAMI FL,MIAMI FL,3,59.9,,,,,,,
123472,Noah Whittington,HB,0,0,2026,2026,264,59.5,62.4,06,0,0,1,0,0,0,7,0,0,0,OREGON,OREGON,7,,,58.9,,,,,
123612,Morgan Suarez,K,0,0,,2027,197,60,64.6,S05,0,0,1,5,0,1,0,0,0,0,JAMES MAD,JAMES MAD,6,,,,66.6,60,,,
123703,Derrick Graham,T,0,0,2026,2026,319,60,61.8,76,0,0,1,2,0,0,0,0,0,0,TULANE,TULANE,2,,60,,,,,,
124046,Jared Zirkel,K,0,0,,2026,312,60,61.7,S99,0,0,1,1,0,0,0,0,0,0,TEXAS A&M,TEXAS A&M,1,,,,60,,,,
124318,Jacob Graham,LS,0,0,,2026,312,73.7,63.5,S48,0,0,1,2,0,0,0,5,0,1,TEXAS A&M,TEXAS A&M,7,,60,,,,81.7,,
124339,Devin Price,WR,0,0,,2026,226,62,66.5,88,0,0,1,0,0,6,2,0,0,0,OLE MISS,OLE MISS,8,,,,,,,,
124353,Logan Kyle,TE,0,0,,2026,197,58.4,67.6,18,0,0,1,0,0,2,9,0,0,0,JAMES MAD,JAMES MAD,11,,,,,,,,
124782,Jack Tchienchou,S,0,0,,2028,319,59.6,64.4,D01,0,0,1,0,3,0,0,3,0,0,TULANE,TULANE,6,60,,,,,,,
125950,Luke Hasz,TE,0,0,,2028,226,60.1,64.8,09,0,0,1,0,0,0,2,0,0,0,OLE MISS,OLE MISS,2,,,,,,,,
127307,Tyler White,P,0,0,,2028,312,60.5,66.8,S37,0,0,1,2,0,0,0,5,0,0,TEXAS A&M,TEXAS A&M,7,,60,,,,,66.1,
128427,Emmanuel Pregnon,G,0,0,2026,2026,264,62.2,67.6,75,0,0,1,7,0,0,0,0,0,0,OREGON,OREGON,7,,62.5,,,,,,
129582,Nikhai Hill-Green,LB,0,0,2026,2026,103,60.3,61.7,D41,0,0,1,0,3,0,0,0,1,0,ALABAMA,ALABAMA,4,59.8,,,,,,,
129676,Nate Boerkircher,TE,0,0,2026,2026,312,60.1,63.3,87,0,0,1,2,0,0,3,0,0,0,TEXAS A&M,TEXAS A&M,5,,60,,,,,,
130672,Major Melson,WR,0,0,,2026,261,60.6,67.1,83,0,0,1,0,0,0,7,0,1,0,OKLAHOMA,OKLAHOMA,8,,,,,,,,
131777,James Pogorelc,T,0,0,,2026,197,61,61.5,78,0,0,1,5,0,0,0,0,0,0,JAMES MAD,JAMES MAD,5,,60,,,,,,
131819,Gary Bryant Jr.,WR,0,0,,2026,264,60,62.1,02,0,0,1,0,0,0,0,0,1,0,OREGON,OREGON,1,,,,,,,,60.3
134273,Cole Adams,WR,0,0,,2027,103,59.9,66.1,07,0,0,1,0,0,0,5,0,6,0,ALABAMA,ALABAMA,11,,,,,,,,64.5
134761,Izaiah Hartrup,WR,0,0,,2027,226,60.1,64.3,15,0,0,1,0,0,0,3,0,0,0,OLE MISS,OLE MISS,3,,,59.4,,,,,
139159,Isaiah Wadsworth,CB,0,0,,2026,319,60.9,66.1,D08,0,0,1,0,0,2,0,0,3,0,TULANE,TULANE,5,,,,,,,,
143948,Ryan Rodriguez,C,0,0,,2027,220,61.1,60.5,76,0,0,1,5,0,0,0,0,0,0,MIAMI FL,MIAMI FL,5,,60,,,,,,
143952,Chase Smith,LB,0,0,,2027,220,61.7,68.5,D41,0,0,1,0,1,3,0,5,4,0,MIAMI FL,MIAMI FL,13,59.9,,,,,,,
143976,Diego Pounds,T,0,0,2026,2026,226,62.2,67.6,61,0,0,1,7,0,0,0,0,0,0,OLE MISS,OLE MISS,7,,62.5,,,,,,
144053,Terry Lockett Jr.,DI,0,0,,2026,197,58.8,67.8,D90,0,0,1,0,7,0,0,0,0,0,JAMES MAD,JAMES MAD,7,58.6,,,,,,,
144195,DaShawn Jones,CB,0,0,2026,2026,103,60,61.2,D07,0,0,1,0,1,0,0,0,0,0,ALABAMA,ALABAMA,1,60,,,,,,,
144268,Andrew Jones,LB,0,0,,2026,226,49.5,65.4,D44,0,0,1,0,0,5,1,0,2,0,OLE MISS,OLE MISS,8,,,,,,,,
144405,Jadon Canady,CB,0,0,2026,2026,264,60.2,65.7,D22,0,0,1,0,5,2,0,2,0,0,OREGON,OREGON,9,59.9,,,,,,,
144407,Elijah Champaigne,DI,0,0,,2026,319,60,63.2,D93,0,0,1,0,3,0,0,1,0,0,TULANE,TULANE,4,59.8,,,,,,,
144413,Bailey Despanie,S,0,0,,2026,319,60.4,63.3,D32,0,0,1,0,0,3,0,0,0,0,TULANE,TULANE,3,,,,,,,,
144547,Tyler Onyedim,DI,0,0,2026,2026,312,59.6,62.7,D11,0,0,1,0,3,0,0,0,0,0,TEXAS A&M,TEXAS A&M,3,59.4,,,,,,,
144668,Kendal Daniels,S,0,0,2026,2026,261,60.2,63.9,D05,0,0,1,0,6,0,0,0,0,0,OKLAHOMA,OKLAHOMA,6,59.9,,,,,,,
144863,Johnny Pascuzzi,TE,0,0,2026,2026,319,60.5,67.1,82,0,0,1,2,0,0,8,0,0,0,TULANE,TULANE,10,,60,,,,,,
145045,Theran Johnson,CB,0,0,,2026,264,67.9,65.1,D05,0,0,1,0,1,1,0,0,0,1,OREGON,OREGON,2,60,,,,,,,
145090,Harrison Wallace III,WR,0,0,2026,2026,226,60.1,64.1,02,0,0,1,0,0,0,1,0,3,0,OLE MISS,OLE MISS,4,,,,,,,,62.2
145309,Jakobe Thomas,S,0,0,2026,2026,220,60,60.9,D08,0,0,1,0,1,0,0,0,1,0,MIAMI FL,MIAMI FL,2,60,,,,,,,
145320,Ayo Adeyi,HB,0,0,,2027,197,61.8,66.6,05,0,0,1,0,0,5,0,0,0,0,JAMES MAD,JAMES MAD,5,,,,,,,,
145465,Brody Dalton,TE,0,0,,2026,103,61.7,67.8,89,0,0,1,6,0,0,0,0,0,0,ALABAMA,ALABAMA,6,,60,,,,,,
145655,Cashius Howell,ED,0,0,2026,2026,312,60.1,64.8,D09,0,0,1,0,5,0,0,0,0,0,TEXAS A&M,TEXAS A&M,5,59.7,,,,,,,
