playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
70874,Jake Retzlaff,QB,0,,2026,319,74.3,70,77.2,54.4,75.9,60,12,0,1,23,0,0,15,36,74,23,51,TULANE,TULANE,,
72324,Sonny Makasini,G,0,,2027,128,,53.9,75.2,,,50.4,51,0,1,0,10,0,0,11,21,10,11,BYU,BYU,79.9,
75288,Tegra Tshabola,G,0,,2028,260,,51.6,76,,,57.9,77,0,1,0,18,0,0,10,28,18,10,OHIO STATE,OHIO STATE,17.6,
86538,Chase Penry,WR,0,,2026,120,64.1,68.1,77,,,54.3,13,0,1,0,0,20,0,21,41,20,21,BOISE ST,BOISE ST,,68.5
97105,Cam Ross,WR,0,2026,2026,335,69.3,74.2,76.6,,,60.7,06,0,1,0,1,35,0,5,41,36,5,VIRGINIA,VIRGINIA,62.1,72.9
102273,Pat McMurtrie,T,0,,2026,197,,71.9,76.7,,,70.3,76,0,1,0,29,0,0,38,67,29,38,JAMES MAD,JAMES MAD,67.8,
102309,Jordan Hall,G,0,,2026,319,,67.7,79.4,,,65.2,50,0,1,0,23,0,0,51,74,23,51,TULANE,TULANE,84.6,
103979,Jobi Malary,HB,0,,2026,197,70.5,60.8,0,,65.5,59.5,28,1,1,0,0,2,6,2,10,2,8,JAMES MAD,JAMES MAD,,58.1
121508,Brady Wilson,C,0,,2026,335,,61,80,,,57.4,76,0,1,0,46,0,0,28,74,46,28,VIRGINIA,VIRGINIA,70.3,
122147,Sage Ennis,TE,0,,2026,335,,43.3,79.4,,,46.5,00,0,1,0,7,37,0,27,71,44,27,VIRGINIA,VIRGINIA,51.9,48.1
122164,E.J. Williams Jr.,WR,0,2026,2026,190,61,63.8,76.3,,,60.9,07,0,1,0,0,11,0,12,23,11,12,INDIANA,INDIANA,,63.2
122234,Anderson Castle,HB,0,2026,2026,154,75.5,68.5,74.6,,70,,04,0,1,0,4,10,16,0,30,14,16,DUKE,DUKE,30,54.3
122346,Donavan Manson,G,0,,2026,325,,60.1,78.7,,,63,55,0,1,0,29,0,0,19,48,29,19,UNLV,UNLV,41.8,
122842,Malik McGowan,G,0,,2026,325,,58.4,76.5,,,56.4,60,0,1,0,15,0,0,9,24,15,9,UNLV,UNLV,62.9,
122938,Chandler Morris,QB,0,2026,2026,335,69.8,68.7,77.4,66.8,64.2,60,04,0,1,46,0,0,1,27,74,46,28,VIRGINIA,VIRGINIA,,
122987,Eli Russ,G,1,,2026,318,,59.5,75.5,,,68.6,66,1,1,0,33,0,0,10,43,33,10,TROY,TROY,40.5,
123124,Troy Omeire,WR,0,,2027,325,64.1,65.5,76.4,,,61.3,00,0,1,0,0,20,0,11,31,20,11,UNLV,UNLV,,64.8
123342,Jordan Brunson,HB,0,,2026,221,74.8,58.5,73,,64.1,,06,0,1,0,13,3,14,0,30,16,14,MIAMI OH,MIAMI OH,43.4,28.2
123386,Mitch Griffis,QB,0,,2027,315,67.3,62.1,67.4,,60.8,60,12,0,1,0,0,0,3,1,4,0,4,TEXAS TECH,TEXAS TECH,,
123404,Zach Vaughan,T,0,,2026,347,,63.1,77.4,,,62.7,73,0,1,0,24,0,0,48,72,24,48,W MICHIGAN,W MICHIGAN,55.3,
123703,Derrick Graham,T,0,2026,2026,319,,71.9,77.6,,,67.6,76,0,1,0,23,0,0,51,74,23,51,TULANE,TULANE,79.3,
123867,Tailique Williams,WR,0,,2026,347,62.5,55.3,78,,59.5,62.9,00,0,1,0,0,11,1,27,39,11,28,W MICHIGAN,W MICHIGAN,,54.1
124104,Koy Moore,WR,0,,2026,325,,54.4,71.9,,,60.2,05,0,1,0,0,8,0,4,12,8,4,UNLV,UNLV,,54.9
124274,Jimmy Calloway,WR,0,,2027,319,,58,72.5,,,60.8,04,0,1,0,0,2,0,5,7,2,5,TULANE,TULANE,,58.2
124353,Logan Kyle,TE,0,,2026,197,,38.2,70.5,,,60,18,0,1,0,0,6,0,1,7,6,1,JAMES MAD,JAMES MAD,,38.6
124736,Andrew Paul,HB,0,,2027,196,62.5,66.2,67.1,,63.3,60,00,0,1,0,0,1,1,1,3,1,2,JVILLE ST,JVILLE ST,,59.9
126259,Noah Josey,G,0,,2027,335,,67.1,80.4,,,69.4,77,0,1,0,46,0,0,28,74,46,28,VIRGINIA,VIRGINIA,57.2,
