playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickReturn,gradesKickoffKicker
53418,James Camden,LB,0,0,,2026,347,60.1,73.5,68.8,D09,0,0,1,0,3,4,1,4,3,1,W MICHIGAN,W MICHIGAN,15,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,59.9,60.9,67.4,D01,0,0,1,0,3,0,0,0,3,0,ALABAMA,ALABAMA,6,,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,128,58.9,59,64.1,D57,0,0,1,0,7,0,0,0,0,0,BYU,BYU,7,,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,60.5,64.8,51,0,0,1,2,0,0,0,0,0,0,BYU,BYU,2,60,,,,,,
72336,Rowan Reay,WR,0,0,,2028,128,,60.5,65.7,29,0,0,1,0,0,1,8,0,0,0,BYU,BYU,9,,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,59.8,60.3,63.3,D03,0,0,1,0,7,2,0,0,0,0,BYU,BYU,9,,,,,,,
72388,Justin Flowe,LB,0,0,,2027,325,,47.1,65.8,D36,0,0,1,0,0,4,0,0,0,0,UNLV,UNLV,4,,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,59.9,63.6,66.1,D53,0,0,1,0,4,7,0,4,2,0,BOISE ST,BOISE ST,17,,,,,,,
73699,Cory Hall,DI,0,0,,2026,325,,61.1,67.8,D97,0,0,1,4,0,0,0,0,0,0,UNLV,UNLV,4,60,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,59.9,60.5,66.2,D29,0,0,1,0,5,1,6,0,1,0,MIAMI OH,MIAMI OH,13,,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,,61,63.1,77,0,0,1,3,0,0,0,0,0,0,OHIO STATE,OHIO STATE,3,60,,,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,,60.3,67.6,18,0,0,1,0,0,0,3,1,2,0,INDIANA,INDIANA,6,,,,,,,
85725,Jayden Dunlap,CB,0,0,,2026,128,60,60.1,65.2,D29,0,0,1,0,3,0,0,0,0,0,BYU,BYU,3,,,,,,,
90529,Ose Egbase,ED,0,0,,2026,325,59.6,67.5,64.6,D17,0,0,1,0,1,4,0,0,0,1,UNLV,UNLV,5,,,,,,,
90626,Beau Gardner,LS,0,0,2026,2026,173,,66.7,63.8,S60,0,0,1,4,0,0,0,7,0,0,GEORGIA,GEORGIA,11,60,82.9,,,,,
97105,Cam Ross,WR,0,0,2026,2026,335,,60,63.9,06,0,0,1,0,0,0,0,0,4,0,VIRGINIA,VIRGINIA,4,,,62.4,,,,
97303,Enoch Nawahine,HB,0,0,,2026,128,,59.8,66.6,21,0,0,1,0,0,0,8,0,0,0,BYU,BYU,8,,,,,,,
99276,Will Jones II,S,0,0,,2026,251,60.1,61.4,63.9,D00,0,0,1,0,6,4,0,0,0,0,N TEXAS,N TEXAS,10,,,,,,,
99757,Antonio Clary,S,0,0,,2026,335,60,60,61.6,D00,0,0,1,0,1,0,0,0,1,0,VIRGINIA,VIRGINIA,2,,,,,,,
101480,Joey Velazquez,LB,0,0,,2026,260,,57.9,66.5,D39,0,0,1,0,0,3,4,0,0,0,OHIO STATE,OHIO STATE,7,,,,,,,
101668,Tate Hallock,S,0,0,,2026,347,59.8,61.3,64.7,D03,0,0,1,0,3,0,1,0,3,0,W MICHIGAN,W MICHIGAN,7,,,,,,,
102309,Jordan Hall,G,0,0,,2026,319,,62.2,67.6,50,0,0,1,7,0,0,0,0,0,0,TULANE,TULANE,7,62.5,,,,,,
103655,Logan Lutui,ED,0,0,,2026,128,59.5,59.7,64.5,D07,0,0,1,0,7,0,0,0,0,0,BYU,BYU,7,,,,,,,
121724,Immanuel Bush,DI,0,0,,2026,197,,60,62.1,D00,0,0,1,0,0,0,0,0,1,0,JAMES MAD,JAMES MAD,1,,,60,,,,
122274,A.J. McCarty,CB,0,0,,2026,315,,61,65.3,D01,0,0,1,0,0,8,0,1,0,0,TEXAS TECH,TEXAS TECH,9,,,,,,,
122278,Devin Neal,S,0,0,2026,2026,335,60,60.7,67.4,D27,0,0,1,0,3,0,5,0,0,0,VIRGINIA,VIRGINIA,8,,,,,,,
122670,Kershawn Fisher,ED,0,0,,2026,347,59.6,60.3,64.2,D20,0,0,1,0,2,0,0,0,1,0,W MICHIGAN,W MICHIGAN,3,,,,,,,
122842,Malik McGowan,G,0,0,,2026,325,,61.4,62,60,0,0,1,4,0,0,0,0,0,0,UNLV,UNLV,4,60,,,,,,
122855,Devan Boykin,S,0,0,2026,2026,190,60,60.5,65.3,D12,0,0,1,0,1,4,0,3,1,0,INDIANA,INDIANA,9,,,,,,,
122908,Caleb Offord,CB,0,0,2026,2026,200,60,60.1,64.5,D02,0,0,1,0,2,0,0,0,0,0,KENNESAW,KENNESAW,2,,,,,,,
123146,Trent Low,LB,0,0,,2026,315,,61.4,65.3,D34,0,0,1,0,0,5,0,1,0,0,TEXAS TECH,TEXAS TECH,6,,,,,,,
123149,Larry Moore III,T,0,0,,2026,251,,60,60.9,74,0,0,1,1,0,0,0,0,0,0,N TEXAS,N TEXAS,1,60,,,,,,
123156,Bryce Ramirez,LB,0,0,,2026,315,,74.6,67.2,D03,0,0,1,0,0,7,0,2,0,1,TEXAS TECH,TEXAS TECH,9,,,,,,,
123404,Zach Vaughan,T,0,0,,2026,347,,61.2,64.2,73,0,0,1,5,0,0,0,0,0,0,W MICHIGAN,W MICHIGAN,5,60,,,,,,
123492,Daniel Sparks,P,0,0,,2027,335,,60.6,64,S38,0,0,1,5,0,0,0,2,0,0,VIRGINIA,VIRGINIA,7,60,,,60.6,,,
123612,Morgan Suarez,K,0,0,,2027,197,,60,63.5,S05,0,0,1,5,0,0,0,0,0,0,JAMES MAD,JAMES MAD,5,,,,,67.7,,
123675,Ugonna Nnanna,G,0,0,,2026,251,,60,61.6,71,0,0,1,1,0,0,0,0,0,0,N TEXAS,N TEXAS,1,60,,,,,,
123703,Derrick Graham,T,0,0,2026,2026,319,,61.4,63.1,76,0,0,1,7,0,0,0,0,0,0,TULANE,TULANE,7,60,,,,,,
123715,Luis Medina,DI,0,0,,2026,318,59.4,59.5,63,D01,0,0,1,0,3,0,0,0,0,0,TROY,TROY,3,,,,,,,
123745,Jaiden Francois,CB,0,0,,2026,154,59.9,60,62.5,D02,0,0,1,0,3,0,0,0,0,0,DUKE,DUKE,3,,,,,,,
123770,Jahmeer Carter,DI,0,0,2026,2026,335,59.8,62.7,67.5,D90,0,0,1,5,1,0,0,2,3,0,VIRGINIA,VIRGINIA,11,60.3,,,,,,
