playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun,gradesPassBlock
52545,Joe Royer,TE,0,2026,2026,138,52.9,72.4,53.1,58.9,11,1,1,0,0,8,0,3,11,8,3,CINCINNATI,CINCINNATI,,,,
54221,Sterling Berkhalter,WR,0,,2027,339,60.2,77.5,59.8,61.8,04,0,1,0,0,24,0,19,43,24,19,WAKE,WAKE,65.7,,,
70721,Kevin Green Jr.,WR,0,,2027,340,56.3,69.1,57.1,60,00,0,1,0,0,4,0,1,5,4,1,WASHINGTON,WASHINGTON,,,,
70727,Miller Moss,QB,0,2026,2026,210,62.1,76.7,,60,07,0,1,29,0,0,8,27,64,29,35,LOUISVILLE,LOUISVILLE,71.9,55.9,68.5,
70963,Jacob Conover,QB,0,,2026,329,53.3,70.7,,60,03,0,1,11,0,0,0,1,12,11,1,UTAH ST,UTAH ST,65.6,52.9,58.7,
71443,Mavin Anderson,WR,0,,2026,314,51.6,74,52.2,57.2,03,0,1,0,0,16,0,12,28,16,12,TEXAS ST,TEXAS ST,,,,
71596,Aaron Smith,CB,0,,2026,241,60,60,,60,D29,0,1,0,0,0,0,1,1,0,1,NEW MEXICO,NEW MEXICO,,,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,49.7,74.2,54,37.4,10,0,1,0,0,14,0,1,15,14,1,CAL,CAL,,,,
72324,Sonny Makasini,G,0,,2027,128,59.6,75.2,,65.4,51,0,1,0,15,0,0,7,22,15,7,BYU,BYU,,,,25.5
72376,Cam Davis,HB,0,,2026,225,57.4,71.6,54.9,59.8,23,0,1,0,1,7,1,3,12,8,4,MINNESOTA,MINNESOTA,62.5,,59.6,71.8
72689,Marshall Jackson,T,0,,2026,346,51.3,77.8,,54.3,53,1,1,0,49,0,0,27,76,49,27,W KENTUCKY,W KENTUCKY,,,,42
73621,Elijah Gilliam,HB,0,,2026,169,52.8,76.1,52.1,60,33,0,1,0,4,10,9,3,26,14,12,FRESNO ST,FRESNO ST,72.5,,53.9,77
74152,Ryan Quintanar,LB,0,,2026,326,60,64.9,,60,21,0,1,0,0,0,0,1,1,0,1,USC,USC,,,,
74652,AJ Vaipulu,G,0,,2026,341,52.1,79.7,,53,66,0,1,0,52,0,0,31,83,52,31,WASH STATE,WASH STATE,,,,36.8
76606,Jalynn Williams,HB,0,,2026,268,70.2,66.3,,,35,0,1,0,1,0,2,0,3,1,2,PITTSBURGH,PITTSBURGH,65.5,,67.2,71.8
86146,Toreon Penright,T,0,,2026,169,61.5,68.8,,61.2,77,0,1,0,1,0,0,5,6,1,5,FRESNO ST,FRESNO ST,,,,64.2
86353,Byron Cardwell Jr.,HB,0,,2027,284,64,70.2,59.9,58.2,21,0,1,0,0,1,1,3,5,1,4,S DIEGO ST,S DIEGO ST,62.5,,63.3,
86538,Chase Penry,WR,0,,2026,120,50.4,0,53.1,56.1,13,1,1,0,0,35,0,15,50,35,15,BOISE ST,BOISE ST,64.1,,,
90224,Reymello Murphy,WR,0,,2026,146,67.7,75.4,71.2,35.4,06,1,1,0,0,18,0,11,29,18,11,UCONN,UCONN,66.7,,,
90626,Beau Gardner,LS,0,2026,2026,173,60,60,,,S60,0,1,0,1,0,0,0,1,1,0,GEORGIA,GEORGIA,,,,63.8
97105,Cam Ross,WR,0,2026,2026,335,60,0,61.8,60.7,06,1,1,0,0,36,0,17,53,36,17,VIRGINIA,VIRGINIA,69.8,,,
97303,Enoch Nawahine,HB,0,,2026,128,65.8,76.3,53.8,51.4,21,0,1,1,11,18,10,5,45,30,15,BYU,BYU,73,60.4,68.2,83.4
97321,Ryan Davis,WR,0,,2026,328,70.8,76.4,70.2,60.5,09,0,1,0,0,21,0,18,39,21,18,UTAH,UTAH,65.7,,,
98061,Jack Bailey,C,0,,2026,256,61.5,74.4,,58.1,69,0,1,0,9,0,0,6,15,9,6,NWESTERN,NWESTERN,,,,81.1
98082,Demetris Allen,G,0,,2026,331,50.7,0.8,,52.4,73,1,1,0,39,0,0,29,68,39,29,UTSA,UTSA,,,,55.6
98255,Jax Harrington,T,0,,2026,207,61.5,77.2,,52.7,70,0,1,0,46,0,0,33,79,46,33,LA LAFAYET,LA LAFAYET,,,,79
98371,Brett Seither,TE,0,,2026,176,44.3,76.9,50.4,33.9,80,1,1,0,3,19,0,6,28,22,6,GA TECH,GA TECH,,,,51.4
98396,Julius Pierce,C,0,,2026,166,54.9,80,,59.8,65,0,1,0,60,0,0,17,77,60,17,FIU,FIU,,,,40
99476,Maverick McIvor,QB,0,,2026,346,74.9,75.1,,60,07,0,1,24,0,0,5,13,42,24,18,W KENTUCKY,W KENTUCKY,70.4,74,64.1,
99809,Rico Watson III,ED,0,,2026,327,60,71.8,,,D34,0,1,0,1,0,0,0,1,1,0,USF,USF,,,,63.8
100253,Broderick Roman,C,1,,2027,296,66.7,10.6,,66.3,67,1,1,0,51,0,0,26,77,51,26,SO MISS,SO MISS,,,,86.3
100263,Xavior Gray,T,0,,2026,256,56.5,69.9,,55.4,63,0,1,0,5,0,0,3,8,5,3,NWESTERN,NWESTERN,,,,62
101126,Christian Helms,WR,0,,2026,327,53.5,70.2,54.2,,85,0,1,0,0,4,0,0,4,4,0,USF,USF,,,,
101628,Jacob Clark,QB,0,2026,2026,230,77.8,77.5,,60,12,1,1,54,0,0,1,23,78,54,24,MO STATE,MO STATE,69.8,77.4,63.2,
102324,Keagen Trost,T,0,2026,2026,229,65,10.6,,66.3,79,1,1,0,25,0,0,32,57,25,32,MISSOURI,MISSOURI,,,,74.3
103865,Evan Beerntsen,G,0,2026,2026,256,68.3,77.7,,69,60,0,1,0,28,0,0,19,47,28,19,NWESTERN,NWESTERN,,,,65.4
104638,Ryan Joyce,C,0,,2026,263,61.3,80.2,,58.5,65,0,1,0,34,0,0,46,80,34,46,DOMINION,DOMINION,,,,71.2
121426,Caullin Lacy,WR,0,2026,2026,210,90,76.1,90.8,60.7,05,0,1,0,0,19,1,15,35,19,16,LOUISVILLE,LOUISVILLE,71.8,,63.4,
121488,Zaire Flournoy,G,0,,2027,166,67.7,79.4,,71.4,51,0,1,0,60,0,0,17,77,60,17,FIU,FIU,,,,61.8
121508,Brady Wilson,C,0,,2026,335,53.9,80.2,,50.7,76,0,1,0,45,0,0,36,81,45,36,VIRGINIA,VIRGINIA,,,,68.7
121537,Lincoln Pare,HB,0,2026,2026,314,68.4,0,58.6,60.2,07,1,1,0,5,9,12,6,32,14,18,TEXAS ST,TEXAS ST,74.2,,70.4,77.9
121539,Corey Rucker,WR,0,2026,2026,113,79.5,78.6,78.4,62.2,07,0,1,0,0,37,0,24,61,37,24,ARK STATE,ARK STATE,66.7,,,
121708,Tyson Thompson,TE,0,,2026,275,52.7,76.9,52.3,58.3,11,0,1,0,0,13,1,11,25,13,12,RICE,RICE,69.5,,59.3,
