playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesPuntReturn,gradesKickReturn,gradesLongSnap,gradesFgepKicker,gradesKickoffKicker,gradesPunter
78573,Solomon Vanhorse,HB,0,0,,2026,190,60.9,69.5,18,0,0,1,0,0,0,4,0,3,0,INDIANA,INDIANA,7,,,,,,,,
97751,Mohamed Toure,LB,0,0,,2027,220,60.7,63.2,D01,0,0,1,0,6,0,0,0,2,0,MIAMI FL,MIAMI FL,8,59.8,,,,,,,
100615,Briton Allen,S,0,0,,2026,220,61.4,67.1,D40,0,0,1,0,0,6,0,0,0,0,MIAMI FL,MIAMI FL,6,,,,,,,,
101579,Matthew Bedford,G,0,0,,2026,264,60,61,77,0,0,1,1,0,0,0,0,0,0,OREGON,OREGON,1,,60,,,,,,
122164,E.J. Williams Jr.,WR,0,0,2026,2026,190,60.6,67.6,07,0,0,1,0,0,0,4,0,0,0,INDIANA,INDIANA,4,,,,,,,,
122655,Dominique Ratcliff,DI,0,0,,2026,190,59.8,63.9,D91,0,0,1,0,3,0,0,0,0,0,INDIANA,INDIANA,3,59.6,,,,,,,
122740,Tahj Chambers,LB,0,0,2026,2026,226,60.1,67.1,D26,0,0,1,0,0,1,1,3,0,0,OLE MISS,OLE MISS,5,,,,,,,,
122855,Devan Boykin,S,0,0,2026,2026,190,49.8,65.3,D12,1,0,1,0,2,9,0,3,0,0,INDIANA,INDIANA,14,60,,,,,,,
123427,Akheem Mesidor,ED,0,0,2026,2026,220,60,64.1,D03,0,0,1,0,3,0,0,0,0,0,MIAMI FL,MIAMI FL,3,59.8,,,,,,,
124339,Devin Price,WR,0,0,,2026,226,62.3,67.5,88,0,0,1,0,0,7,6,0,2,0,OLE MISS,OLE MISS,15,,,,,,,,
125950,Luke Hasz,TE,0,0,,2028,226,60.2,66.7,09,0,0,1,0,0,0,6,0,0,0,OLE MISS,OLE MISS,6,,,,,,,,
128199,Kilohana Haasenritter,HB,0,0,,2026,264,59.9,66.8,D25,0,0,1,0,0,1,9,0,0,0,OREGON,OREGON,10,,,,,,,,
128427,Emmanuel Pregnon,G,0,0,2026,2026,264,61.1,65.7,75,0,0,1,3,0,0,0,0,0,0,OREGON,OREGON,3,,60,,,,,,
129434,Kahlil Benson,T,0,0,2026,2026,190,62.4,67.9,67,0,0,1,8,0,0,0,0,0,0,INDIANA,INDIANA,8,,63.4,,,,,,
129928,Riley Nowakowski,TE,0,0,2026,2026,190,61,64.5,37,0,0,1,8,0,0,4,3,0,0,INDIANA,INDIANA,15,,60.9,,,,,,
130512,James Bomba,TE,0,0,,2026,190,61.8,68.3,48,0,0,1,8,0,0,4,1,0,0,INDIANA,INDIANA,13,,60,,,,,,
131819,Gary Bryant Jr.,WR,0,0,,2026,264,60,62.8,02,0,0,1,0,0,0,0,0,2,0,OREGON,OREGON,2,,,61,,,,,
134761,Izaiah Hartrup,WR,0,0,,2027,226,60,62.3,15,0,0,1,0,0,0,6,0,0,0,OLE MISS,OLE MISS,6,,,,57.4,,,,
138455,Mikail Kamara,ED,0,0,2026,2026,190,60.1,62.8,D06,0,0,1,0,1,0,0,2,0,0,INDIANA,INDIANA,3,60,,,,,,,
143948,Ryan Rodriguez,C,0,0,,2027,220,61.3,60.6,76,0,0,1,6,0,0,0,0,0,0,MIAMI FL,MIAMI FL,6,,60,,,,,,
143952,Chase Smith,LB,0,0,,2027,220,60.5,67.8,D41,0,0,1,0,1,4,7,3,1,0,MIAMI FL,MIAMI FL,16,60,,,,,,,
143976,Diego Pounds,T,0,0,2026,2026,226,62,67.2,61,0,0,1,6,0,0,0,0,0,0,OLE MISS,OLE MISS,6,,61.5,,,,,,
144405,Jadon Canady,CB,0,0,2026,2026,264,60.5,66,D22,0,0,1,0,7,3,0,2,1,0,OREGON,OREGON,13,59.7,,,,,,,
144844,Andrew Turvy,ED,0,0,,2026,190,60,62.9,D18,0,0,1,0,1,0,0,0,0,0,INDIANA,INDIANA,1,60,,,,,,,
144891,Roman Hemby,HB,0,0,2026,2026,190,60,62,01,0,0,1,0,0,0,4,0,0,0,INDIANA,INDIANA,4,,,,58.2,,,,
145045,Theran Johnson,CB,0,0,,2026,264,61.1,67.6,D05,0,0,1,0,3,3,0,1,1,0,OREGON,OREGON,8,60,,,,,,,
