playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesPassBlock,gradesRun
122164,E.J. Williams Jr.,WR,0,2026,2026,190,53.2,74.1,54.2,57.3,07,0,1,0,0,9,0,4,13,9,4,INDIANA,INDIANA,,,,
123874,CJ Daniels,WR,0,2026,2026,220,68.7,79.3,66.3,75.2,07,0,1,0,0,32,0,17,49,32,17,MIAMI FL,MIAMI FL,65,,,
124010,Carson Beck,QB,0,2026,2026,220,51.3,17.3,,60,11,1,1,34,0,0,0,20,54,34,20,MIAMI FL,MIAMI FL,68.5,52.4,,
125681,James Brockermeyer,C,0,2026,2026,220,72.6,78.8,,68,52,0,1,0,34,0,0,20,54,34,20,MIAMI FL,MIAMI FL,,,79.4,
129434,Kahlil Benson,T,0,2026,2026,190,34.6,0,,42.4,67,1,1,0,17,0,0,13,30,17,13,INDIANA,INDIANA,,,42,
129928,Riley Nowakowski,TE,0,2026,2026,190,76.3,78.3,67.7,68.4,37,0,1,0,16,19,1,39,75,35,40,INDIANA,INDIANA,65.3,,72.6,62.9
138448,Kaelon Black,HB,0,2026,2026,190,70.9,75.2,54.8,60,08,0,1,0,7,13,17,4,41,20,21,INDIANA,INDIANA,75.8,,65.1,71.2
143948,Ryan Rodriguez,C,0,,2027,220,60,65.7,,59.5,76,0,1,0,0,0,0,2,2,0,2,MIAMI FL,MIAMI FL,,,,
144891,Roman Hemby,HB,0,2026,2026,190,63.8,75.4,61.7,60,01,0,1,0,4,11,19,2,36,15,21,INDIANA,INDIANA,76.5,,26.1,64.5
145062,Zen Michalski,T,0,,2026,190,65,71.8,,63,75,0,1,0,2,0,0,14,16,2,14,INDIANA,INDIANA,,,66.3,
147370,Keelan Marion,WR,0,2026,2026,220,51.5,76.5,51.6,61.6,00,0,1,0,0,31,0,14,45,31,14,MIAMI FL,MIAMI FL,66.2,,,
147482,Pat Coogan,C,0,2026,2026,190,76.1,80,,72.1,78,0,1,0,35,0,0,40,75,35,40,INDIANA,INDIANA,,,74.5,
156395,Omar Cooper Jr.,WR,0,2026,2026,190,72,77.6,72.8,55.1,03,0,1,0,1,31,0,32,64,32,32,INDIANA,INDIANA,65.7,,63.1,
156399,Carter Smith,T,0,,2027,190,52.5,22.2,,66.7,65,1,1,0,35,0,0,40,75,35,40,INDIANA,INDIANA,,,22.3,
156401,Bray Lynch,G,0,,2027,190,65.7,79.4,,68.5,74,1,1,0,35,0,0,40,75,35,40,INDIANA,INDIANA,,,44.9,
156940,Jonathan Brady,WR,0,2026,2026,190,59,64.1,59.9,,00,0,1,0,0,1,0,0,1,1,0,INDIANA,INDIANA,69.7,,,
156971,Holden Staes,TE,0,,2026,190,54.7,69.4,55.8,56.9,19,0,1,0,0,2,0,5,7,2,5,INDIANA,INDIANA,,,,
158323,Fernando Mendoza,QB,0,2026,2026,190,77.3,77.3,,60,15,0,1,35,0,0,3,37,75,35,40,INDIANA,INDIANA,70.1,71.6,,73.8
158407,Alex Bauman,TE,0,,2026,220,59.7,78.1,56.4,63.2,87,0,1,0,8,26,0,20,54,34,20,MIAMI FL,MIAMI FL,61,,71.4,
158693,Drew Evans,G,0,,2027,190,69.8,80.4,,70.6,62,0,1,0,35,0,0,40,75,35,40,INDIANA,INDIANA,,,62.2,
159499,Elijah Sarratt,WR,0,2026,2026,190,58,78.3,57.7,60,13,0,1,0,0,35,0,36,71,35,36,INDIANA,INDIANA,64.1,,,
162732,Anez Cooper,G,0,2026,2026,220,69.5,78.3,,65.9,73,0,1,0,34,0,0,20,54,34,20,MIAMI FL,MIAMI FL,,,86.3,
162736,Matthew McCoy,G,0,,2027,220,53.3,77,,57.5,78,0,1,0,22,0,0,13,35,22,13,MIAMI FL,MIAMI FL,,,27.4,
170088,Francis Mauigoa,T,0,2026,2026,220,63.7,75.9,,53.4,61,0,1,0,34,0,0,20,54,34,20,MIAMI FL,MIAMI FL,,,81.4,
170089,Samson Okunlola,G,0,,2028,220,58.8,0,,64.6,63,1,1,0,12,0,0,12,24,12,12,MIAMI FL,MIAMI FL,,,69.7,
174409,CharMar Brown,HB,0,,2028,220,58.2,72.5,64.7,,06,0,1,0,4,7,3,0,14,11,3,MIAMI FL,MIAMI FL,67.8,,76.9,54.7
175374,Mark Fletcher Jr.,HB,0,,2028,220,67.6,76.3,41.9,,04,0,1,0,10,13,17,0,40,23,17,MIAMI FL,MIAMI FL,75.8,,54,71.3
183226,Markel Bell,T,0,2026,2026,220,77.5,76.4,,69.7,70,0,1,0,34,0,0,20,54,34,20,MIAMI FL,MIAMI FL,,,88.2,
183245,Joshisa Trader,WR,0,,2029,220,56.4,67.3,57.7,,01,0,1,0,0,2,0,0,2,2,0,MIAMI FL,MIAMI FL,,,,
188661,Charlie Becker,WR,0,,2029,190,80.8,79.1,80.3,60.3,80,0,1,0,1,23,0,24,48,24,24,INDIANA,INDIANA,65,,64.5,
188671,Khobie Martin,HB,0,,2029,190,60,66.4,,60,28,0,1,0,0,0,0,2,2,0,2,INDIANA,INDIANA,,,,
193152,Adedamola Ajani,G,0,,2029,190,63.8,75.3,,67.8,72,0,1,0,18,0,0,28,46,18,28,INDIANA,INDIANA,,,40.8,
200151,Seuseu Alofaituli,G,0,,2030,220,60,63.6,,59.9,65,0,1,0,0,0,0,1,1,0,1,MIAMI FL,MIAMI FL,,,,
200153,Joshua Moore,WR,0,,2030,220,59.5,66.2,59.6,,03,0,1,0,0,2,0,0,2,2,0,MIAMI FL,MIAMI FL,61,,,
200155,Malachi Toney,WR,0,,2030,220,76.7,76.6,75.3,88.5,10,0,1,0,0,34,0,18,52,34,18,MIAMI FL,MIAMI FL,73.2,,,
200169,Luka Gilbert,TE,0,,2030,220,59.4,68.6,,58.3,88,0,1,0,1,0,0,3,4,1,3,MIAMI FL,MIAMI FL,,,65.1,
90602,JT Reed,C,0,,2026,233,50.1,0,,64.6,55,3,1,0,34,0,0,18,52,34,18,MONTANA ST,MONTANA ST,,,55.5,
99114,Jake Pope,T,0,,2026,188,70.3,0,,79.5,67,2,1,0,54,0,0,35,89,54,35,ILL STATE,ILL STATE,,,69.8,
101649,Julius Davis,HB,0,,2026,233,58.1,0,57,60,32,1,1,0,6,5,5,2,18,11,7,MONTANA ST,MONTANA ST,69.7,,60,62.8
122484,Ryan King,WR,0,,2026,233,56.4,68.2,57.3,60,09,0,1,0,0,3,0,1,4,3,1,MONTANA ST,MONTANA ST,,,,
129885,Chris Long,WR,0,,2026,233,69.4,77,68.7,60.4,01,0,1,0,0,27,0,10,37,27,10,MONTANA ST,MONTANA ST,62.9,,,
138198,Micah Barnhart,G,0,,2026,188,69.5,80,,65.6,69,0,1,0,54,0,0,35,89,54,35,ILL STATE,ILL STATE,,,86.9,
138202,Javon Charles,TE,0,,2026,188,54.3,78.5,53.6,55.2,85,0,1,0,6,32,0,30,68,38,30,ILL STATE,ILL STATE,62.9,,69.6,
144052,Justin Lamson,QB,0,,2027,233,90.2,76.3,,60,08,0,1,34,0,0,7,11,52,34,18,MONTANA ST,MONTANA ST,71.6,88.6,,70.9
147659,Titan Fleischmann,G,1,,2027,233,68.4,78.5,,69.2,66,1,1,0,34,0,0,18,52,34,18,MONTANA ST,MONTANA ST,,,66.8,
148028,Tommy Rittenhouse,QB,0,,2026,188,64.6,77.9,,60,16,0,1,54,0,0,3,32,89,54,35,ILL STATE,ILL STATE,71,66.5,,53.9
148031,Wenkers Wright,HB,0,,2026,188,60,69.7,58.9,,32,0,1,0,2,5,1,0,8,7,1,ILL STATE,ILL STATE,64.3,,77.3,59.6
148032,Daniel Sobkowicz,WR,0,2026,2026,188,57.5,0,58.5,63.5,02,1,1,0,0,54,0,35,89,54,35,ILL STATE,ILL STATE,66.2,,,
148033,Scotty Presson Jr.,TE,0,,2026,188,58.6,76.1,58.7,57,11,0,1,0,2,19,0,12,33,21,12,ILL STATE,ILL STATE,62.9,,67.9,
148602,Victor Dawson,HB,0,,2027,188,56.4,77.4,67,60,05,0,1,0,1,40,29,2,72,41,31,ILL STATE,ILL STATE,47.5,,70,53.9
159353,Max Ziebarth,TE,0,,2027,188,51.5,68.4,,58.9,82,0,1,0,2,0,0,2,4,2,2,ILL STATE,ILL STATE,,,17.5,
159364,Landon Woodard,G,0,,2027,188,66.3,81,,61.9,68,0,1,0,54,0,0,35,89,54,35,ILL STATE,ILL STATE,,,83,
164387,Taco Dowler,WR,0,,2027,233,85.8,78.9,81.9,60.7,14,0,1,0,0,33,1,16,50,33,17,MONTANA ST,MONTANA ST,68.2,,,69
164393,Burke Mastel,G,0,,2027,233,56.8,0,,60.5,64,2,1,0,34,0,0,18,52,34,18,MONTANA ST,MONTANA ST,,,86.1,
164401,Rylan Schlepp,TE,0,,2027,233,59.3,70.1,58.9,60,88,0,1,0,2,1,0,1,4,3,1,MONTANA ST,MONTANA ST,,,67.9,
164785,Eddie Kasper,WR,0,,2027,188,56.3,74.7,56.3,61.2,13,0,1,0,0,14,0,9,23,14,9,ILL STATE,ILL STATE,71.6,,,
164938,Seth Glatz,HB,0,,2027,188,64.1,69.5,63.2,60,21,0,1,0,1,4,2,1,8,5,3,ILL STATE,ILL STATE,66.3,,70,63.2
176768,Cedric Jefferson,T,0,,2029,233,58.7,76.2,,56.2,73,0,1,0,34,0,0,18,52,34,18,MONTANA ST,MONTANA ST,,,60.3,
176769,Adam Jones,HB,0,,2028,233,69.1,74.3,67.7,68.7,23,0,1,0,11,12,5,6,34,23,11,MONTANA ST,MONTANA ST,70.3,,73.3,65.4
176776,Hunter Provience,TE,0,,2028,233,47.3,0,49.4,61.7,86,1,1,0,2,11,0,13,26,13,13,MONTANA ST,MONTANA ST,,,67.9,
177123,Brayden Jellison,G,0,,2028,188,63.8,80.6,,60.5,66,0,1,0,54,0,0,35,89,54,35,ILL STATE,ILL STATE,,,70.1,
185470,Dylan Lord,WR,0,,2029,188,91.9,77,90.6,76.6,04,0,1,0,0,37,0,19,56,37,19,ILL STATE,ILL STATE,68.7,,,
185471,Luke Mailander,WR,0,,2029,188,54.2,79.9,51.9,76.4,84,0,1,0,0,51,0,33,84,51,33,ILL STATE,ILL STATE,61,,,
186459,Logan Brasfield,G,0,,2029,188,84.5,77.8,,82.6,70,0,1,0,54,0,0,35,89,54,35,ILL STATE,ILL STATE,,,79.7,
191481,Rocky Lencioni,TE,0,,2029,233,67.4,73.3,79.6,52.3,89,0,1,0,3,4,0,11,18,7,11,MONTANA ST,MONTANA ST,61,,69.3,
191486,Dane Steel,WR,0,,2029,233,69.4,78.4,67.5,73.9,84,0,1,0,0,31,0,18,49,31,18,MONTANA ST,MONTANA ST,62.9,,,
191492,Jabez Woods,WR,0,,2029,233,65.1,74,64.4,60,10,0,1,0,0,19,0,1,20,19,1,MONTANA ST,MONTANA ST,67.5,,,
191493,Braden Zimmer,T,0,,2029,233,60.1,13.1,,64,72,1,1,0,34,0,0,18,52,34,18,MONTANA ST,MONTANA ST,,,64.9,
